grid_id,longitude,latitude,region_id,region_lon_index,region_lat_index,region_lon_min,region_lon_max,region_lat_min,region_lat_max,region_center_lon,region_center_lat,latitude_area_weight
SL_9.7500_79.9500,79.94999999999999,9.75,SLR_08_00,0,8,79.5,80.0,9.5,10.0,79.75,9.75,0.9855560590580777
SL_9.7500_80.0500,80.05000000000001,9.75,SLR_08_01,1,8,80.0,80.5,9.5,10.0,80.25,9.75,0.9855560590580777
SL_9.7500_80.1500,80.15000000000003,9.75,SLR_08_01,1,8,80.0,80.5,9.5,10.0,80.25,9.75,0.9855560590580777
SL_9.7500_80.2500,80.25,9.75,SLR_08_01,1,8,80.0,80.5,9.5,10.0,80.25,9.75,0.9855560590580777
SL_9.6500_80.0500,80.05000000000001,9.649999999999991,SLR_08_01,1,8,80.0,80.5,9.5,10.0,80.25,9.75,0.9858501284635585
SL_9.6500_80.1500,80.15000000000003,9.649999999999991,SLR_08_01,1,8,80.0,80.5,9.5,10.0,80.25,9.75,0.9858501284635585
SL_9.6500_80.2500,80.25,9.649999999999991,SLR_08_01,1,8,80.0,80.5,9.5,10.0,80.25,9.75,0.9858501284635585
SL_9.6500_80.3500,80.35000000000002,9.649999999999991,SLR_08_01,1,8,80.0,80.5,9.5,10.0,80.25,9.75,0.9858501284635585
SL_9.5500_80.4500,80.44999999999999,9.549999999999995,SLR_08_01,1,8,80.0,80.5,9.5,10.0,80.25,9.75,0.9861411947985772
SL_9.4500_80.2500,80.25,9.449999999999989,SLR_07_01,1,7,80.0,80.5,9.0,9.5,80.25,9.25,0.9864292571764955
SL_9.4500_80.3500,80.35000000000002,9.449999999999989,SLR_07_01,1,7,80.0,80.5,9.0,9.5,80.25,9.25,0.9864292571764955
SL_9.4500_80.4500,80.44999999999999,9.449999999999989,SLR_07_01,1,7,80.0,80.5,9.0,9.5,80.25,9.25,0.9864292571764955
SL_9.4500_80.5500,80.55000000000001,9.449999999999989,SLR_07_02,2,7,80.5,81.0,9.0,9.5,80.75,9.25,0.9864292571764955
SL_9.3500_80.1500,80.15000000000003,9.349999999999994,SLR_07_01,1,7,80.0,80.5,9.0,9.5,80.25,9.25,0.9867143147198253
SL_9.3500_80.2500,80.25,9.349999999999994,SLR_07_01,1,7,80.0,80.5,9.0,9.5,80.25,9.25,0.9867143147198253
SL_9.3500_80.3500,80.35000000000002,9.349999999999994,SLR_07_01,1,7,80.0,80.5,9.0,9.5,80.25,9.25,0.9867143147198253
SL_9.3500_80.4500,80.44999999999999,9.349999999999994,SLR_07_01,1,7,80.0,80.5,9.0,9.5,80.25,9.25,0.9867143147198253
SL_9.3500_80.5500,80.55000000000001,9.349999999999994,SLR_07_02,2,7,80.5,81.0,9.0,9.5,80.75,9.25,0.9867143147198253
SL_9.3500_80.6500,80.65000000000003,9.349999999999994,SLR_07_02,2,7,80.5,81.0,9.0,9.5,80.75,9.25,0.9867143147198253
SL_9.2500_80.1500,80.15000000000003,9.25,SLR_07_01,1,7,80.0,80.5,9.0,9.5,80.25,9.25,0.9869963665602319
SL_9.2500_80.2500,80.25,9.25,SLR_07_01,1,7,80.0,80.5,9.0,9.5,80.25,9.25,0.9869963665602319
SL_9.2500_80.3500,80.35000000000002,9.25,SLR_07_01,1,7,80.0,80.5,9.0,9.5,80.25,9.25,0.9869963665602319
SL_9.2500_80.4500,80.44999999999999,9.25,SLR_07_01,1,7,80.0,80.5,9.0,9.5,80.25,9.25,0.9869963665602319
SL_9.2500_80.5500,80.55000000000001,9.25,SLR_07_02,2,7,80.5,81.0,9.0,9.5,80.75,9.25,0.9869963665602319
SL_9.2500_80.6500,80.65000000000003,9.25,SLR_07_02,2,7,80.5,81.0,9.0,9.5,80.75,9.25,0.9869963665602319
SL_9.2500_80.7500,80.75,9.25,SLR_07_02,2,7,80.5,81.0,9.0,9.5,80.75,9.25,0.9869963665602319
SL_9.1500_80.1500,80.15000000000003,9.149999999999991,SLR_07_01,1,7,80.0,80.5,9.0,9.5,80.25,9.25,0.9872754118385365
SL_9.1500_80.2500,80.25,9.149999999999991,SLR_07_01,1,7,80.0,80.5,9.0,9.5,80.25,9.25,0.9872754118385365
SL_9.1500_80.3500,80.35000000000002,9.149999999999991,SLR_07_01,1,7,80.0,80.5,9.0,9.5,80.25,9.25,0.9872754118385365
SL_9.1500_80.4500,80.44999999999999,9.149999999999991,SLR_07_01,1,7,80.0,80.5,9.0,9.5,80.25,9.25,0.9872754118385365
SL_9.1500_80.5500,80.55000000000001,9.149999999999991,SLR_07_02,2,7,80.5,81.0,9.0,9.5,80.75,9.25,0.9872754118385365
SL_9.1500_80.6500,80.65000000000003,9.149999999999991,SLR_07_02,2,7,80.5,81.0,9.0,9.5,80.75,9.25,0.9872754118385365
SL_9.1500_80.7500,80.75,9.149999999999991,SLR_07_02,2,7,80.5,81.0,9.0,9.5,80.75,9.25,0.9872754118385365
SL_9.1500_80.8500,80.85000000000002,9.149999999999991,SLR_07_02,2,7,80.5,81.0,9.0,9.5,80.75,9.25,0.9872754118385365
SL_9.0500_79.8500,79.85000000000002,9.049999999999995,SLR_07_00,0,7,79.5,80.0,9.0,9.5,79.75,9.25,0.9875514497047189
SL_9.0500_80.1500,80.15000000000003,9.049999999999995,SLR_07_01,1,7,80.0,80.5,9.0,9.5,80.25,9.25,0.9875514497047189
SL_9.0500_80.2500,80.25,9.049999999999995,SLR_07_01,1,7,80.0,80.5,9.0,9.5,80.25,9.25,0.9875514497047189
SL_9.0500_80.3500,80.35000000000002,9.049999999999995,SLR_07_01,1,7,80.0,80.5,9.0,9.5,80.25,9.25,0.9875514497047189
SL_9.0500_80.4500,80.44999999999999,9.049999999999995,SLR_07_01,1,7,80.0,80.5,9.0,9.5,80.25,9.25,0.9875514497047189
SL_9.0500_80.5500,80.55000000000001,9.049999999999995,SLR_07_02,2,7,80.5,81.0,9.0,9.5,80.75,9.25,0.9875514497047189
SL_9.0500_80.6500,80.65000000000003,9.049999999999995,SLR_07_02,2,7,80.5,81.0,9.0,9.5,80.75,9.25,0.9875514497047189
SL_9.0500_80.7500,80.75,9.049999999999995,SLR_07_02,2,7,80.5,81.0,9.0,9.5,80.75,9.25,0.9875514497047189
SL_9.0500_80.8500,80.85000000000002,9.049999999999995,SLR_07_02,2,7,80.5,81.0,9.0,9.5,80.75,9.25,0.9875514497047189
SL_8.9500_80.0500,80.05000000000001,8.949999999999989,SLR_06_01,1,6,80.0,80.5,8.5,9.0,80.25,8.75,0.9878244793179197
SL_8.9500_80.1500,80.15000000000003,8.949999999999989,SLR_06_01,1,6,80.0,80.5,8.5,9.0,80.25,8.75,0.9878244793179197
SL_8.9500_80.2500,80.25,8.949999999999989,SLR_06_01,1,6,80.0,80.5,8.5,9.0,80.25,8.75,0.9878244793179197
SL_8.9500_80.3500,80.35000000000002,8.949999999999989,SLR_06_01,1,6,80.0,80.5,8.5,9.0,80.25,8.75,0.9878244793179197
SL_8.9500_80.4500,80.44999999999999,8.949999999999989,SLR_06_01,1,6,80.0,80.5,8.5,9.0,80.25,8.75,0.9878244793179197
SL_8.9500_80.5500,80.55000000000001,8.949999999999989,SLR_06_02,2,6,80.5,81.0,8.5,9.0,80.75,8.75,0.9878244793179197
SL_8.9500_80.6500,80.65000000000003,8.949999999999989,SLR_06_02,2,6,80.5,81.0,8.5,9.0,80.75,8.75,0.9878244793179197
SL_8.9500_80.7500,80.75,8.949999999999989,SLR_06_02,2,6,80.5,81.0,8.5,9.0,80.75,8.75,0.9878244793179197
SL_8.9500_80.8500,80.85000000000002,8.949999999999989,SLR_06_02,2,6,80.5,81.0,8.5,9.0,80.75,8.75,0.9878244793179197
SL_8.9500_80.9500,80.94999999999999,8.949999999999989,SLR_06_02,2,6,80.5,81.0,8.5,9.0,80.75,8.75,0.9878244793179197
SL_8.8500_79.9500,79.94999999999999,8.849999999999994,SLR_06_00,0,6,79.5,80.0,8.5,9.0,79.75,8.75,0.9880944998464434
SL_8.8500_80.0500,80.05000000000001,8.849999999999994,SLR_06_01,1,6,80.0,80.5,8.5,9.0,80.25,8.75,0.9880944998464434
SL_8.8500_80.1500,80.15000000000003,8.849999999999994,SLR_06_01,1,6,80.0,80.5,8.5,9.0,80.25,8.75,0.9880944998464434
SL_8.8500_80.2500,80.25,8.849999999999994,SLR_06_01,1,6,80.0,80.5,8.5,9.0,80.25,8.75,0.9880944998464434
SL_8.8500_80.3500,80.35000000000002,8.849999999999994,SLR_06_01,1,6,80.0,80.5,8.5,9.0,80.25,8.75,0.9880944998464434
SL_8.8500_80.4500,80.44999999999999,8.849999999999994,SLR_06_01,1,6,80.0,80.5,8.5,9.0,80.25,8.75,0.9880944998464434
SL_8.8500_80.5500,80.55000000000001,8.849999999999994,SLR_06_02,2,6,80.5,81.0,8.5,9.0,80.75,8.75,0.9880944998464434
SL_8.8500_80.6500,80.65000000000003,8.849999999999994,SLR_06_02,2,6,80.5,81.0,8.5,9.0,80.75,8.75,0.9880944998464434
SL_8.8500_80.7500,80.75,8.849999999999994,SLR_06_02,2,6,80.5,81.0,8.5,9.0,80.75,8.75,0.9880944998464434
SL_8.8500_80.8500,80.85000000000002,8.849999999999994,SLR_06_02,2,6,80.5,81.0,8.5,9.0,80.75,8.75,0.9880944998464434
SL_8.8500_80.9500,80.94999999999999,8.849999999999994,SLR_06_02,2,6,80.5,81.0,8.5,9.0,80.75,8.75,0.9880944998464434
SL_8.8500_81.0500,81.05000000000001,8.849999999999994,SLR_06_03,3,6,81.0,81.5,8.5,9.0,81.25,8.75,0.9880944998464434
SL_8.7500_79.9500,79.94999999999999,8.75,SLR_06_00,0,6,79.5,80.0,8.5,9.0,79.75,8.75,0.9883615104677607
SL_8.7500_80.0500,80.05000000000001,8.75,SLR_06_01,1,6,80.0,80.5,8.5,9.0,80.25,8.75,0.9883615104677607
SL_8.7500_80.1500,80.15000000000003,8.75,SLR_06_01,1,6,80.0,80.5,8.5,9.0,80.25,8.75,0.9883615104677607
SL_8.7500_80.2500,80.25,8.75,SLR_06_01,1,6,80.0,80.5,8.5,9.0,80.25,8.75,0.9883615104677607
SL_8.7500_80.3500,80.35000000000002,8.75,SLR_06_01,1,6,80.0,80.5,8.5,9.0,80.25,8.75,0.9883615104677607
SL_8.7500_80.4500,80.44999999999999,8.75,SLR_06_01,1,6,80.0,80.5,8.5,9.0,80.25,8.75,0.9883615104677607
SL_8.7500_80.5500,80.55000000000001,8.75,SLR_06_02,2,6,80.5,81.0,8.5,9.0,80.75,8.75,0.9883615104677607
SL_8.7500_80.6500,80.65000000000003,8.75,SLR_06_02,2,6,80.5,81.0,8.5,9.0,80.75,8.75,0.9883615104677607
SL_8.7500_80.7500,80.75,8.75,SLR_06_02,2,6,80.5,81.0,8.5,9.0,80.75,8.75,0.9883615104677607
SL_8.7500_80.8500,80.85000000000002,8.75,SLR_06_02,2,6,80.5,81.0,8.5,9.0,80.75,8.75,0.9883615104677607
SL_8.7500_80.9500,80.94999999999999,8.75,SLR_06_02,2,6,80.5,81.0,8.5,9.0,80.75,8.75,0.9883615104677607
SL_8.7500_81.0500,81.05000000000001,8.75,SLR_06_03,3,6,81.0,81.5,8.5,9.0,81.25,8.75,0.9883615104677607
SL_8.6500_79.9500,79.94999999999999,8.649999999999991,SLR_06_00,0,6,79.5,80.0,8.5,9.0,79.75,8.75,0.988625510368511
SL_8.6500_80.0500,80.05000000000001,8.649999999999991,SLR_06_01,1,6,80.0,80.5,8.5,9.0,80.25,8.75,0.988625510368511
SL_8.6500_80.1500,80.15000000000003,8.649999999999991,SLR_06_01,1,6,80.0,80.5,8.5,9.0,80.25,8.75,0.988625510368511
SL_8.6500_80.2500,80.25,8.649999999999991,SLR_06_01,1,6,80.0,80.5,8.5,9.0,80.25,8.75,0.988625510368511
SL_8.6500_80.3500,80.35000000000002,8.649999999999991,SLR_06_01,1,6,80.0,80.5,8.5,9.0,80.25,8.75,0.988625510368511
SL_8.6500_80.4500,80.44999999999999,8.649999999999991,SLR_06_01,1,6,80.0,80.5,8.5,9.0,80.25,8.75,0.988625510368511
SL_8.6500_80.5500,80.55000000000001,8.649999999999991,SLR_06_02,2,6,80.5,81.0,8.5,9.0,80.75,8.75,0.988625510368511
SL_8.6500_80.6500,80.65000000000003,8.649999999999991,SLR_06_02,2,6,80.5,81.0,8.5,9.0,80.75,8.75,0.988625510368511
SL_8.6500_80.7500,80.75,8.649999999999991,SLR_06_02,2,6,80.5,81.0,8.5,9.0,80.75,8.75,0.988625510368511
SL_8.6500_80.8500,80.85000000000002,8.649999999999991,SLR_06_02,2,6,80.5,81.0,8.5,9.0,80.75,8.75,0.988625510368511
SL_8.6500_80.9500,80.94999999999999,8.649999999999991,SLR_06_02,2,6,80.5,81.0,8.5,9.0,80.75,8.75,0.988625510368511
SL_8.6500_81.0500,81.05000000000001,8.649999999999991,SLR_06_03,3,6,81.0,81.5,8.5,9.0,81.25,8.75,0.988625510368511
SL_8.6500_81.1500,81.15000000000003,8.649999999999991,SLR_06_03,3,6,81.0,81.5,8.5,9.0,81.25,8.75,0.988625510368511
SL_8.5500_79.9500,79.94999999999999,8.549999999999997,SLR_06_00,0,6,79.5,80.0,8.5,9.0,79.75,8.75,0.9888864987445046
SL_8.5500_80.0500,80.05000000000001,8.549999999999997,SLR_06_01,1,6,80.0,80.5,8.5,9.0,80.25,8.75,0.9888864987445046
SL_8.5500_80.1500,80.15000000000003,8.549999999999997,SLR_06_01,1,6,80.0,80.5,8.5,9.0,80.25,8.75,0.9888864987445046
SL_8.5500_80.2500,80.25,8.549999999999997,SLR_06_01,1,6,80.0,80.5,8.5,9.0,80.25,8.75,0.9888864987445046
SL_8.5500_80.3500,80.35000000000002,8.549999999999997,SLR_06_01,1,6,80.0,80.5,8.5,9.0,80.25,8.75,0.9888864987445046
SL_8.5500_80.4500,80.44999999999999,8.549999999999997,SLR_06_01,1,6,80.0,80.5,8.5,9.0,80.25,8.75,0.9888864987445046
SL_8.5500_80.5500,80.55000000000001,8.549999999999997,SLR_06_02,2,6,80.5,81.0,8.5,9.0,80.75,8.75,0.9888864987445046
SL_8.5500_80.6500,80.65000000000003,8.549999999999997,SLR_06_02,2,6,80.5,81.0,8.5,9.0,80.75,8.75,0.9888864987445046
SL_8.5500_80.7500,80.75,8.549999999999997,SLR_06_02,2,6,80.5,81.0,8.5,9.0,80.75,8.75,0.9888864987445046
SL_8.5500_80.8500,80.85000000000002,8.549999999999997,SLR_06_02,2,6,80.5,81.0,8.5,9.0,80.75,8.75,0.9888864987445046
SL_8.5500_80.9500,80.94999999999999,8.549999999999997,SLR_06_02,2,6,80.5,81.0,8.5,9.0,80.75,8.75,0.9888864987445046
SL_8.5500_81.0500,81.05000000000001,8.549999999999997,SLR_06_03,3,6,81.0,81.5,8.5,9.0,81.25,8.75,0.9888864987445046
SL_8.5500_81.1500,81.15000000000003,8.549999999999997,SLR_06_03,3,6,81.0,81.5,8.5,9.0,81.25,8.75,0.9888864987445046
SL_8.4500_79.9500,79.94999999999999,8.449999999999989,SLR_05_00,0,5,79.5,80.0,8.0,8.5,79.75,8.25,0.9891444748007259
SL_8.4500_80.0500,80.05000000000001,8.449999999999989,SLR_05_01,1,5,80.0,80.5,8.0,8.5,80.25,8.25,0.9891444748007259
SL_8.4500_80.1500,80.15000000000003,8.449999999999989,SLR_05_01,1,5,80.0,80.5,8.0,8.5,80.25,8.25,0.9891444748007259
SL_8.4500_80.2500,80.25,8.449999999999989,SLR_05_01,1,5,80.0,80.5,8.0,8.5,80.25,8.25,0.9891444748007259
SL_8.4500_80.3500,80.35000000000002,8.449999999999989,SLR_05_01,1,5,80.0,80.5,8.0,8.5,80.25,8.25,0.9891444748007259
SL_8.4500_80.4500,80.44999999999999,8.449999999999989,SLR_05_01,1,5,80.0,80.5,8.0,8.5,80.25,8.25,0.9891444748007259
SL_8.4500_80.5500,80.55000000000001,8.449999999999989,SLR_05_02,2,5,80.5,81.0,8.0,8.5,80.75,8.25,0.9891444748007259
SL_8.4500_80.6500,80.65000000000003,8.449999999999989,SLR_05_02,2,5,80.5,81.0,8.0,8.5,80.75,8.25,0.9891444748007259
SL_8.4500_80.7500,80.75,8.449999999999989,SLR_05_02,2,5,80.5,81.0,8.0,8.5,80.75,8.25,0.9891444748007259
SL_8.4500_80.8500,80.85000000000002,8.449999999999989,SLR_05_02,2,5,80.5,81.0,8.0,8.5,80.75,8.25,0.9891444748007259
SL_8.4500_80.9500,80.94999999999999,8.449999999999989,SLR_05_02,2,5,80.5,81.0,8.0,8.5,80.75,8.25,0.9891444748007259
SL_8.4500_81.0500,81.05000000000001,8.449999999999989,SLR_05_03,3,5,81.0,81.5,8.0,8.5,81.25,8.25,0.9891444748007259
SL_8.4500_81.1500,81.15000000000003,8.449999999999989,SLR_05_03,3,5,81.0,81.5,8.0,8.5,81.25,8.25,0.9891444748007259
SL_8.4500_81.2500,81.25,8.449999999999989,SLR_05_03,3,5,81.0,81.5,8.0,8.5,81.25,8.25,0.9891444748007259
SL_8.4500_81.3500,81.35000000000002,8.449999999999989,SLR_05_03,3,5,81.0,81.5,8.0,8.5,81.25,8.25,0.9891444748007259
SL_8.3500_79.8500,79.85000000000002,8.349999999999994,SLR_05_00,0,5,79.5,80.0,8.0,8.5,79.75,8.25,0.9893994377513349
SL_8.3500_79.9500,79.94999999999999,8.349999999999994,SLR_05_00,0,5,79.5,80.0,8.0,8.5,79.75,8.25,0.9893994377513349
SL_8.3500_80.0500,80.05000000000001,8.349999999999994,SLR_05_01,1,5,80.0,80.5,8.0,8.5,80.25,8.25,0.9893994377513349
SL_8.3500_80.1500,80.15000000000003,8.349999999999994,SLR_05_01,1,5,80.0,80.5,8.0,8.5,80.25,8.25,0.9893994377513349
SL_8.3500_80.2500,80.25,8.349999999999994,SLR_05_01,1,5,80.0,80.5,8.0,8.5,80.25,8.25,0.9893994377513349
SL_8.3500_80.3500,80.35000000000002,8.349999999999994,SLR_05_01,1,5,80.0,80.5,8.0,8.5,80.25,8.25,0.9893994377513349
SL_8.3500_80.4500,80.44999999999999,8.349999999999994,SLR_05_01,1,5,80.0,80.5,8.0,8.5,80.25,8.25,0.9893994377513349
SL_8.3500_80.5500,80.55000000000001,8.349999999999994,SLR_05_02,2,5,80.5,81.0,8.0,8.5,80.75,8.25,0.9893994377513349
SL_8.3500_80.6500,80.65000000000003,8.349999999999994,SLR_05_02,2,5,80.5,81.0,8.0,8.5,80.75,8.25,0.9893994377513349
SL_8.3500_80.7500,80.75,8.349999999999994,SLR_05_02,2,5,80.5,81.0,8.0,8.5,80.75,8.25,0.9893994377513349
SL_8.3500_80.8500,80.85000000000002,8.349999999999994,SLR_05_02,2,5,80.5,81.0,8.0,8.5,80.75,8.25,0.9893994377513349
SL_8.3500_80.9500,80.94999999999999,8.349999999999994,SLR_05_02,2,5,80.5,81.0,8.0,8.5,80.75,8.25,0.9893994377513349
SL_8.3500_81.0500,81.05000000000001,8.349999999999994,SLR_05_03,3,5,81.0,81.5,8.0,8.5,81.25,8.25,0.9893994377513349
SL_8.3500_81.1500,81.15000000000003,8.349999999999994,SLR_05_03,3,5,81.0,81.5,8.0,8.5,81.25,8.25,0.9893994377513349
SL_8.3500_81.2500,81.25,8.349999999999994,SLR_05_03,3,5,81.0,81.5,8.0,8.5,81.25,8.25,0.9893994377513349
SL_8.3500_81.3500,81.35000000000002,8.349999999999994,SLR_05_03,3,5,81.0,81.5,8.0,8.5,81.25,8.25,0.9893994377513349
SL_8.2500_79.8500,79.85000000000002,8.25,SLR_05_00,0,5,79.5,80.0,8.0,8.5,79.75,8.25,0.9896513868196702
SL_8.2500_79.9500,79.94999999999999,8.25,SLR_05_00,0,5,79.5,80.0,8.0,8.5,79.75,8.25,0.9896513868196702
SL_8.2500_80.0500,80.05000000000001,8.25,SLR_05_01,1,5,80.0,80.5,8.0,8.5,80.25,8.25,0.9896513868196702
SL_8.2500_80.1500,80.15000000000003,8.25,SLR_05_01,1,5,80.0,80.5,8.0,8.5,80.25,8.25,0.9896513868196702
SL_8.2500_80.2500,80.25,8.25,SLR_05_01,1,5,80.0,80.5,8.0,8.5,80.25,8.25,0.9896513868196702
SL_8.2500_80.3500,80.35000000000002,8.25,SLR_05_01,1,5,80.0,80.5,8.0,8.5,80.25,8.25,0.9896513868196702
SL_8.2500_80.4500,80.44999999999999,8.25,SLR_05_01,1,5,80.0,80.5,8.0,8.5,80.25,8.25,0.9896513868196702
SL_8.2500_80.5500,80.55000000000001,8.25,SLR_05_02,2,5,80.5,81.0,8.0,8.5,80.75,8.25,0.9896513868196702
SL_8.2500_80.6500,80.65000000000003,8.25,SLR_05_02,2,5,80.5,81.0,8.0,8.5,80.75,8.25,0.9896513868196702
SL_8.2500_80.7500,80.75,8.25,SLR_05_02,2,5,80.5,81.0,8.0,8.5,80.75,8.25,0.9896513868196702
SL_8.2500_80.8500,80.85000000000002,8.25,SLR_05_02,2,5,80.5,81.0,8.0,8.5,80.75,8.25,0.9896513868196702
SL_8.2500_80.9500,80.94999999999999,8.25,SLR_05_02,2,5,80.5,81.0,8.0,8.5,80.75,8.25,0.9896513868196702
SL_8.2500_81.0500,81.05000000000001,8.25,SLR_05_03,3,5,81.0,81.5,8.0,8.5,81.25,8.25,0.9896513868196702
SL_8.2500_81.1500,81.15000000000003,8.25,SLR_05_03,3,5,81.0,81.5,8.0,8.5,81.25,8.25,0.9896513868196702
SL_8.2500_81.2500,81.25,8.25,SLR_05_03,3,5,81.0,81.5,8.0,8.5,81.25,8.25,0.9896513868196702
SL_8.2500_81.3500,81.35000000000002,8.25,SLR_05_03,3,5,81.0,81.5,8.0,8.5,81.25,8.25,0.9896513868196702
SL_8.1500_79.8500,79.85000000000002,8.149999999999991,SLR_05_00,0,5,79.5,80.0,8.0,8.5,79.75,8.25,0.9899003212382514
SL_8.1500_79.9500,79.94999999999999,8.149999999999991,SLR_05_00,0,5,79.5,80.0,8.0,8.5,79.75,8.25,0.9899003212382514
SL_8.1500_80.0500,80.05000000000001,8.149999999999991,SLR_05_01,1,5,80.0,80.5,8.0,8.5,80.25,8.25,0.9899003212382514
SL_8.1500_80.1500,80.15000000000003,8.149999999999991,SLR_05_01,1,5,80.0,80.5,8.0,8.5,80.25,8.25,0.9899003212382514
SL_8.1500_80.2500,80.25,8.149999999999991,SLR_05_01,1,5,80.0,80.5,8.0,8.5,80.25,8.25,0.9899003212382514
SL_8.1500_80.3500,80.35000000000002,8.149999999999991,SLR_05_01,1,5,80.0,80.5,8.0,8.5,80.25,8.25,0.9899003212382514
SL_8.1500_80.4500,80.44999999999999,8.149999999999991,SLR_05_01,1,5,80.0,80.5,8.0,8.5,80.25,8.25,0.9899003212382514
SL_8.1500_80.5500,80.55000000000001,8.149999999999991,SLR_05_02,2,5,80.5,81.0,8.0,8.5,80.75,8.25,0.9899003212382514
SL_8.1500_80.6500,80.65000000000003,8.149999999999991,SLR_05_02,2,5,80.5,81.0,8.0,8.5,80.75,8.25,0.9899003212382514
SL_8.1500_80.7500,80.75,8.149999999999991,SLR_05_02,2,5,80.5,81.0,8.0,8.5,80.75,8.25,0.9899003212382514
SL_8.1500_80.8500,80.85000000000002,8.149999999999991,SLR_05_02,2,5,80.5,81.0,8.0,8.5,80.75,8.25,0.9899003212382514
SL_8.1500_80.9500,80.94999999999999,8.149999999999991,SLR_05_02,2,5,80.5,81.0,8.0,8.5,80.75,8.25,0.9899003212382514
SL_8.1500_81.0500,81.05000000000001,8.149999999999991,SLR_05_03,3,5,81.0,81.5,8.0,8.5,81.25,8.25,0.9899003212382514
SL_8.1500_81.1500,81.15000000000003,8.149999999999991,SLR_05_03,3,5,81.0,81.5,8.0,8.5,81.25,8.25,0.9899003212382514
SL_8.1500_81.2500,81.25,8.149999999999991,SLR_05_03,3,5,81.0,81.5,8.0,8.5,81.25,8.25,0.9899003212382514
SL_8.1500_81.3500,81.35000000000002,8.149999999999991,SLR_05_03,3,5,81.0,81.5,8.0,8.5,81.25,8.25,0.9899003212382514
SL_8.0500_79.8500,79.85000000000002,8.049999999999997,SLR_05_00,0,5,79.5,80.0,8.0,8.5,79.75,8.25,0.9901462402487812
SL_8.0500_79.9500,79.94999999999999,8.049999999999997,SLR_05_00,0,5,79.5,80.0,8.0,8.5,79.75,8.25,0.9901462402487812
SL_8.0500_80.0500,80.05000000000001,8.049999999999997,SLR_05_01,1,5,80.0,80.5,8.0,8.5,80.25,8.25,0.9901462402487812
SL_8.0500_80.1500,80.15000000000003,8.049999999999997,SLR_05_01,1,5,80.0,80.5,8.0,8.5,80.25,8.25,0.9901462402487812
SL_8.0500_80.2500,80.25,8.049999999999997,SLR_05_01,1,5,80.0,80.5,8.0,8.5,80.25,8.25,0.9901462402487812
SL_8.0500_80.3500,80.35000000000002,8.049999999999997,SLR_05_01,1,5,80.0,80.5,8.0,8.5,80.25,8.25,0.9901462402487812
SL_8.0500_80.4500,80.44999999999999,8.049999999999997,SLR_05_01,1,5,80.0,80.5,8.0,8.5,80.25,8.25,0.9901462402487812
