grid_id,longitude,latitude,date,year,month,precipitation_mm,PET_mm,actual_evapotranspiration_mm,surface_runoff_mm,subsurface_runoff_mm,total_runoff_mm,soil_moisture_0_10cm_mm,soil_moisture_10_40cm_mm,soil_moisture_40_100cm_mm,soil_moisture_100_200cm_mm,soil_moisture_total_mm
MY_0p5_0.7500_110.2500,110.25,0.75,2006-01-01,2006,1,322.1676330566407,81.91679100623499,110.8125004695012,60.66035725520208,204.38053753192614,265.0408806434045,42.9301985520583,129.73430856557994,264.4053847092849,463.57888136643635,900.6487642728366
MY_0p5_0.7500_110.7500,110.75,0.75,2006-01-01,2006,1,313.08091823032925,82.75379050118582,114.67416512625557,45.16720559256417,158.22187826974053,203.3890897478376,42.88165010724748,129.65562918526783,264.68655613490506,466.1713352748326,903.3951764787946
MY_0p5_0.7500_111.7500,111.75,0.75,2006-01-01,2006,1,320.7056894453745,81.3275417751736,116.00926656571644,49.979795910063245,152.28454008556548,202.26433841765873,42.9219222295852,129.7339545355903,264.73372734917535,466.15375773111975,903.5433601500496
MY_0p5_1.2500_103.2500,103.25,1.25,2006-01-01,2006,1,359.70703924975345,97.37546176354861,114.45078225569293,98.88220561634411,149.83577901666814,248.71798463301226,39.174515203996144,116.44545641812412,237.97921371459964,418.72494437477803,812.3241050026634
MY_0p5_1.2500_103.7500,103.75,1.25,2006-01-01,2006,1,376.9376712539821,98.5477172703419,106.51959584060225,118.223508075603,165.24473586591702,283.46823697877164,40.480609893798835,121.29663626661579,247.88388342996245,436.52408133201226,846.1851907378261
MY_0p5_1.2500_104.2500,104.25,1.25,2006-01-01,2006,1,361.5443089076451,100.12183194841657,97.77555084228516,141.32110595703125,183.99330139160156,325.31439208984375,42.198219299316406,127.6718521118164,260.91607666015625,459.93231201171875,890.7184448242188
MY_0p5_1.2500_109.7500,109.75,1.25,2006-01-01,2006,1,362.1022574183453,83.48357547622129,114.49875925822433,115.67550153617398,243.49726261001038,359.1727636865823,43.23596651008331,130.61835562464702,266.14685242434587,467.3377281097045,907.3389017495765
MY_0p5_1.2500_110.2500,110.25,1.25,2006-01-01,2006,1,338.3998611037796,81.82541079134558,112.29171617426928,85.48978485932223,227.73048554055939,313.2202611503454,43.06439668515475,130.1092945231434,265.0663823308172,464.6736723557402,902.9137526110795
MY_0p5_1.2500_110.7500,110.75,1.25,2006-01-01,2006,1,329.06012883262025,82.42397393120659,116.14615454295321,57.27286160181439,171.1683397081163,228.44120614188054,42.96165277390252,129.87281290690103,265.03786030118425,466.64315437437995,904.515495566716
MY_0p5_1.2500_111.2500,111.25,1.25,2006-01-01,2006,1,321.489926956713,81.61398498242657,114.42414726769202,43.40311934011052,137.8800508541802,181.28317187617006,42.845306810860436,129.54950253422652,264.5373951482316,466.26693023584147,903.1991510848269
MY_0p5_1.2500_111.7500,111.75,1.25,2006-01-01,2006,1,332.0233381967696,80.66609034462581,114.84619661361452,54.37561719379728,162.42199392167348,216.79761517237102,42.95873405819848,129.8277098640563,264.84683711945064,466.09956335642977,903.7328384641617
MY_0p5_1.2500_112.2500,112.25,1.25,2006-01-01,2006,1,364.01577758789057,79.8077206684248,115.6509136838961,65.84678119330235,183.0745339175771,248.92132057151213,43.04606663273071,130.04462622627995,265.07862102682816,465.88293596451655,904.0522287436547
MY_0p5_1.2500_112.7500,112.75,1.25,2006-01-01,2006,1,405.2492879231771,80.17116228739421,112.77012570699057,85.61962334314981,207.77655378977454,293.39617284138996,43.10963940620422,130.16888586680093,264.96545664469403,464.2410710652669,902.485055287679
MY_0p5_1.2500_113.2500,113.25,1.25,2006-01-01,2006,1,412.6324534540591,81.34212374479876,113.4826243524966,82.20576967985733,201.9796714451002,284.18544032884677,43.09015008677607,130.07335696013075,264.6192887015964,463.07093930451765,900.8537300441576
MY_0p5_1.2500_113.7500,113.75,1.25,2006-01-01,2006,1,391.4152600837477,81.89469545537776,113.06166770241477,74.3535869771784,189.53792433305222,263.8915123217033,43.03092580853087,129.88752341992927,264.20679959383875,462.1059579560251,899.2311956232245
MY_0p5_1.2500_114.2500,114.25,1.25,2006-01-01,2006,1,349.81921197671807,81.10572166780454,113.33675728856988,62.5689937962895,167.92844424627526,230.49743746867222,42.91370138657831,129.53951810313538,263.51431031353707,460.7134804514657,896.6810140694138
MY_0p5_1.2500_114.7500,114.75,1.25,2006-01-01,2006,1,305.75265995148686,79.71629210441344,111.67669382402973,50.85179581180696,154.7895773610761,205.64137661841607,42.833755739273556,129.26133481917842,262.7643787014869,458.50599030525456,893.3654568579889
MY_0p5_1.7500_102.7500,102.75,1.75,2006-01-01,2006,1,312.02713737698554,95.92629090198497,119.93978476524352,48.1379057765007,104.74347853660583,152.8813829421997,41.00511157512665,123.27012085914612,252.08570384979248,444.0520143508911,860.4129600524902
MY_0p5_1.7500_103.2500,103.25,1.75,2006-01-01,2006,1,356.2381182932025,95.13856579990461,123.66294372558596,103.26158039093018,144.42828605651857,247.68986831665043,41.08038953781128,123.40209098815919,252.16522094726562,443.6565266418458,860.3042147827149
MY_0p5_1.7500_103.7500,103.75,1.75,2006-01-01,2006,1,371.05891447429417,96.71896251243882,116.26072770130784,123.05959138990957,158.78616221947004,281.84575073628486,41.17932556248918,123.85708106318606,253.12597810769384,445.44058555892747,863.6029558785355
MY_0p5_1.7500_104.2500,104.25,1.75,2006-01-01,2006,1,360.51308670043943,98.7185589313507,112.58915680877921,137.30343320388204,171.476861170096,308.78028526601867,42.27838152508403,127.9533725117528,261.54077952776765,460.550138251726,892.3226550198341
