grid_id,longitude,latitude,date,year,month,precipitation_mm,PET_mm,actual_evapotranspiration_mm,surface_runoff_mm,subsurface_runoff_mm,total_runoff_mm,soil_moisture_0_10cm_mm,soil_moisture_10_40cm_mm,soil_moisture_40_100cm_mm,soil_moisture_100_200cm_mm,soil_moisture_total_mm
SL_9.7500_79.9500,79.94999999999999,9.75,2000-01-01,2000,1,123.85732,121.635,176.03735,16.020786,0.28300565,16.303791,38.814842,118.922005,243.76093,420.4707,821.9685
SL_9.7500_80.0500,80.05000000000001,9.75,2000-01-01,2000,1,130.05751,120.39,184.15063,15.197894,0.193506,15.3914,37.404243,116.22712,239.17282,418.70508,811.5093
SL_9.7500_80.1500,80.15000000000003,9.75,2000-01-01,2000,1,136.62787,119.46,173.14464,17.50797,0.16261527,17.670586,37.32717,116.07095,238.86232,417.3149,809.5754
SL_9.7500_80.2500,80.25,9.75,2000-01-01,2000,1,143.60255,122.075,172.445,13.442914,0.121036716,13.563951,36.169304,113.98415,234.54912,410.65955,795.3621
SL_9.6500_80.0500,80.05000000000001,9.649999999999991,2000-01-01,2000,1,135.41652,119.049,183.16577,14.474902,0.21340498,14.688307,37.097748,114.73111,236.3419,416.413,804.58374
SL_9.6500_80.1500,80.15000000000003,9.649999999999991,2000-01-01,2000,1,141.205,117.582,185.57686,19.11235,0.20518811,19.317537,37.468292,115.36138,237.01605,416.23148,806.0772
SL_9.6500_80.2500,80.25,9.649999999999991,2000-01-01,2000,1,147.18915,119.515,186.40443,18.09174,0.17770933,18.26945,37.592453,115.501465,237.54228,417.46326,808.0994
SL_9.6500_80.3500,80.35000000000002,9.649999999999991,2000-01-01,2000,1,153.37904,123.632,192.85814,36.306564,0.39303803,36.699604,38.71406,118.3343,243.31334,427.7132,828.0749
SL_9.5500_80.4500,80.44999999999999,9.549999999999997,2000-01-01,2000,1,160.47519,123.836,195.93703,34.105103,0.37301847,34.478123,38.799862,118.27767,242.7523,426.48166,826.3115
SL_9.4500_80.2500,80.25,9.449999999999989,2000-01-01,2000,1,152.00633,122.31,171.52773,28.86468,0.09216566,28.956844,38.607025,117.84438,239.74713,408.22818,804.4267
SL_9.4500_80.3500,80.35000000000002,9.449999999999989,2000-01-01,2000,1,156.71918,117.866,182.02168,35.50126,0.2580945,35.759354,38.604813,118.036964,242.78278,426.5273,825.9519
SL_9.4500_80.4500,80.44999999999999,9.449999999999989,2000-01-01,2000,1,161.43202,115.709,199.30203,43.938396,0.32877707,44.267174,39.14218,119.13446,244.57938,430.31973,833.1757
SL_9.4500_80.5500,80.55000000000001,9.449999999999989,2000-01-01,2000,1,166.11708,120.155,198.91129,48.161217,0.47503683,48.636253,39.179405,119.14767,244.28766,429.7415,832.3562
