region_id,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,small_region_lt_4_cells,C1_scaled_loading,C1_raw_weight,C2_scaled_loading,C2_raw_weight
MYS_00_21,1,110.25,0.75,21,0,True,2385.4801988062695,10.19944619516208,1121.433915778082,9.043167106590829
MYS_00_22,1,110.75,0.75,22,0,True,2557.3585435741657,10.934335518683161,1084.5849770583359,8.746019761700708
MYS_00_24,1,111.75,0.75,24,0,True,2702.6174198911935,11.555409671428855,1070.0104563132843,8.62849181400659
MYS_01_07,1,103.25,1.25,7,1,True,1556.5198668965375,6.655113147472986,944.7616220830246,7.61849370184492
MYS_01_08,1,103.75,1.25,8,1,True,1465.4141217671156,6.265578098729891,1051.4500297876093,8.478821792189187
MYS_01_09,1,104.25,1.25,9,1,True,1367.9350186212157,5.84879288785839,1107.5579555885342,8.93127230388066
MYS_01_20,1,109.75,1.25,20,1,True,2108.2270116589425,9.014012349950766,1228.6298068485562,9.907587508409705
MYS_01_21,1,110.25,1.25,21,1,True,2367.73688677622,10.123582242711324,1148.8514628475723,9.26426034830021
MYS_01_22,1,110.75,1.25,22,1,True,2540.487577483478,10.862201400366656,1107.2756516136583,8.928995823756651
MYS_01_23,1,111.25,1.25,23,1,True,2600.14956620305,11.117294376676481,1083.7541078934662,8.739319689056288
MYS_01_24,1,111.75,1.25,24,1,True,2700.300128485076,11.545501775724235,1081.0047832640985,8.717149321543916
MYS_01_25,1,112.25,1.25,25,1,True,2824.402219278792,12.076117204178026,1107.7417270864355,8.93275422478707
MYS_01_26,1,112.75,1.25,26,1,True,2986.313094752286,12.768389252225155,1143.7322662427578,9.222979493764335
MYS_01_27,1,113.25,1.25,27,1,True,3088.9926177316993,13.207409567924069,1128.8235205139463,9.102756378448824
MYS_01_28,1,113.75,1.25,28,1,True,3126.770024647228,13.368932027603464,1038.1278501557679,8.371392638371262
MYS_01_29,1,114.25,1.25,29,1,True,3130.3509312374567,13.3842426825044,883.2494607976632,7.122463801407017
MYS_01_30,1,114.75,1.25,30,1,True,2976.8851930968085,12.728078971839496,790.867101248071,6.377498713982782
MYS_02_06,1,102.75,1.75,6,2,True,1519.0662421853835,6.494975062802919,916.9351024250994,7.39410253289507
MYS_02_07,1,103.25,1.75,7,2,True,1469.9224868606423,6.284854229054755,1040.695385937336,8.392097072933295
MYS_02_08,1,103.75,1.75,8,2,True,1404.0441683632353,6.00318248628435,1116.5964517440245,9.004158124414868
MYS_02_09,1,104.25,1.75,9,2,True,1356.069202482041,5.798058971335519,1129.3846552251598,9.10728133073662
MYS_02_20,1,109.75,1.75,20,2,True,2062.8792609757916,8.820121852181858,1254.9677739664955,10.119975090543928
