component,component_index,month,raw_component_value,normalized_seasonal_profile
C1,1,1,0.008300242107433532,8.867924523803909e-05
C1,1,2,2.549747049416693,0.027241331151978104
C1,1,3,6.583721820004765,0.07034005445845447
C1,1,4,9.203498970743567,0.0983295826447849
C1,1,5,10.83294373870183,0.11573846425441904
C1,1,6,7.920914690261669,0.08462653585709588
C1,1,7,8.173474760244178,0.08732487116990044
C1,1,8,9.967877056566007,0.10649614825213322
C1,1,9,11.021545774828905,0.11775347610559476
C1,1,10,12.675771169556553,0.13542711231515395
C1,1,11,9.735391795186933,0.10401229088493659
C1,1,12,4.925287808362166,0.05262145366031062
C2,2,1,7.072987668663355,0.08817812016712553
C2,2,2,0.9816364897114535,0.012237948714898526
C2,2,3,3.5672101750208633,0.044471997154467806
C2,2,4,2.2557240569374284,0.028121851228123718
C2,2,5,3.4541783412115743,0.04306284234022937
C2,2,6,3.018756192030538,0.03763448470799144
C2,2,7,4.335876718739518,0.054054874155762156
C2,2,8,4.7220821784687965,0.05886965300630183
C2,2,9,5.119553185867178,0.06382487813819385
C2,2,10,7.873607862324172,0.09815935963084316
C2,2,11,16.480738411111084,0.20546346185452155
C2,2,12,21.33015104200707,0.26592052890154105
C3,3,1,25.822174363239757,0.17775256076949233
C3,3,2,20.334367295852093,0.1399760456892693
C3,3,3,16.50226106902406,0.11359690792273389
C3,3,4,11.802561654866224,0.0812455035072063
C3,3,5,10.26907894238808,0.07068944129476999
C3,3,6,9.119150641969831,0.06277365940803468
C3,3,7,7.094687453771859,0.04883782616550012
C3,3,8,8.59904977900999,0.05919343185054655
C3,3,9,7.93535924937165,0.054624773551591656
C3,3,10,9.418246148356975,0.06483254846311938
C3,3,11,6.401792888984138,0.0440681355305544
C3,3,12,11.971607274871333,0.08240916584718148
