month,regional_year_records,aet_exceeds_pet_records,maximum_aet_minus_pet_mm,mean_aet_minus_pet_mm,aet_exceeds_pet_percentage
1,5160,4809,74.18683141820571,24.446200776995155,93.19767441860465
2,5160,4426,64.99272694307217,17.868925605420944,85.7751937984496
3,5160,4219,67.2470820967559,16.3386920333984,81.76356589147287
4,5160,3988,51.31859588623047,9.971757610601665,77.28682170542636
5,5160,3656,50.62457521655891,7.691577167991536,70.85271317829458
6,5160,3424,39.837557337086665,5.059194037988087,66.35658914728683
7,5160,3249,41.904339152536565,3.074590486657589,62.96511627906977
8,5160,2975,53.57585912200885,1.554343247724275,57.65503875968992
9,5160,3439,50.20927146448497,5.953687002301033,66.64728682170542
10,5160,3985,56.0273772224547,11.800845344826126,77.22868217054264
11,5160,4458,79.4799750258283,17.84171616150761,86.3953488372093
12,5160,4730,81.57232284545897,24.347498108837126,91.66666666666667
