region_id,monthly_records,aet_exceeds_pet_records,maximum_aet_minus_pet_mm,mean_aet_minus_pet_mm,aet_exceeds_pet_percentage
MYS_00_21,360,308,44.492686814528255,13.907488257253272,85.55555555555556
MYS_00_22,360,324,44.38244236537389,18.170019509148975,90.0
MYS_00_24,360,334,44.981161813887326,18.496331245852947,92.77777777777777
MYS_01_07,360,244,43.53322516135803,7.025133225538343,67.77777777777777
MYS_01_08,360,147,34.36481009177791,-2.143352294971257,40.833333333333336
MYS_01_09,360,62,27.399097006661563,-13.791162113613545,17.22222222222222
MYS_01_20,360,302,49.434903156326484,13.083023562041951,83.88888888888889
MYS_01_21,360,309,46.20073944445282,13.96737235669464,85.83333333333333
MYS_01_22,360,327,47.83456122988741,18.942204976763044,90.83333333333333
MYS_01_23,360,332,44.5708184775453,19.350215494171454,92.22222222222223
MYS_01_24,360,334,44.817784990583164,18.348834578700796,92.77777777777777
MYS_01_25,360,341,47.84083843715298,20.294723092265805,94.72222222222223
MYS_01_26,360,350,50.08875131607057,20.565104315016004,97.22222222222223
MYS_01_27,360,351,51.58474419635277,22.10980825820407,97.5
MYS_01_28,360,353,55.457717028531164,23.558649782861526,98.05555555555556
MYS_01_29,360,354,62.101338411854414,26.356425867859006,98.33333333333333
MYS_01_30,360,353,63.22198560160979,25.251990921266618,98.05555555555556
MYS_02_06,360,303,55.38910492217343,12.802666956555838,84.16666666666667
MYS_02_07,360,321,59.80370541723538,15.974614837921415,89.16666666666667
MYS_02_08,360,236,48.30618909039073,6.611899872134675,65.55555555555556
MYS_02_09,360,150,44.22896726482601,-0.16151641706471057,41.666666666666664
MYS_02_20,360,302,49.669015928756366,13.103863060258774,83.88888888888889
MYS_02_21,360,307,48.45260790112606,14.095403940568872,85.27777777777777
MYS_02_22,360,331,53.707069674405204,20.28205027156406,91.94444444444444
MYS_02_23,360,334,46.53780856887636,20.001992809845948,92.77777777777777
MYS_02_24,360,333,44.87360804594017,16.94198416664295,92.5
MYS_02_25,360,341,46.89331364707343,18.409347843526742,94.72222222222223
MYS_02_26,360,350,49.75053040035188,20.173147987352266,97.22222222222223
MYS_02_27,360,352,51.96576700361946,22.107607440578455,97.77777777777777
MYS_02_28,360,354,57.17708684527686,23.312822625296455,98.33333333333333
MYS_02_29,360,356,64.17799743167936,26.754242930134765,98.88888888888889
MYS_02_30,360,356,65.02779487254087,26.663678391499978,98.88888888888889
MYS_03_04,360,311,57.70816371416805,15.616868968068815,86.38888888888889
MYS_03_05,360,305,52.06191465386932,14.257510759575704,84.72222222222223
MYS_03_06,360,318,58.50859231586698,16.776592332434888,88.33333333333333
MYS_03_07,360,329,65.51135721358044,20.3068889372353,91.38888888888889
MYS_03_08,360,319,70.25569830425712,18.647456266686962,88.61111111111111
MYS_03_09,360,318,75.29083889863395,20.267003957391893,88.33333333333333
MYS_03_23,360,312,46.390355334562415,13.891483137627526,86.66666666666667
MYS_03_24,360,321,46.11369522336928,15.408876644383453,89.16666666666667
MYS_03_25,360,331,46.54236117166185,17.305657226421214,91.94444444444444
MYS_03_26,360,342,48.87604992578899,19.6996417658165,95.0
MYS_03_27,360,356,53.63979160369392,23.344991090428053,98.88888888888889
MYS_03_28,360,358,59.245815011519454,25.42142793840497,99.44444444444444
MYS_03_29,360,359,65.09170084151012,28.346402097294987,99.72222222222223
MYS_03_30,360,359,65.39720018448374,28.067366548080177,99.72222222222223
MYS_03_31,360,356,57.47618103027345,26.45685772365994,98.88888888888889
MYS_04_03,360,308,61.01866149902344,15.511363728841145,85.55555555555556
MYS_04_04,360,230,48.97477977405893,5.788548855482929,63.888888888888886
MYS_04_05,360,328,60.974715603385036,19.95884200121103,91.11111111111111
MYS_04_06,360,327,64.87474149390111,20.959500466486237,90.83333333333333
MYS_04_07,360,299,68.47692193195319,16.36823301646023,83.05555555555556
MYS_04_08,360,248,67.36377970520279,11.774855781821758,68.88888888888889
MYS_04_09,360,305,81.57232284545897,20.618804800276664,84.72222222222223
MYS_04_23,360,317,50.33173505307211,16.17102515680821,88.05555555555556
MYS_04_24,360,321,48.63665162027725,16.505494070689533,89.16666666666667
MYS_04_25,360,333,47.35646880958652,17.719685804111766,92.5
MYS_04_26,360,344,47.218978543824775,19.280897699361446,95.55555555555556
MYS_04_27,360,355,51.358152238149486,23.02723073175554,98.61111111111111
MYS_04_28,360,358,57.10186806454021,26.15261253848282,99.44444444444444
MYS_04_29,360,359,64.00428520878657,27.997641804047277,99.72222222222223
MYS_04_30,360,359,65.1327938881649,27.518759022109997,99.72222222222223
MYS_04_31,360,355,57.20585831650739,24.043072367525912,98.61111111111111
