file,year,rows,grid_count,date_min,date_max,missing_values,negative_values,duplicate_grid_date_rows,runoff_identity_mismatches,runoff_identity_max_error_mm,soil_identity_mismatches,soil_identity_max_error_mm
Malaysia_Hydrology_1982_0p5deg_M01_12.csv,1982,2124,177,1982-01-01,1982-12-01,540,0,0,60,1.8849092271011614e-05,60,5.7220458984375e-05
Malaysia_Hydrology_1983_0p5deg_M01_12.csv,1983,2124,177,1983-01-01,1983-12-01,540,0,0,60,9.00664888376923e-05,60,4.9591064453125e-05
Malaysia_Hydrology_1984_0p5deg_M01_12.csv,1984,2124,177,1984-01-01,1984-12-01,540,0,0,60,3.0517578125e-05,60,5.191167190332635e-05
Malaysia_Hydrology_1985_0p5deg_M01_12.csv,1985,2124,177,1985-01-01,1985-12-01,540,0,0,60,4.014235275917599e-05,60,5.340576171875e-05
Malaysia_Hydrology_1986_0p5deg_M01_12.csv,1986,2124,177,1986-01-01,1986-12-01,540,0,0,60,3.0517578125e-05,60,5.340576160506316e-05
Malaysia_Hydrology_1987_0p5deg_M01_12.csv,1987,2124,177,1987-01-01,1987-12-01,540,0,0,60,3.0517578125e-05,60,4.7956194180187595e-05
Malaysia_Hydrology_1988_0p5deg_M01_12.csv,1988,2124,177,1988-01-01,1988-12-01,540,0,0,60,5.925166146880656e-05,60,5.354200072815729e-05
Malaysia_Hydrology_1989_0p5deg_M01_12.csv,1989,2124,177,1989-01-01,1989-12-01,540,0,0,60,2.627449237024848e-05,60,4.9591064453125e-05
Malaysia_Hydrology_1990_0p5deg_M01_12.csv,1990,2124,177,1990-01-01,1990-12-01,540,0,0,60,1.5576680539197696e-05,60,5.232823366441153e-05
Malaysia_Hydrology_1991_0p5deg_M01_12.csv,1991,2124,177,1991-01-01,1991-12-01,540,0,0,60,3.689755976665765e-05,60,5.340576171875e-05
Malaysia_Hydrology_1992_0p5deg_M01_12.csv,1992,2124,177,1992-01-01,1992-12-01,540,0,0,60,3.0517578011313162e-05,60,4.9591064453125e-05
Malaysia_Hydrology_1993_0p5deg_M01_12.csv,1993,2124,177,1993-01-01,1993-12-01,540,0,0,60,2.7935321554650727e-05,60,4.9591064453125e-05
Malaysia_Hydrology_1994_0p5deg_M01_12.csv,1994,2124,177,1994-01-01,1994-12-01,540,0,0,60,6.103515625e-05,60,4.9781799361880985e-05
Malaysia_Hydrology_1995_0p5deg_M01_12.csv,1995,2124,177,1995-01-01,1995-12-01,540,0,0,60,3.0517578125e-05,60,4.57763671875e-05
Malaysia_Hydrology_1996_0p5deg_M01_12.csv,1996,2124,177,1996-01-01,1996-12-01,540,0,0,60,5.925166146880656e-05,60,5.340576171875e-05
Malaysia_Hydrology_1997_0p5deg_M01_12.csv,1997,2124,177,1997-01-01,1997-12-01,540,0,0,60,3.0517578125e-05,60,5.7220458984375e-05
Malaysia_Hydrology_1998_0p5deg_M01_12.csv,1998,2124,177,1998-01-01,1998-12-01,540,0,0,60,3.0517578125e-05,60,5.7220458984375e-05
Malaysia_Hydrology_1999_0p5deg_M01_12.csv,1999,2124,177,1999-01-01,1999-12-01,540,0,0,60,3.0517578125e-05,60,4.9591064453125e-05
Malaysia_Hydrology_2000_0p5deg_M01_12.csv,2000,2124,177,2000-01-01,2000-12-01,540,0,0,60,3.0814827368885744e-05,60,5.340576171875e-05
Malaysia_Hydrology_2001_0p5deg_M01_12.csv,2001,2124,177,2001-01-01,2001-12-01,540,0,0,60,4.57763671875e-05,60,4.9591064453125e-05
Malaysia_Hydrology_2002_0p5deg_M01_12.csv,2002,2124,177,2002-01-01,2002-12-01,540,0,0,60,3.0517578125e-05,60,4.9591064453125e-05
Malaysia_Hydrology_2003_0p5deg_M01_12.csv,2003,2124,177,2003-01-01,2003-12-01,540,0,0,60,3.051757823868684e-05,60,4.76837158203125e-05
Malaysia_Hydrology_2004_0p5deg_M01_12.csv,2004,2124,177,2004-01-01,2004-12-01,540,0,0,60,2.5939941451724735e-05,60,5.340576171875e-05
Malaysia_Hydrology_2005_0p5deg_M01_12.csv,2005,2124,177,2005-01-01,2005-12-01,540,0,0,60,3.0517578125e-05,60,5.340576171875e-05
Malaysia_Hydrology_2006_0p5deg_M01_12.csv,2006,2124,177,2006-01-01,2006-12-01,540,0,0,60,3.8623809814453125e-05,60,5.340576171875e-05
Malaysia_Hydrology_2007_0p5deg_M01_12.csv,2007,2124,177,2007-01-01,2007-12-01,540,0,0,60,4.00543212890625e-05,60,5.340576171875e-05
Malaysia_Hydrology_2008_0p5deg_M01_12.csv,2008,2124,177,2008-01-01,2008-12-01,540,0,0,60,3.0517578125e-05,60,6.4849853515625e-05
Malaysia_Hydrology_2009_0p5deg_M01_12.csv,2009,2124,177,2009-01-01,2009-12-01,540,0,0,60,4.429012153650547e-05,60,5.0305044965170964e-05
Malaysia_Hydrology_2010_0p5deg_M01_12.csv,2010,2124,177,2010-01-01,2010-12-01,540,0,0,60,3.0517578125e-05,60,5.047137926794676e-05
Malaysia_Hydrology_2011_0p5deg_M01_12.csv,2011,2124,177,2011-01-01,2011-12-01,540,0,0,60,3.051757823868684e-05,60,5.340576171875e-05
