target,depth_label,component,component_label,primary_alpha,sensitivity_alpha,primary_dominant_lag,sensitivity_dominant_lag,dominant_lag_agreement,primary_memory_index_months,sensitivity_memory_index_months,memory_index_difference_months,primary_net_effect,sensitivity_net_effect
SM_0_10cm_mm,0–10 cm,C1,January eastern,300.0,3000.0,2,0,False,1.3627975966700188,1.2749677743987162,-0.08782982227130254,0.31642167318365755,0.15178749419876555
SM_0_10cm_mm,0–10 cm,C2,May–June southwest,300.0,3000.0,0,1,False,0.6463913094223805,1.2187566560859666,0.5723653466635861,0.16654202488761735,0.20018257727466504
SM_0_10cm_mm,0–10 cm,C3,April–October,300.0,3000.0,0,1,False,0.89796602366312,1.344313684242277,0.446347660579157,0.5245987550011622,0.2728506690148279
SM_0_10cm_mm,0–10 cm,C4,November northern,300.0,3000.0,3,3,True,1.5989614878791583,1.811112334773481,0.21215084689432273,0.0014138084084040214,-0.038726728493018794
SM_10_40cm_mm,10–40 cm,C1,January eastern,300.0,10000.0,2,0,False,1.5227689488567138,1.1219229486286995,-0.4008460002280143,0.3128810344745326,0.06779324721908443
SM_10_40cm_mm,10–40 cm,C2,May–June southwest,300.0,10000.0,0,1,False,0.5868807988761361,1.4445419050556745,0.8576611061795384,0.16434289610600578,0.11541462209079706
SM_10_40cm_mm,10–40 cm,C3,April–October,300.0,10000.0,0,2,False,1.0867292933466837,1.540278649228599,0.45354935588191525,0.512359871398562,0.13171462362289488
SM_10_40cm_mm,10–40 cm,C4,November northern,300.0,10000.0,1,3,False,1.4400871226439949,1.9455540137618625,0.5054668911178677,0.018541471698222456,-0.028929029794252055
SM_40_100cm_mm,40–100 cm,C1,January eastern,300.0,10000.0,2,0,False,1.7158408405870456,1.0858510620079422,-0.6299897785791033,0.32974497916786055,0.07211989317975251
SM_40_100cm_mm,40–100 cm,C2,May–June southwest,300.0,10000.0,0,1,False,0.7666177410863011,1.5057655386536442,0.7391477975673431,0.1651331902421204,0.11605760942937049
SM_40_100cm_mm,40–100 cm,C3,April–October,300.0,10000.0,0,2,False,1.3062616047578108,1.648547871208722,0.3422862664509112,0.5475951411045082,0.1352108324889571
SM_40_100cm_mm,40–100 cm,C4,November northern,300.0,10000.0,1,3,False,1.2952571089409848,1.7975027122527016,0.5022456033117169,0.047820106712973834,-0.01694271324683634
SM_100_200cm_mm,100–200 cm,C1,January eastern,300.0,3000.0,2,0,False,1.7394665721288938,1.2835928327536805,-0.45587373937521325,0.36811054038129687,0.17459719123222012
SM_100_200cm_mm,100–200 cm,C2,May–June southwest,300.0,3000.0,0,0,True,0.9133073828884958,1.3273763937464924,0.41406901085799663,0.21629014542265423,0.2165635229780406
SM_100_200cm_mm,100–200 cm,C3,April–October,300.0,3000.0,1,2,False,1.5301709945555577,1.7125505038088722,0.18237950925331448,0.5912666106182694,0.2835613319679441
SM_100_200cm_mm,100–200 cm,C4,November northern,300.0,3000.0,0,3,False,1.362218323598747,1.4994701029932243,0.1372517793944772,0.06745802104523341,0.006814781272386182
