feature,variance_inflation_factor
K4_C2_L2_mm,18.79494624768284
K4_C2_L1_mm,18.312968910047267
K4_C1_L1_mm,13.47701727104998
K4_C1_L2_mm,11.786823018232164
K4_C3_L1_mm,9.698136584408667
K4_C3_L2_mm,8.746827753037895
K4_C1_L0_mm,7.857366979034392
K4_C2_L3_mm,7.3271701245152565
K4_C4_L2_mm,7.181064503692698
K4_C2_L0_mm,7.095923189171009
K4_C1_L3_mm,6.869125592067599
K4_C4_L1_mm,6.718542466375564
K4_C3_L0_mm,5.2093941604294995
K4_C3_L3_mm,4.729693434241717
PET_mm,4.3174505100380385
K4_C4_L0_mm,4.282484483474061
K4_C4_L3_mm,3.8533784445429946
longitude,2.4141284581890003
latitude,2.239864956975705
