target,depth_label,selected_alpha,feature,feature_type,component,component_label,lag_months,standardized_coefficient,bootstrap_mean_coefficient,bootstrap_median_coefficient,bootstrap_q025_coefficient,bootstrap_q975_coefficient,probability_positive,probability_negative,stable_positive_95,stable_negative_95,absolute_standardized_coefficient
SM_0_10cm_mm,0–10 cm,100.0,K4_C1_L0_mm,precipitation_component,C1,January eastern,0.0,0.09373214315693731,0.09380931259766222,0.09424750879406929,0.06691828947514296,0.11831652000546454,1.0,0.0,True,False,0.09373214315693731
SM_0_10cm_mm,0–10 cm,100.0,K4_C1_L1_mm,precipitation_component,C1,January eastern,1.0,0.08143813593995197,0.08130729776695371,0.08101153001189232,0.06415382977575064,0.0998821137472987,1.0,0.0,True,False,0.08143813593995197
SM_0_10cm_mm,0–10 cm,100.0,K4_C1_L2_mm,precipitation_component,C1,January eastern,2.0,0.05664764529051554,0.05671816973462701,0.05645609460771084,0.042762070707976815,0.07104155756533144,1.0,0.0,True,False,0.05664764529051554
SM_0_10cm_mm,0–10 cm,100.0,K4_C1_L3_mm,precipitation_component,C1,January eastern,3.0,0.03953089894535495,0.03929092035656213,0.03902766294777393,0.01362750728148967,0.06725078001618384,0.9994,0.0006,True,False,0.03953089894535495
SM_0_10cm_mm,0–10 cm,100.0,K4_C2_L0_mm,precipitation_component,C2,May–June southwest,0.0,0.21600838699979508,0.2102118683487177,0.21084580570459366,0.17225856073200702,0.24151122607290743,1.0,0.0,True,False,0.21600838699979508
SM_0_10cm_mm,0–10 cm,100.0,K4_C2_L1_mm,precipitation_component,C2,May–June southwest,1.0,0.10130234929131199,0.09890561113134026,0.09922140091657639,0.07873524948954583,0.1171290161088109,1.0,0.0,True,False,0.10130234929131199
SM_0_10cm_mm,0–10 cm,100.0,K4_C2_L2_mm,precipitation_component,C2,May–June southwest,2.0,0.06776870448297373,0.06606661624498665,0.06660597771406174,0.046812984813004735,0.08248320650309322,1.0,0.0,True,False,0.06776870448297373
SM_0_10cm_mm,0–10 cm,100.0,K4_C2_L3_mm,precipitation_component,C2,May–June southwest,3.0,0.11512174822295748,0.11250412704572081,0.1131330356001854,0.08230444062501192,0.13959563486278057,1.0,0.0,True,False,0.11512174822295748
SM_0_10cm_mm,0–10 cm,100.0,K4_C3_L0_mm,precipitation_component,C3,April–October,0.0,0.16879941221901762,0.16872265696525574,0.16847225278615952,0.14640046767890452,0.1923170257359743,1.0,0.0,True,False,0.16879941221901762
SM_0_10cm_mm,0–10 cm,100.0,K4_C3_L1_mm,precipitation_component,C3,April–October,1.0,0.11789405213297949,0.11898813363462686,0.11868352070450783,0.09625097326934337,0.14341173470020294,1.0,0.0,True,False,0.11789405213297949
SM_0_10cm_mm,0–10 cm,100.0,K4_C3_L2_mm,precipitation_component,C3,April–October,2.0,0.04785073847124953,0.04798885616101325,0.04802003875374794,0.03429896747693419,0.0617356748320162,1.0,0.0,True,False,0.04785073847124953
SM_0_10cm_mm,0–10 cm,100.0,K4_C3_L3_mm,precipitation_component,C3,April–October,3.0,0.031875810952466534,0.030283674209407037,0.030769324861466885,-0.0007264404703164467,0.05951940352097153,0.9724,0.0276,False,False,0.031875810952466534
