target,depth_label,component,component_label,dominant_lag_by_absolute_effect,dominant_standardized_coefficient,absolute_effect_memory_index_months,positive_effect_memory_index_months,net_standardized_effect_across_lags,total_absolute_effect_across_lags,stable_positive_lag_count,stable_negative_lag_count
SM_0_10cm_mm,0–10 cm,C1,January eastern,2,0.09760134916227846,1.3627975966700188,1.3627975966700188,0.31642167318365755,0.31642167318365755,4,0
SM_0_10cm_mm,0–10 cm,C2,May–June southwest,0,0.10561262025656463,0.6463913094223805,0.505915200505044,0.16654202488761735,0.18768416144219804,2,0
SM_0_10cm_mm,0–10 cm,C3,April–October,0,0.2205687813943603,0.89796602366312,0.89796602366312,0.5245987550011622,0.5245987550011622,3,0
SM_0_10cm_mm,0–10 cm,C4,November northern,3,-0.05247044087394554,1.5989614878791583,0.5019366889684476,0.0014138084084040214,0.1477369729749823,1,2
SM_100_200cm_mm,100–200 cm,C1,January eastern,2,0.11879167809702192,1.7394665721288938,1.7394665721288938,0.36811054038129687,0.36811054038129687,4,0
SM_100_200cm_mm,100–200 cm,C2,May–June southwest,0,0.10446746946431709,0.9133073828884958,0.9133073828884958,0.21629014542265423,0.21629014542265423,3,0
SM_100_200cm_mm,100–200 cm,C3,April–October,1,0.15722498540701615,1.5301709945555577,1.5301709945555577,0.5912666106182694,0.5912666106182694,4,0
SM_100_200cm_mm,100–200 cm,C4,November northern,0,0.050818960932175104,1.362218323598747,0.7355858160313716,0.06745802104523341,0.15106861023625748,3,0
SM_10_40cm_mm,10–40 cm,C1,January eastern,2,0.10032330260439398,1.5227689488567138,1.5227689488567138,0.3128810344745326,0.3128810344745326,4,0
SM_10_40cm_mm,10–40 cm,C2,May–June southwest,0,0.09545731515360573,0.5868807988761361,0.5734549569536194,0.16434289610600578,0.16618183251489943,1,0
SM_10_40cm_mm,10–40 cm,C3,April–October,0,0.18830848807650166,1.0867292933466837,1.0867292933466837,0.512359871398562,0.512359871398562,3,0
SM_10_40cm_mm,10–40 cm,C4,November northern,1,0.034520788689019075,1.4400871226439949,0.5214786700867693,0.018541471698222456,0.11385431232598367,1,0
SM_40_100cm_mm,40–100 cm,C1,January eastern,2,0.11360203581515296,1.7158408405870456,1.7158408405870456,0.32974497916786055,0.32974497916786055,4,0
SM_40_100cm_mm,40–100 cm,C2,May–June southwest,0,0.08565368514371606,0.7666177410863011,0.7666177410863011,0.1651331902421204,0.1651331902421204,1,0
SM_40_100cm_mm,40–100 cm,C3,April–October,0,0.16107763547716422,1.3062616047578108,1.3062616047578108,0.5475951411045082,0.5475951411045082,4,0
SM_40_100cm_mm,40–100 cm,C4,November northern,1,0.03965186140381027,1.2952571089409848,0.6376345435885759,0.047820106712973834,0.1078849922470994,1,0
