grid_id,longitude,latitude
MY_0p5_7.2500_116.7500,116.75,7.25
MY_0p5_7.2500_117.2500,117.25,7.25
MY_0p5_6.7500_100.2500,100.25,6.75
MY_0p5_6.7500_100.7500,100.75,6.75
MY_0p5_6.7500_116.2500,116.25,6.75
MY_0p5_6.7500_116.7500,116.75,6.75
MY_0p5_6.7500_117.2500,117.25,6.75
MY_0p5_6.7500_117.7500,117.75,6.75
MY_0p5_6.2500_99.7500,99.75,6.25
MY_0p5_6.2500_100.2500,100.25,6.25
MY_0p5_6.2500_100.7500,100.75,6.25
MY_0p5_6.2500_101.2500,101.25,6.25
MY_0p5_6.2500_101.7500,101.75,6.25
MY_0p5_6.2500_102.2500,102.25,6.25
MY_0p5_6.2500_115.7500,115.75,6.25
MY_0p5_6.2500_116.2500,116.25,6.25
MY_0p5_6.2500_116.7500,116.75,6.25
MY_0p5_6.2500_117.2500,117.25,6.25
MY_0p5_6.2500_117.7500,117.75,6.25
MY_0p5_6.2500_118.2500,118.25,6.25
MY_0p5_5.7500_100.2500,100.25,5.75
MY_0p5_5.7500_100.7500,100.75,5.75
MY_0p5_5.7500_101.2500,101.25,5.75
MY_0p5_5.7500_101.7500,101.75,5.75
MY_0p5_5.7500_102.2500,102.25,5.75
MY_0p5_5.7500_102.7500,102.75,5.75
MY_0p5_5.7500_103.2500,103.25,5.75
MY_0p5_5.7500_115.2500,115.25,5.75
MY_0p5_5.7500_115.7500,115.75,5.75
MY_0p5_5.7500_116.2500,116.25,5.75
MY_0p5_5.7500_116.7500,116.75,5.75
MY_0p5_5.7500_117.2500,117.25,5.75
MY_0p5_5.7500_117.7500,117.75,5.75
MY_0p5_5.7500_118.2500,118.25,5.75
MY_0p5_5.7500_118.7500,118.75,5.75
MY_0p5_5.2500_100.2500,100.25,5.25
MY_0p5_5.2500_100.7500,100.75,5.25
MY_0p5_5.2500_101.2500,101.25,5.25
MY_0p5_5.2500_101.7500,101.75,5.25
MY_0p5_5.2500_102.2500,102.25,5.25
MY_0p5_5.2500_102.7500,102.75,5.25
MY_0p5_5.2500_103.2500,103.25,5.25
MY_0p5_5.2500_115.2500,115.25,5.25
MY_0p5_5.2500_115.7500,115.75,5.25
MY_0p5_5.2500_116.2500,116.25,5.25
MY_0p5_5.2500_116.7500,116.75,5.25
MY_0p5_5.2500_117.2500,117.25,5.25
MY_0p5_5.2500_117.7500,117.75,5.25
MY_0p5_5.2500_118.2500,118.25,5.25
MY_0p5_5.2500_118.7500,118.75,5.25
MY_0p5_5.2500_119.2500,119.25,5.25
MY_0p5_4.7500_100.2500,100.25,4.75
MY_0p5_4.7500_100.7500,100.75,4.75
MY_0p5_4.7500_101.2500,101.25,4.75
MY_0p5_4.7500_101.7500,101.75,4.75
MY_0p5_4.7500_102.2500,102.25,4.75
MY_0p5_4.7500_102.7500,102.75,4.75
MY_0p5_4.7500_103.2500,103.25,4.75
MY_0p5_4.7500_103.7500,103.75,4.75
MY_0p5_4.7500_113.7500,113.75,4.75
MY_0p5_4.7500_114.2500,114.25,4.75
MY_0p5_4.7500_114.7500,114.75,4.75
MY_0p5_4.7500_115.2500,115.25,4.75
MY_0p5_4.7500_115.7500,115.75,4.75
MY_0p5_4.7500_116.2500,116.25,4.75
MY_0p5_4.7500_116.7500,116.75,4.75
MY_0p5_4.7500_117.2500,117.25,4.75
MY_0p5_4.7500_117.7500,117.75,4.75
MY_0p5_4.7500_118.2500,118.25,4.75
MY_0p5_4.7500_118.7500,118.75,4.75
MY_0p5_4.2500_100.7500,100.75,4.25
MY_0p5_4.2500_101.2500,101.25,4.25
MY_0p5_4.2500_101.7500,101.75,4.25
MY_0p5_4.2500_102.2500,102.25,4.25
MY_0p5_4.2500_102.7500,102.75,4.25
MY_0p5_4.2500_103.2500,103.25,4.25
MY_0p5_4.2500_113.7500,113.75,4.25
MY_0p5_4.2500_114.2500,114.25,4.25
MY_0p5_4.2500_114.7500,114.75,4.25
MY_0p5_4.2500_115.2500,115.25,4.25
MY_0p5_4.2500_115.7500,115.75,4.25
MY_0p5_4.2500_116.2500,116.25,4.25
MY_0p5_4.2500_116.7500,116.75,4.25
MY_0p5_4.2500_117.2500,117.25,4.25
MY_0p5_4.2500_117.7500,117.75,4.25
MY_0p5_4.2500_118.2500,118.25,4.25
MY_0p5_4.2500_118.7500,118.75,4.25
MY_0p5_3.7500_100.7500,100.75,3.75
MY_0p5_3.7500_101.2500,101.25,3.75
MY_0p5_3.7500_101.7500,101.75,3.75
MY_0p5_3.7500_102.2500,102.25,3.75
MY_0p5_3.7500_102.7500,102.75,3.75
MY_0p5_3.7500_103.2500,103.25,3.75
MY_0p5_3.7500_113.2500,113.25,3.75
MY_0p5_3.7500_113.7500,113.75,3.75
MY_0p5_3.7500_114.2500,114.25,3.75
MY_0p5_3.7500_114.7500,114.75,3.75
MY_0p5_3.7500_115.2500,115.25,3.75
MY_0p5_3.7500_115.7500,115.75,3.75
MY_0p5_3.2500_101.2500,101.25,3.25
MY_0p5_3.2500_101.7500,101.75,3.25
MY_0p5_3.2500_102.2500,102.25,3.25
MY_0p5_3.2500_102.7500,102.75,3.25
MY_0p5_3.2500_103.2500,103.25,3.25
MY_0p5_3.2500_112.2500,112.25,3.25
MY_0p5_3.2500_112.7500,112.75,3.25
MY_0p5_3.2500_113.2500,113.25,3.25
MY_0p5_3.2500_113.7500,113.75,3.25
MY_0p5_3.2500_114.2500,114.25,3.25
MY_0p5_3.2500_114.7500,114.75,3.25
MY_0p5_3.2500_115.2500,115.25,3.25
MY_0p5_3.2500_115.7500,115.75,3.25
MY_0p5_2.7500_101.2500,101.25,2.75
MY_0p5_2.7500_101.7500,101.75,2.75
MY_0p5_2.7500_102.2500,102.25,2.75
MY_0p5_2.7500_102.7500,102.75,2.75
MY_0p5_2.7500_103.2500,103.25,2.75
MY_0p5_2.7500_103.7500,103.75,2.75
MY_0p5_2.7500_104.2500,104.25,2.75
MY_0p5_2.7500_111.2500,111.25,2.75
MY_0p5_2.7500_111.7500,111.75,2.75
MY_0p5_2.7500_112.2500,112.25,2.75
MY_0p5_2.7500_112.7500,112.75,2.75
MY_0p5_2.7500_113.2500,113.25,2.75
MY_0p5_2.7500_113.7500,113.75,2.75
MY_0p5_2.7500_114.2500,114.25,2.75
MY_0p5_2.7500_114.7500,114.75,2.75
MY_0p5_2.7500_115.2500,115.25,2.75
MY_0p5_2.2500_101.7500,101.75,2.25
