target,depth_label,configuration,test_fold,validation_fold,alpha,validation_rmse_mm,validation_r_squared,selected_alpha
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,0,1,0.0,5.238665612493827,0.21994849320668686,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,0,1,0.0001,5.238664551977941,0.21994880903403402,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,0,1,0.001,5.238655007399394,0.21995165145809337,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,0,1,0.01,5.238559567994051,0.21998007351385596,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,0,1,0.1,5.237605811700517,0.22026407570221695,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,0,1,1.0,5.22813177113412,0.2230823743034267,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,0,1,10.0,5.139497758718742,0.24920169056952335,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,0,1,30.0,4.977909906458927,0.29567032201362375,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,0,1,100.0,4.678028469490656,0.377975279080076,True
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,0,1,300.0,4.6797879422934985,0.37750728646196396,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,0,1,1000.0,5.310909483322547,0.19828552813730738,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,1,2,0.0,3.4814052093327432,0.6028979353330335,True
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,1,2,0.0001,3.481405283292945,0.6028979184606804,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,1,2,0.001,3.481405948963898,0.6028977666028386,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,1,2,0.01,3.481412608558346,0.6028962473646934,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,1,2,0.1,3.481479492746954,0.6028809890656024,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,1,2,1.0,3.482176913553709,0.6027218688971732,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,1,2,10.0,3.4917779909215363,0.6005280938134165,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,1,2,30.0,3.5264339643769933,0.5925592084769458,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,1,2,100.0,3.7114217306899784,0.5486914014896318,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,1,2,300.0,4.211521825741115,0.41887292904727635,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,1,2,1000.0,4.941572420043722,0.1999385879697727,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,2,3,0.0,3.4468729364898714,0.6570818302727758,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,2,3,0.0001,3.4468708046190275,0.6570822544584277,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,2,3,0.001,3.4468516179375985,0.6570860720864162,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,2,3,0.01,3.446659766582231,0.6571242441217959,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,2,3,0.1,3.444742798339376,0.6575055403307359,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,2,3,1.0,3.4257270675306692,0.6612763916480503,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,2,3,10.0,3.250411283527959,0.695058464573113,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,2,3,30.0,2.947819029630915,0.7491918844832289,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,2,3,100.0,2.5591918362603177,0.8109635154714925,True
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,2,3,300.0,3.2111505988839433,0.7023805590029885,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,2,3,1000.0,4.702339157463091,0.36178376461823614,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,3,4,0.0,3.7407946323026824,0.6725505640907716,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,3,4,0.0001,3.7407942477104332,0.6725506314211229,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,3,4,0.001,3.7407907865969006,0.672551237356035,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,3,4,0.01,3.740756196914146,0.6725572929186681,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,3,4,0.1,3.7404124434484345,0.672617470266603,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,3,4,1.0,3.73718735768007,0.6731817831961393,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,3,4,10.0,3.724378913635688,0.6754181492424034,True
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,3,4,30.0,3.7921203690277543,0.6635033519689455,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,3,4,100.0,4.429032667597191,0.5409771753562549,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,3,4,300.0,6.008239150935198,0.15528358086189598,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,3,4,1000.0,7.843204571811692,-0.4394732524120879,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,4,0,0.0,3.933079903092169,-0.5042737267455315,True
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,4,0,0.0001,3.9330802589243254,-0.5042739989337413,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,4,0,0.001,3.9330834614673713,-0.5042764486697642,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,4,0,0.01,3.9331154922061726,-0.5043009502002729,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,4,0,0.1,3.9334363297796924,-0.5045463820737079,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,4,0,1.0,3.9366970794565823,-0.5070419011011362,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,4,0,10.0,3.9739473573726496,-0.5356970528800797,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,4,0,30.0,4.077747386578553,-0.6169700187461611,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,4,0,100.0,4.500114666478538,-0.9692846309325855,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,4,0,300.0,5.388885674523331,-1.8239647514344957,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,4,0,1000.0,6.446550319433099,-3.0412534210333213,False
SM_0_10cm_mm,0–10 cm,FULL,0,1,0.0,2.3053783433669937,0.84893413484452,False
SM_0_10cm_mm,0–10 cm,FULL,0,1,0.0001,2.305374683384965,0.8489346145036738,False
SM_0_10cm_mm,0–10 cm,FULL,0,1,0.001,2.3053417601584902,0.8489389292247654,False
SM_0_10cm_mm,0–10 cm,FULL,0,1,0.01,2.3050141678036002,0.8489818581619972,False
SM_0_10cm_mm,0–10 cm,FULL,0,1,0.1,2.301897722203517,0.8493899438657027,False
SM_0_10cm_mm,0–10 cm,FULL,0,1,1.0,2.28321443147371,0.8518248670175816,True
SM_0_10cm_mm,0–10 cm,FULL,0,1,10.0,2.41604767622146,0.8340822215541414,False
SM_0_10cm_mm,0–10 cm,FULL,0,1,30.0,2.7110048228314385,0.7910980449592961,False
SM_0_10cm_mm,0–10 cm,FULL,0,1,100.0,3.060973090339012,0.7336817383792786,False
SM_0_10cm_mm,0–10 cm,FULL,0,1,300.0,3.4271937968721775,0.6661439503987776,False
SM_0_10cm_mm,0–10 cm,FULL,0,1,1000.0,4.257677771496082,0.4847387243228919,False
SM_0_10cm_mm,0–10 cm,FULL,1,2,0.0,2.397762311817324,0.8116328119179439,False
SM_0_10cm_mm,0–10 cm,FULL,1,2,0.0001,2.397761168098949,0.8116329916179599,False
SM_0_10cm_mm,0–10 cm,FULL,1,2,0.001,2.3977508808864294,0.8116346079318079,False
