target,depth_label,component,component_label,comparison,candidate_configuration,reference_configuration,observed_candidate_rmse_mm,observed_reference_rmse_mm,observed_rmse_difference_mm,bootstrap_q025_difference_mm,bootstrap_q50_difference_mm,bootstrap_q975_difference_mm,probability_candidate_lower_rmse,probability_candidate_higher_rmse,candidate_region_win_count,reference_region_win_count
SM_0_10cm_mm,0–10 cm,ALL,All precipitation modes,FULL_vs_STATIC_ONLY,FULL,STATIC_ONLY,2.813646563796515,4.146439138347902,-1.3327925745513869,-1.7735982986635799,-1.3322242665207988,-0.8469080554348539,1.0,0.0,28,5
SM_0_10cm_mm,0–10 cm,C1,January-centred eastern mode,DROP_component_vs_FULL,DROP_C1,FULL,3.4292125968446663,2.813646563796515,0.6155660330481512,0.4319965679655263,0.6158265686935209,0.7869703272211527,0.0,1.0,6,27
SM_0_10cm_mm,0–10 cm,C1,January-centred eastern mode,ONLY_component_vs_STATIC,ONLY_C1,STATIC_ONLY,4.365386595540176,4.146439138347902,0.21894745719227426,-0.01850513129225037,0.2122261102709333,0.4750662369650249,0.0374,0.9626,19,14
SM_0_10cm_mm,0–10 cm,C2,May–June southwestern mode,DROP_component_vs_FULL,DROP_C2,FULL,4.252609423984621,2.813646563796515,1.4389628601881062,0.9058834850059294,1.4309077759152873,1.9366056596230767,0.0,1.0,7,26
SM_0_10cm_mm,0–10 cm,C2,May–June southwestern mode,ONLY_component_vs_STATIC,ONLY_C2,STATIC_ONLY,3.923586736100097,4.146439138347902,-0.2228524022478049,-0.3526744779394687,-0.21920895974633536,-0.09644409682413983,0.99975,0.00025,25,8
SM_0_10cm_mm,0–10 cm,C3,April–October bimodal mode,DROP_component_vs_FULL,DROP_C3,FULL,2.9770555448283393,2.813646563796515,0.16340898103182422,-0.2054071435498495,0.17341634171846665,0.497976103104541,0.1781,0.8219,8,25
SM_0_10cm_mm,0–10 cm,C3,April–October bimodal mode,ONLY_component_vs_STATIC,ONLY_C3,STATIC_ONLY,4.243311493070566,4.146439138347902,0.09687235472266398,-0.12786619522671888,0.09143949734213108,0.3395583659326891,0.2226,0.7774,18,15
SM_0_10cm_mm,0–10 cm,C4,November-centred northern mode,DROP_component_vs_FULL,DROP_C4,FULL,3.7092759676837153,2.813646563796515,0.8956294038872001,0.6275112535836926,0.8957591598716517,1.1382659382509455,0.0,1.0,5,28
SM_0_10cm_mm,0–10 cm,C4,November-centred northern mode,ONLY_component_vs_STATIC,ONLY_C4,STATIC_ONLY,4.357542072136835,4.146439138347902,0.21110293378893275,-0.027511307200337832,0.20274371954664439,0.4670978670810534,0.04585,0.95415,18,15
SM_10_40cm_mm,10–40 cm,ALL,All precipitation modes,FULL_vs_STATIC_ONLY,FULL,STATIC_ONLY,8.018640004334296,12.061160787134217,-4.0425207827999206,-5.345049870794909,-4.045004766811651,-2.5525930488440127,1.0,0.0,26,7
SM_10_40cm_mm,10–40 cm,C1,January-centred eastern mode,DROP_component_vs_FULL,DROP_C1,FULL,9.455903184260077,8.018640004334296,1.4372631799257807,0.9328847811210639,1.4328584274842222,1.9278895753503638,0.0,1.0,5,28
SM_10_40cm_mm,10–40 cm,C1,January-centred eastern mode,ONLY_component_vs_STATIC,ONLY_C1,STATIC_ONLY,11.916079991054296,12.061160787134217,-0.1450807960799203,-0.5521782040348684,-0.14394848649816439,0.23384045734963624,0.76735,0.23265,17,16
SM_10_40cm_mm,10–40 cm,C2,May–June southwestern mode,DROP_component_vs_FULL,DROP_C2,FULL,12.848729703913586,8.018640004334296,4.83008969957929,3.0596162788203944,4.7963882408503835,6.518447519454051,0.0,1.0,7,26
SM_10_40cm_mm,10–40 cm,C2,May–June southwestern mode,ONLY_component_vs_STATIC,ONLY_C2,STATIC_ONLY,11.345804723928493,12.061160787134217,-0.7153560632057232,-1.0722206600215627,-0.7113636430598005,-0.38655322288442584,0.99995,5e-05,28,5
SM_10_40cm_mm,10–40 cm,C3,April–October bimodal mode,DROP_component_vs_FULL,DROP_C3,FULL,8.834465832450235,8.018640004334296,0.8158258281159387,-0.16950538869945014,0.8088090614965102,1.7251402333398074,0.0502,0.9498,15,18
SM_10_40cm_mm,10–40 cm,C3,April–October bimodal mode,ONLY_component_vs_STATIC,ONLY_C3,STATIC_ONLY,12.037852991085382,12.061160787134217,-0.023307796048834817,-0.6048426314740584,-0.04240057645055373,0.6424242810275468,0.5522,0.4478,19,14
SM_10_40cm_mm,10–40 cm,C4,November-centred northern mode,DROP_component_vs_FULL,DROP_C4,FULL,10.547001288828,8.018640004334296,2.5283612844937036,1.5394949931654556,2.523479097951484,3.4217712538487093,0.0,1.0,6,27
SM_10_40cm_mm,10–40 cm,C4,November-centred northern mode,ONLY_component_vs_STATIC,ONLY_C4,STATIC_ONLY,12.864540424746087,12.061160787134217,0.8033796376118705,0.025500817644918395,0.7779251733227737,1.6584818204231804,0.02125,0.97875,18,15
SM_40_100cm_mm,40–100 cm,ALL,All precipitation modes,FULL_vs_STATIC_ONLY,FULL,STATIC_ONLY,18.805291005574166,29.31245156485916,-10.507160559284994,-13.956299748094295,-10.455659884997097,-6.851344589791479,1.0,0.0,26,7
SM_40_100cm_mm,40–100 cm,C1,January-centred eastern mode,DROP_component_vs_FULL,DROP_C1,FULL,22.461097756279774,18.805291005574166,3.655806750705608,2.1290433873771955,3.6390972443105145,5.106167492771617,0.0,1.0,7,26
SM_40_100cm_mm,40–100 cm,C1,January-centred eastern mode,ONLY_component_vs_STATIC,ONLY_C1,STATIC_ONLY,27.549101113076944,29.31245156485916,-1.763350451782216,-3.4573592062680794,-1.7611807482838753,-0.22409096279810942,0.9883,0.0117,23,10
SM_40_100cm_mm,40–100 cm,C2,May–June southwestern mode,DROP_component_vs_FULL,DROP_C2,FULL,30.61169569393259,18.805291005574166,11.806404688358423,6.9636740128683465,11.765571006424095,16.21736517563911,0.0,1.0,11,22
SM_40_100cm_mm,40–100 cm,C2,May–June southwestern mode,ONLY_component_vs_STATIC,ONLY_C2,STATIC_ONLY,27.916328772551292,29.31245156485916,-1.3961227923078674,-2.1833617823461076,-1.3799261448215976,-0.6739200845168193,1.0,0.0,26,7
SM_40_100cm_mm,40–100 cm,C3,April–October bimodal mode,DROP_component_vs_FULL,DROP_C3,FULL,19.138287656344946,18.805291005574166,0.3329966507707809,-2.240456767345225,0.3197296684810951,2.7586244253698626,0.4032,0.5968,20,13
SM_40_100cm_mm,40–100 cm,C3,April–October bimodal mode,ONLY_component_vs_STATIC,ONLY_C3,STATIC_ONLY,29.550970254169428,29.31245156485916,0.23851868931026843,-1.2203847299078698,0.19287222088850342,1.9141987291225606,0.40525,0.59475,19,14
SM_40_100cm_mm,40–100 cm,C4,November-centred northern mode,DROP_component_vs_FULL,DROP_C4,FULL,24.86306753273387,18.805291005574166,6.057776527159703,3.596018890061114,6.0400683911485995,8.280790983243891,0.0,1.0,7,26
SM_40_100cm_mm,40–100 cm,C4,November-centred northern mode,ONLY_component_vs_STATIC,ONLY_C4,STATIC_ONLY,29.98594480512077,29.31245156485916,0.6734932402616103,-1.5837154117703063,0.5924092660286391,3.0379308211059666,0.31375,0.68625,24,9
SM_100_200cm_mm,100–200 cm,ALL,All precipitation modes,FULL_vs_STATIC_ONLY,FULL,STATIC_ONLY,48.466521295734054,56.158364147946926,-7.691842852212872,-13.613458197669681,-7.90431366447244,-1.8967002084300384,0.99535,0.00465,26,7
SM_100_200cm_mm,100–200 cm,C1,January-centred eastern mode,DROP_component_vs_FULL,DROP_C1,FULL,51.06027407651479,48.466521295734054,2.593752780780733,-0.7637561117596914,2.7358247546973544,6.084243369975058,0.0646,0.9354,9,24
SM_100_200cm_mm,100–200 cm,C1,January-centred eastern mode,ONLY_component_vs_STATIC,ONLY_C1,STATIC_ONLY,54.280646712342374,56.158364147946926,-1.877717435604552,-3.9026839330563403,-1.9125854068216022,0.11956202058663166,0.96685,0.03315,22,11
SM_100_200cm_mm,100–200 cm,C2,May–June southwestern mode,DROP_component_vs_FULL,DROP_C2,FULL,53.34641676954457,48.466521295734054,4.879895473810514,-0.5047673094492969,4.915860430267074,11.002167553098174,0.04015,0.95985,12,21
