target,depth_label,maximum_lag_months,configuration,feature_count,test_fold,validation_fold,selected_alpha,test_region_count,test_sample_count,test_rmse_mm,test_mae_mm,test_r_squared
SM_0_10cm_mm,0–10 cm,3,STATIC_ONLY,3,0,1,100.0,6,72,4.459039852827699,3.8282156419722617,-0.9334993888003387
SM_0_10cm_mm,0–10 cm,3,STATIC_ONLY,3,1,2,0.0,7,84,4.675488456273832,3.4705589069128253,0.3786505729960129
SM_0_10cm_mm,0–10 cm,3,STATIC_ONLY,3,2,3,100.0,6,72,3.7346889744588516,3.06928295269169,0.5430150742545026
SM_0_10cm_mm,0–10 cm,3,STATIC_ONLY,3,3,4,10.0,6,72,3.3009185872753313,2.6484803991755603,0.6855080197176299
SM_0_10cm_mm,0–10 cm,3,STATIC_ONLY,3,4,0,0.0,8,96,4.271771329060988,3.0710155776791566,0.5729954457016915
SM_0_10cm_mm,0–10 cm,3,FULL,19,0,1,1.0,6,72,3.623967118684084,3.0074953901373815,-0.27711447837352887
SM_0_10cm_mm,0–10 cm,3,FULL,19,1,2,1.0,7,84,2.6200988352363326,2.0794810875605947,0.8048730428300741
SM_0_10cm_mm,0–10 cm,3,FULL,19,2,3,100.0,6,72,2.499873511420973,1.9475217462298384,0.7952475698196505
SM_0_10cm_mm,0–10 cm,3,FULL,19,3,4,100.0,6,72,2.2488632542325275,1.7363244847022716,0.8540291807911753
SM_0_10cm_mm,0–10 cm,3,FULL,19,4,0,30.0,8,96,2.8843166017293558,2.28682245339866,0.8053285008262786
SM_0_10cm_mm,0–10 cm,3,ONLY_C1,7,0,1,300.0,6,72,5.789856703816878,5.171875966430676,-2.25984508480834
SM_0_10cm_mm,0–10 cm,3,ONLY_C1,7,1,2,0.0,7,84,4.467866596554919,3.40838241225244,0.4326091621064072
SM_0_10cm_mm,0–10 cm,3,ONLY_C1,7,2,3,100.0,6,72,3.8045072346076783,3.1687279017389747,0.5257691265981845
SM_0_10cm_mm,0–10 cm,3,ONLY_C1,7,3,4,30.0,6,72,2.9854427498301765,2.2557727126710825,0.7427487796901224
SM_0_10cm_mm,0–10 cm,3,ONLY_C1,7,4,0,0.0,8,96,4.2964734754268035,3.1623021203255477,0.5680427337421148
SM_0_10cm_mm,0–10 cm,3,ONLY_C2,7,0,1,100.0,6,72,3.9236278599768006,3.3903065031373933,-0.49705222326614074
SM_0_10cm_mm,0–10 cm,3,ONLY_C2,7,1,2,0.0,7,84,4.4091036390993885,3.2185590384997402,0.44743606123104707
SM_0_10cm_mm,0–10 cm,3,ONLY_C2,7,2,3,100.0,6,72,3.636483873459099,2.958604289632316,0.5667322863437975
SM_0_10cm_mm,0–10 cm,3,ONLY_C2,7,3,4,10.0,6,72,3.1017950677738173,2.479640653816312,0.7223062207938994
SM_0_10cm_mm,0–10 cm,3,ONLY_C2,7,4,0,30.0,8,96,4.220459119989238,3.0176593947538746,0.583192130557803
SM_0_10cm_mm,0–10 cm,3,ONLY_C3,7,0,1,300.0,6,72,5.536769495538622,4.940231036098627,-1.9810840328078507
SM_0_10cm_mm,0–10 cm,3,ONLY_C3,7,1,2,0.0,7,84,4.686373877713254,3.614005264364265,0.375753967019513
SM_0_10cm_mm,0–10 cm,3,ONLY_C3,7,2,3,100.0,6,72,3.3357475962500893,2.546624251077615,0.6354313173643384
SM_0_10cm_mm,0–10 cm,3,ONLY_C3,7,3,4,30.0,6,72,3.003821968386788,2.4940731753048575,0.7395716093484223
SM_0_10cm_mm,0–10 cm,3,ONLY_C3,7,4,0,30.0,8,96,4.117300388363637,3.0719703672184786,0.6033187980604304
SM_0_10cm_mm,0–10 cm,3,ONLY_C4,7,0,1,300.0,6,72,5.719668326501152,5.100151884322944,-2.18128825750441
SM_0_10cm_mm,0–10 cm,3,ONLY_C4,7,1,2,0.0,7,84,4.823986840552973,3.6219830318633153,0.3385543679591009
SM_0_10cm_mm,0–10 cm,3,ONLY_C4,7,2,3,100.0,6,72,3.578525440256749,2.997432404724301,0.5804331053177362
SM_0_10cm_mm,0–10 cm,3,ONLY_C4,7,3,4,10.0,6,72,3.0267160798418566,2.439587705699992,0.7355866875462185
SM_0_10cm_mm,0–10 cm,3,ONLY_C4,7,4,0,10.0,8,96,4.117417286077167,3.0869475977667578,0.6032962727261513
SM_0_10cm_mm,0–10 cm,3,DROP_C1,15,0,1,0.0,6,72,4.537033694668432,3.872446356946684,-1.001729274251796
SM_0_10cm_mm,0–10 cm,3,DROP_C1,15,1,2,10.0,7,84,3.5646433225237018,2.801190824846274,0.6388279901566558
SM_0_10cm_mm,0–10 cm,3,DROP_C1,15,2,3,1.0,6,72,2.980642835545673,2.5059192526584138,0.7089196607078632
SM_0_10cm_mm,0–10 cm,3,DROP_C1,15,3,4,100.0,6,72,2.4544747657921113,2.0674169187621323,0.8261170130461668
SM_0_10cm_mm,0–10 cm,3,DROP_C1,15,4,0,30.0,8,96,3.2817026259776507,2.7308196363892248,0.7479916312696158
SM_0_10cm_mm,0–10 cm,3,DROP_C2,15,0,1,300.0,6,72,6.216896971370312,5.473889195940214,-2.7584490877582413
SM_0_10cm_mm,0–10 cm,3,DROP_C2,15,1,2,0.0,7,84,4.503948673484834,3.4801471087836187,0.42340776497875676
SM_0_10cm_mm,0–10 cm,3,DROP_C2,15,2,3,100.0,6,72,3.2853850700375538,2.5500122063241886,0.6463566027871992
SM_0_10cm_mm,0–10 cm,3,DROP_C2,15,3,4,100.0,6,72,2.251943951865956,1.820490009127835,0.8536289786259863
SM_0_10cm_mm,0–10 cm,3,DROP_C2,15,4,0,30.0,8,96,3.995417767794189,2.9316072379293465,0.6264567378036197
SM_0_10cm_mm,0–10 cm,3,DROP_C3,15,0,1,0.0,6,72,2.3462687528140718,1.8285881601160687,0.4646758391072454
SM_0_10cm_mm,0–10 cm,3,DROP_C3,15,1,2,0.0,7,84,3.1889089344170882,2.552877169878086,0.7109545358366917
SM_0_10cm_mm,0–10 cm,3,DROP_C3,15,2,3,100.0,6,72,3.207953953712816,2.7081604978706753,0.6628297505639115
SM_0_10cm_mm,0–10 cm,3,DROP_C3,15,3,4,30.0,6,72,2.5119814234836055,1.9794369072109161,0.8178736451116835
SM_0_10cm_mm,0–10 cm,3,DROP_C3,15,4,0,0.0,8,96,3.3289339792893475,2.701474713952067,0.7406854542968437
SM_0_10cm_mm,0–10 cm,3,DROP_C4,15,0,1,0.01,6,72,5.071531144530889,4.244142913671902,-1.501148772469708
SM_0_10cm_mm,0–10 cm,3,DROP_C4,15,1,2,1.0,7,84,3.6211060911165855,2.8022492505757333,0.6272956840460604
SM_0_10cm_mm,0–10 cm,3,DROP_C4,15,2,3,100.0,6,72,2.846078222048369,2.0880501573936536,0.7346087135100232
SM_0_10cm_mm,0–10 cm,3,DROP_C4,15,3,4,100.0,6,72,2.510556951198074,2.0081974165326075,0.8180801437615709
SM_0_10cm_mm,0–10 cm,3,DROP_C4,15,4,0,30.0,8,96,3.897278728123841,3.2043003094416207,0.6445819759218866
SM_10_40cm_mm,10–40 cm,3,STATIC_ONLY,3,0,1,100.0,6,72,12.743800186295045,11.04935736366631,-0.8329562996074311
SM_10_40cm_mm,10–40 cm,3,STATIC_ONLY,3,1,2,0.0,7,84,13.509905941815079,9.963967005871865,0.44170426314752675
SM_10_40cm_mm,10–40 cm,3,STATIC_ONLY,3,2,3,100.0,6,72,9.321386804276951,7.7168900644586,0.6230530714387216
SM_10_40cm_mm,10–40 cm,3,STATIC_ONLY,3,3,4,0.0,6,72,9.713709432209907,7.854785256199673,0.738049011790112
SM_10_40cm_mm,10–40 cm,3,STATIC_ONLY,3,4,0,0.0,8,96,13.514098185951065,9.917731518546374,0.5519442010750707
SM_10_40cm_mm,10–40 cm,3,FULL,19,0,1,10.0,6,72,8.408428026020328,6.819682448043198,0.2020350307480333
SM_10_40cm_mm,10–40 cm,3,FULL,19,1,2,1.0,7,84,8.690201132365376,7.0946299273326,0.7689960972892314
SM_10_40cm_mm,10–40 cm,3,FULL,19,2,3,30.0,6,72,5.777526052064536,4.837945190787619,0.8551885260904031
SM_10_40cm_mm,10–40 cm,3,FULL,19,3,4,100.0,6,72,7.250361851722624,5.397949276812109,0.8540617317111958
SM_10_40cm_mm,10–40 cm,3,FULL,19,4,0,10.0,8,96,9.036875298548372,7.24895498446234,0.7996476035556922
SM_10_40cm_mm,10–40 cm,3,ONLY_C1,7,0,1,100.0,6,72,13.38237730507135,11.629140630749456,-1.0212533122833118
SM_10_40cm_mm,10–40 cm,3,ONLY_C1,7,1,2,0.0,7,84,12.340378967304378,9.218499910552472,0.5341815836753007
SM_10_40cm_mm,10–40 cm,3,ONLY_C1,7,2,3,100.0,6,72,9.739163021677344,8.160245868599224,0.5885070302420841
SM_10_40cm_mm,10–40 cm,3,ONLY_C1,7,3,4,10.0,6,72,8.98090962890472,6.909073449967098,0.7760812416182719
SM_10_40cm_mm,10–40 cm,3,ONLY_C1,7,4,0,0.0,8,96,13.657400683764074,10.161137570915654,0.542391519108631
SM_10_40cm_mm,10–40 cm,3,ONLY_C2,7,0,1,100.0,6,72,11.192085093521158,9.581646609106286,-0.4137616961827595
SM_10_40cm_mm,10–40 cm,3,ONLY_C2,7,1,2,0.0,7,84,12.851558433526613,9.32457545374618,0.4947907992516182
SM_10_40cm_mm,10–40 cm,3,ONLY_C2,7,2,3,30.0,6,72,8.488292137564565,7.041813639995664,0.6874210089422905
SM_10_40cm_mm,10–40 cm,3,ONLY_C2,7,3,4,0.0,6,72,9.219672466048781,7.365901114328425,0.764016949803848
SM_10_40cm_mm,10–40 cm,3,ONLY_C2,7,4,0,10.0,8,96,13.219139179173096,9.685452787241275,0.5712893099967298
SM_10_40cm_mm,10–40 cm,3,ONLY_C3,7,0,1,100.0,6,72,15.019918744545281,12.827604120780016,-1.5461815710201732
SM_10_40cm_mm,10–40 cm,3,ONLY_C3,7,1,2,10.0,7,84,13.376954744611835,10.262925789039985,0.45263858894998465
SM_10_40cm_mm,10–40 cm,3,ONLY_C3,7,2,3,100.0,6,72,8.362607320186905,6.614091191549046,0.6966090950095737
SM_10_40cm_mm,10–40 cm,3,ONLY_C3,7,3,4,30.0,6,72,8.75764560515981,7.311198052215207,0.7870760285316087
SM_10_40cm_mm,10–40 cm,3,ONLY_C3,7,4,0,0.0,8,96,12.72822318854309,9.605482132914181,0.6025399098677087
SM_10_40cm_mm,10–40 cm,3,ONLY_C4,7,0,1,300.0,6,72,17.0663172314187,15.143722506893567,-2.287258312419487
SM_10_40cm_mm,10–40 cm,3,ONLY_C4,7,1,2,0.0,7,84,13.53742886024346,10.256300512748838,0.439427181407533
SM_10_40cm_mm,10–40 cm,3,ONLY_C4,7,2,3,100.0,6,72,9.727254866998004,8.11994979838057,0.5895126867266824
SM_10_40cm_mm,10–40 cm,3,ONLY_C4,7,3,4,1.0,6,72,9.026751160220172,7.517739886396329,0.7737894968815793
SM_10_40cm_mm,10–40 cm,3,ONLY_C4,7,4,0,10.0,8,96,13.107163616690444,9.678568853405864,0.57852152098357
SM_10_40cm_mm,10–40 cm,3,DROP_C1,15,0,1,0.0,6,72,11.05641186079426,9.400764931519307,-0.3796935067201188
SM_10_40cm_mm,10–40 cm,3,DROP_C1,15,1,2,10.0,7,84,10.66857284554392,8.469717207241711,0.6518452581083586
SM_10_40cm_mm,10–40 cm,3,DROP_C1,15,2,3,10.0,6,72,7.0238741831397995,5.887768378124627,0.7859710129722502
SM_10_40cm_mm,10–40 cm,3,DROP_C1,15,3,4,100.0,6,72,7.822932928499672,6.180075449679635,0.8301016980835069
SM_10_40cm_mm,10–40 cm,3,DROP_C1,15,4,0,30.0,8,96,9.729287947925522,7.676438880366756,0.7677690618847574
SM_10_40cm_mm,10–40 cm,3,DROP_C2,15,0,1,300.0,6,72,18.63569007163626,16.14268447380458,-2.919630805720838
SM_10_40cm_mm,10–40 cm,3,DROP_C2,15,1,2,0.1,7,84,12.910496417724028,9.601259071767966,0.4901463369797827
SM_10_40cm_mm,10–40 cm,3,DROP_C2,15,2,3,100.0,6,72,8.889698951297166,6.939001897906469,0.6571586025356942
SM_10_40cm_mm,10–40 cm,3,DROP_C2,15,3,4,100.0,6,72,7.003768341257521,5.815632181017552,0.8638199873033205
SM_10_40cm_mm,10–40 cm,3,DROP_C2,15,4,0,10.0,8,96,13.36501035195312,10.09446469124126,0.5617755934384564
SM_10_40cm_mm,10–40 cm,3,DROP_C3,15,0,1,0.0,6,72,6.247594982388198,4.841981897005358,0.5594654862968049
SM_10_40cm_mm,10–40 cm,3,DROP_C3,15,1,2,0.0,7,84,9.850437183231493,8.251112560485069,0.7031953693042813
SM_10_40cm_mm,10–40 cm,3,DROP_C3,15,2,3,30.0,6,72,7.688943372580968,6.5442234341596475,0.7435206090179409
SM_10_40cm_mm,10–40 cm,3,DROP_C3,15,3,4,10.0,6,72,7.698557387616347,6.111371971291301,0.8354611234249285
SM_10_40cm_mm,10–40 cm,3,DROP_C3,15,4,0,0.0,8,96,10.907787885633226,8.85225235526156,0.7081018579867893
SM_10_40cm_mm,10–40 cm,3,DROP_C4,15,0,1,1.0,6,72,13.435204321444315,11.126311735797984,-1.0372426287377898
SM_10_40cm_mm,10–40 cm,3,DROP_C4,15,1,2,30.0,7,84,10.356215909142021,7.962595556403102,0.67193352437956
SM_10_40cm_mm,10–40 cm,3,DROP_C4,15,2,3,30.0,6,72,6.792030160041557,5.528971944750977,0.7998671590526957
