target,depth_label,maximum_lag_months,configuration,feature_count,pooled_rmse_mm,pooled_mae_mm,pooled_r_squared,pooled_bias_mm,core_pooled_rmse_mm,core_pooled_r_squared
SM_0_10cm_mm,0–10 cm,3,STATIC_ONLY,3,4.146439138347902,3.2163003312987906,0.6118907359573378,0.10235685397794893,4.019651717907759,0.6241341213154523
SM_0_10cm_mm,0–10 cm,3,FULL,19,2.813646563796515,2.2120908171675877,0.8212926132092461,-0.17734989062279372,2.736450383552436,0.8258067959674082
SM_0_10cm_mm,0–10 cm,3,ONLY_C1,7,4.365386595540176,3.416222828285329,0.5698213620907923,-0.17237835942152002,4.250384721970038,0.5797453427345013
SM_0_10cm_mm,0–10 cm,3,ONLY_C2,7,3.923586736100097,3.019469609304403,0.6524878971561292,0.25636228645215725,3.783767172376326,0.6669535097347477
SM_0_10cm_mm,0–10 cm,3,ONLY_C3,7,4.243311493070566,3.326041532217706,0.5935442738622188,0.0586725148130387,4.085645086868872,0.6116911163700947
SM_0_10cm_mm,0–10 cm,3,ONLY_C4,7,4.357542072136836,3.4324998173836576,0.5713660199663175,-0.20142120929978824,4.256909750246745,0.5784540345157815
SM_0_10cm_mm,0–10 cm,3,DROP_C1,15,3.4292125968446663,2.7918056980376087,0.7345441871594116,-0.015441197184887904,3.299052472336457,0.7468170255901044
SM_0_10cm_mm,0–10 cm,3,DROP_C2,15,4.252609423984621,3.238795034341622,0.5917610732887717,-0.00657216712356831,4.111710270457952,0.6067207248254683
SM_0_10cm_mm,0–10 cm,3,DROP_C3,15,2.9770555448283393,2.381183372483306,0.7999321549844456,0.29554304636497586,2.9217278597510496,0.8014199687088175
SM_0_10cm_mm,0–10 cm,3,DROP_C4,15,3.7092759676837153,2.88765121682279,0.689414118025766,-0.056583269311589766,3.4866134772514967,0.717210252290419
SM_10_40cm_mm,10–40 cm,3,STATIC_ONLY,3,12.061160787134218,9.358055069558228,0.6450412728294578,-0.04824810005021848,11.750300204905985,0.6602079655784537
SM_10_40cm_mm,10–40 cm,3,FULL,19,8.018640004334296,6.3632579048752875,0.8431078997007018,-0.4955034757583312,7.7178074356329684,0.8534104047338484
SM_10_40cm_mm,10–40 cm,3,ONLY_C1,7,11.916079991054296,9.27301089809355,0.6535293394323431,-0.29046531597188047,11.576690624472956,0.6701745804127962
SM_10_40cm_mm,10–40 cm,3,ONLY_C2,7,11.345804723928493,8.687630868325325,0.6858983243239352,0.48784522643104894,10.992806334647474,0.7026058491106025
SM_10_40cm_mm,10–40 cm,3,ONLY_C3,7,12.037852991085382,9.369748417389667,0.6464118393643352,0.1975526855701776,11.594972670966534,0.6691320294657017
SM_10_40cm_mm,10–40 cm,3,ONLY_C4,7,12.864540424746087,10.118519017167017,0.5961796542795378,-1.0769972092649394,12.666209117195534,0.6051714247767057
SM_10_40cm_mm,10–40 cm,3,DROP_C1,15,9.455903184260077,7.560944971199014,0.7818246515853087,-0.12202009718236245,9.164880564076256,0.793286477242281
