target,depth_label,maximum_lag_months,component,component_label,full_rmse_mm,static_only_rmse_mm,drop_component_rmse_mm,rmse_increase_when_dropped_mm,rmse_increase_when_dropped_percent,drop_penalty_q025_mm,drop_penalty_q975_mm,probability_removal_worsens_rmse,full_region_win_count_vs_drop,drop_region_win_count_vs_full,component_only_rmse_mm,component_only_improvement_over_static_mm,component_only_improvement_percent,probability_component_only_beats_static,importance_rank_by_drop_penalty
SM_0_10cm_mm,0–10 cm,3,C1,January-centred eastern mode,2.813646563796515,4.146439138347902,3.4292125968446663,0.6155660330481512,21.87787339634991,0.4319965679655263,0.7869703272211527,1.0,27,6,4.365386595540176,-0.21894745719227426,-5.280373107791743,0.0374,3
SM_0_10cm_mm,0–10 cm,3,C2,May–June southwestern mode,2.813646563796515,4.146439138347902,4.252609423984621,1.4389628601881062,51.14227489349203,0.9058834850059294,1.9366056596230767,1.0,26,7,3.923586736100097,0.2228524022478049,5.374548975934028,0.99975,1
SM_0_10cm_mm,0–10 cm,3,C3,April–October bimodal mode,2.813646563796515,4.146439138347902,2.9770555448283393,0.16340898103182422,5.807729482957265,-0.2054071435498495,0.497976103104541,0.8219,25,8,4.243311493070566,-0.09687235472266398,-2.3362782254959513,0.2226,4
SM_0_10cm_mm,0–10 cm,3,C4,November-centred northern mode,2.813646563796515,4.146439138347902,3.7092759676837153,0.8956294038872001,31.831624320245385,0.6275112535836926,1.1382659382509455,1.0,28,5,4.357542072136836,-0.21110293378893363,-5.09118611766348,0.04585,2
SM_10_40cm_mm,10–40 cm,3,C1,January-centred eastern mode,8.018640004334296,12.061160787134218,9.455903184260077,1.4372631799257807,17.9240267570174,0.9328847811210639,1.9278895753503638,1.0,28,5,11.916079991054296,0.14508079607992208,1.2028758976058214,0.76735,3
SM_10_40cm_mm,10–40 cm,3,C2,May–June southwestern mode,8.018640004334296,12.061160787134218,12.848729703913586,4.83008969957929,60.23577186366383,3.0596162788203944,6.518447519454051,1.0,26,7,11.345804723928493,0.715356063205725,5.931071443544669,0.99995,1
SM_10_40cm_mm,10–40 cm,3,C3,April–October bimodal mode,8.018640004334296,12.061160787134218,8.834465832450235,0.8158258281159387,10.17411715297061,-0.16950538869945014,1.7251402333398074,0.9498,18,15,12.037852991085382,0.023307796048836593,0.19324670701429744,0.5522,4
SM_10_40cm_mm,10–40 cm,3,C4,November-centred northern mode,8.018640004334296,12.061160787134218,10.547001288828,2.5283612844937036,31.531048695627373,1.5394949931654556,3.4217712538487093,1.0,27,6,12.864540424746087,-0.8033796376118687,-6.660881583378303,0.02125,2
SM_40_100cm_mm,40–100 cm,3,C1,January-centred eastern mode,18.80529100557417,29.312451564859163,22.461097756279774,3.6558067507056045,19.4403093768768,2.1290433873771955,5.106167492771617,1.0,26,7,27.549101113076944,1.7633504517822196,6.015704445192801,0.9883,3
SM_40_100cm_mm,40–100 cm,3,C2,May–June southwestern mode,18.80529100557417,29.312451564859163,30.61169569393259,11.80640468835842,62.782355693718465,6.9636740128683465,16.21736517563911,1.0,22,11,27.916328772551292,1.396122792307871,4.762900125288715,1.0,1
SM_40_100cm_mm,40–100 cm,3,C3,April–October bimodal mode,18.80529100557417,29.312451564859163,19.138287656344946,0.33299665077077734,1.7707604241384627,-2.240456767345225,2.7586244253698626,0.5968,13,20,29.550970254169428,-0.23851868931026488,-0.8137111588312517,0.40525,4
SM_40_100cm_mm,40–100 cm,3,C4,November-centred northern mode,18.80529100557417,29.312451564859163,24.863067532733865,6.057776527159696,32.2131496149891,3.596018890061114,8.280790983243891,1.0,26,7,29.985944805120774,-0.6734932402616103,-2.297635319827764,0.31375,2
SM_100_200cm_mm,100–200 cm,1,C1,January-centred eastern mode,48.466521295734054,56.15836414794693,51.06027407651478,2.5937527807807257,5.351638020302943,-0.7637561117596914,6.084243369975058,0.9354,24,9,54.28064671234237,1.8777174356045663,3.343611346402106,0.96685,2
SM_100_200cm_mm,100–200 cm,1,C2,May–June southwestern mode,48.466521295734054,56.15836414794693,53.34641676954456,4.879895473810507,10.068590324513403,-0.5047673094492969,11.002167553098174,0.95985,21,12,55.72667358292821,0.4316905650187266,0.7687021720957813,0.8388,1
SM_100_200cm_mm,100–200 cm,1,C3,April–October bimodal mode,48.466521295734054,56.15836414794693,47.163483994436675,-1.3030373012973797,-2.6885306938917255,-2.9928624578664476,0.7367114847956153,0.1018,16,17,56.25595559237074,-0.09759144442380574,-0.17377900140877509,0.3956,4
SM_100_200cm_mm,100–200 cm,1,C4,November-centred northern mode,48.466521295734054,56.15836414794693,50.52907928531173,2.0625579895776767,4.25563447599698,-0.035280880779700916,4.468286227552297,0.97325,23,10,53.57023272383521,2.5881314241117224,4.608630367674876,1.0,3
