target,depth_label,lag_window,test_fold,validation_fold,alpha,validation_rmse_mm,validation_r_squared,selected_alpha
SM_0_10cm_mm,0–10 cm,L0,0,1,0.0,1.3110190979570293,0.3997865585028,False
SM_0_10cm_mm,0–10 cm,L0,0,1,0.0001,1.311018981962117,0.39978666471285085,False
SM_0_10cm_mm,0–10 cm,L0,0,1,0.001,1.311017938016548,0.3997876205949713,False
SM_0_10cm_mm,0–10 cm,L0,0,1,0.01,1.3110074994164407,0.39979717859091213,False
SM_0_10cm_mm,0–10 cm,L0,0,1,0.1,1.3109031989343196,0.3998926760666537,False
SM_0_10cm_mm,0–10 cm,L0,0,1,1.0,1.3098687063879577,0.40083944559315154,False
SM_0_10cm_mm,0–10 cm,L0,0,1,10.0,1.3003367578141678,0.4095279307930786,False
SM_0_10cm_mm,0–10 cm,L0,0,1,30.0,1.2837751021845443,0.42447316550347924,False
SM_0_10cm_mm,0–10 cm,L0,0,1,100.0,1.2585884113183101,0.44683443416734614,True
SM_0_10cm_mm,0–10 cm,L0,0,1,300.0,1.2804822425554157,0.42742181062033957,False
SM_0_10cm_mm,0–10 cm,L0,0,1,1000.0,1.3926398723857256,0.3227245538952799,False
SM_0_10cm_mm,0–10 cm,L0,1,2,0.0,1.2542526048457823,-4.103004222795403,False
SM_0_10cm_mm,0–10 cm,L0,1,2,0.0001,1.2542524401053496,-4.103002882282231,False
SM_0_10cm_mm,0–10 cm,L0,1,2,0.001,1.2542509574446685,-4.1029908176977585,False
SM_0_10cm_mm,0–10 cm,L0,1,2,0.01,1.2542361311558066,-4.102870175224573,False
SM_0_10cm_mm,0–10 cm,L0,1,2,0.1,1.2540879000542804,-4.101664087549912,False
SM_0_10cm_mm,0–10 cm,L0,1,2,1.0,1.252608759915156,-4.089636818967536,False
SM_0_10cm_mm,0–10 cm,L0,1,2,10.0,1.238126890722397,-3.972630811121335,False
SM_0_10cm_mm,0–10 cm,L0,1,2,30.0,1.2078271078349174,-3.732225694901559,False
SM_0_10cm_mm,0–10 cm,L0,1,2,100.0,1.1186724139858153,-3.0593991999374026,False
SM_0_10cm_mm,0–10 cm,L0,1,2,300.0,0.9616678413300943,-1.999895254102496,False
SM_0_10cm_mm,0–10 cm,L0,1,2,1000.0,0.9038400835947237,-1.6499586639557644,True
SM_0_10cm_mm,0–10 cm,L0,2,3,0.0,3.3251816681244257,0.30883165096131626,False
SM_0_10cm_mm,0–10 cm,L0,2,3,0.0001,3.3251814486238898,0.3088317422115595,False
SM_0_10cm_mm,0–10 cm,L0,2,3,0.001,3.325179473143808,0.3088325634531921,False
SM_0_10cm_mm,0–10 cm,L0,2,3,0.01,3.325159720792413,0.3088407748244226,False
SM_0_10cm_mm,0–10 cm,L0,2,3,0.1,3.3249624420162873,0.3089227841188362,False
SM_0_10cm_mm,0–10 cm,L0,2,3,1.0,3.323013924944803,0.3097325263108762,False
SM_0_10cm_mm,0–10 cm,L0,2,3,10.0,3.3057673341853495,0.31687897094315365,False
SM_0_10cm_mm,0–10 cm,L0,2,3,30.0,3.2790393760560077,0.32788072419996084,False
SM_0_10cm_mm,0–10 cm,L0,2,3,100.0,3.252130546594272,0.3388667060280298,True
SM_0_10cm_mm,0–10 cm,L0,2,3,300.0,3.3238862007188987,0.3093700947151923,False
SM_0_10cm_mm,0–10 cm,L0,2,3,1000.0,3.6162169583034833,0.18254840799005223,False
SM_0_10cm_mm,0–10 cm,L0,3,4,0.0,2.052299357054712,0.22308496152549673,True
SM_0_10cm_mm,0–10 cm,L0,3,4,0.0001,2.0522996925182726,0.22308470754041854,False
SM_0_10cm_mm,0–10 cm,L0,3,4,0.001,2.052302711669426,0.22308242168866388,False
SM_0_10cm_mm,0–10 cm,L0,3,4,0.01,2.0523329011129667,0.2230595645519049,False
SM_0_10cm_mm,0–10 cm,L0,3,4,0.1,2.0526345888834285,0.22283113118688214,False
SM_0_10cm_mm,0–10 cm,L0,3,4,1.0,2.0556309339432546,0.2205605217416774,False
SM_0_10cm_mm,0–10 cm,L0,3,4,10.0,2.083668999107093,0.19915296779766722,False
SM_0_10cm_mm,0–10 cm,L0,3,4,30.0,2.135589824449909,0.1587447343437972,False
SM_0_10cm_mm,0–10 cm,L0,3,4,100.0,2.2517426429217853,0.0647459129175777,False
SM_0_10cm_mm,0–10 cm,L0,3,4,300.0,2.3979937361609833,-0.060689326149342415,False
SM_0_10cm_mm,0–10 cm,L0,3,4,1000.0,2.566028414064533,-0.21454897552410634,False
SM_0_10cm_mm,0–10 cm,L0,4,0,0.0,0.8582261488692142,-4.18834079297763,False
SM_0_10cm_mm,0–10 cm,L0,4,0,0.0001,0.8582260512376619,-4.188339612529477,False
SM_0_10cm_mm,0–10 cm,L0,4,0,0.001,0.8582251725575463,-4.188328988548742,False
SM_0_10cm_mm,0–10 cm,L0,4,0,0.01,0.8582163861375435,-4.188222753948064,False
SM_0_10cm_mm,0–10 cm,L0,4,0,0.1,0.858128560037226,-4.187160928366022,False
SM_0_10cm_mm,0–10 cm,L0,4,0,1.0,0.8572540929190883,-4.17659446852198,False
SM_0_10cm_mm,0–10 cm,L0,4,0,10.0,0.8488735369995597,-4.075875944264794,False
SM_0_10cm_mm,0–10 cm,L0,4,0,30.0,0.8323629994699929,-3.880345205341021,False
SM_0_10cm_mm,0–10 cm,L0,4,0,100.0,0.7913315220067968,-3.411049597144088,False
