target,depth_label,comparison,candidate_window,reference_window,observed_candidate_rmse_mm,observed_reference_rmse_mm,observed_rmse_difference_mm,bootstrap_q025_difference_mm,bootstrap_q50_difference_mm,bootstrap_q975_difference_mm,probability_candidate_lower_rmse,candidate_region_win_count,reference_region_win_count
SM_0_10cm_mm,0–10 cm,add_L1,L0_L1,L0,1.9393056606469552,1.942281511047896,-0.002975850400940727,-0.05470935885546446,-0.005279210377488797,0.03991042164233413,0.5797,120,52
SM_0_10cm_mm,0–10 cm,add_L2,L0_L2,L0_L1,2.032491924512224,1.9393056606469552,0.09318626386526874,0.022298075994096903,0.09143852137941166,0.1522842195645097,0.00425,90,82
SM_0_10cm_mm,0–10 cm,add_L3,L0_L3,L0_L2,2.1312858855554118,2.032491924512224,0.09879396104318783,0.058788978076952304,0.09894359604935044,0.13463957092858764,0.0,113,59
SM_0_10cm_mm,0–10 cm,add_L1_L2,L0_L2,L0,2.032491924512224,1.942281511047896,0.09021041346432801,-0.03102126239142563,0.08577157140837521,0.1897389864708551,0.0756,104,68
SM_0_10cm_mm,0–10 cm,add_L1_L2_L3,L0_L3,L0,2.1312858855554118,1.942281511047896,0.18900437450751584,0.034706109849679936,0.18375856945602642,0.317244698819197,0.0068,101,71
SM_10_40cm_mm,10–40 cm,add_L1,L0_L1,L0,6.559168652761816,6.603103138063286,-0.04393448530147026,-0.24115800725414244,-0.054038717559510285,0.11169129646868889,0.71895,130,42
SM_10_40cm_mm,10–40 cm,add_L2,L0_L2,L0_L1,6.898638797430567,6.559168652761816,0.33947014466875114,0.11465187809295334,0.33602964612083186,0.5278513306535942,0.00065,83,89
SM_10_40cm_mm,10–40 cm,add_L3,L0_L3,L0_L2,7.215371260964857,6.898638797430567,0.3167324635342901,0.19057320401376943,0.31851703861577363,0.42947718059401613,0.0,99,73
SM_10_40cm_mm,10–40 cm,add_L1_L2,L0_L2,L0,6.898638797430567,6.603103138063286,0.2955356593672809,-0.11059399462525252,0.277211914629369,0.6321984647584189,0.09205,107,65
SM_10_40cm_mm,10–40 cm,add_L1_L2_L3,L0_L3,L0,7.215371260964857,6.603103138063286,0.612268122901571,0.08677381944047768,0.5991663349989085,1.0498054240570076,0.0093,104,68
SM_40_100cm_mm,40–100 cm,add_L1,L0_L1,L0,14.276009431579759,14.388858855238787,-0.1128494236590285,-0.502813791454229,-0.1395780876567434,0.2191643254567182,0.7602,121,51
SM_40_100cm_mm,40–100 cm,add_L2,L0_L2,L0_L1,14.85388434638927,14.276009431579759,0.5778749148095113,0.04311987145347902,0.5594319552034301,1.0300364379926064,0.0144,95,77
SM_40_100cm_mm,40–100 cm,add_L3,L0_L3,L0_L2,15.580932059174291,14.85388434638927,0.727047712785021,0.4305066167200851,0.7299979193253305,0.9907375365644117,0.0,82,90
SM_40_100cm_mm,40–100 cm,add_L1_L2,L0_L2,L0,14.85388434638927,14.388858855238787,0.46502549115048275,-0.435521201618123,0.4326952831393047,1.2326284312420481,0.1775,110,62
SM_40_100cm_mm,40–100 cm,add_L1_L2_L3,L0_L3,L0,15.580932059174291,14.388858855238787,1.1920732039355038,0.020307880897132383,1.1516120992640175,2.194847899225925,0.0229,109,63
SM_100_200cm_mm,100–200 cm,add_L1,L0_L1,L0,26.848867041172085,27.51705854260254,-0.6681915014304565,-1.4384033603407973,-0.7276703356394432,0.09713832010948041,0.958,136,36
SM_100_200cm_mm,100–200 cm,add_L2,L0_L2,L0_L1,27.519117154600355,26.848867041172085,0.6702501134282706,-0.36357241036524507,0.6291224556364927,1.6372989185231135,0.12565,94,78
SM_100_200cm_mm,100–200 cm,add_L3,L0_L3,L0_L2,28.963748348801516,27.519117154600355,1.4446311942011612,0.8573636703213027,1.436249931896894,1.9771006965319595,0.0,72,100
SM_100_200cm_mm,100–200 cm,add_L1_L2,L0_L2,L0,27.519117154600355,27.51705854260254,0.002058611997814097,-1.763688671676001,-0.09910013678948637,1.7111881332330194,0.53855,113,59
SM_100_200cm_mm,100–200 cm,add_L1_L2_L3,L0_L3,L0,28.963748348801516,27.51705854260254,1.4466898061989752,-0.8196692424122723,1.3512258850728216,3.5682555275499515,0.12825,111,61
