target,depth_label,lag_window,maximum_lag_months,feature_count,test_fold,validation_fold,selected_alpha,test_region_count,test_sample_count,test_rmse_mm,test_mae_mm,test_r_squared
SM_0_10cm_mm,0–10 cm,L0,0,7,0,1,100.0,28,336,0.8130380414539581,0.6791107547647771,-3.656362061517833
SM_0_10cm_mm,0–10 cm,L0,0,7,1,2,1000.0,32,384,1.3988492348176593,0.9777959806782509,0.31667155453728024
SM_0_10cm_mm,0–10 cm,L0,0,7,2,3,100.0,37,444,1.1064109933932906,0.9203631455307026,-2.970899257240284
SM_0_10cm_mm,0–10 cm,L0,0,7,3,4,0.0,33,396,3.412888484562678,1.942936132979771,0.27188951837720743
SM_0_10cm_mm,0–10 cm,L0,0,7,4,0,300.0,42,504,1.8130863810501026,1.2719543614919693,0.3936420147074281
SM_0_10cm_mm,0–10 cm,L0_L1,1,11,0,1,300.0,28,336,0.7527946517529878,0.6117235120503928,-2.991885347565441
SM_0_10cm_mm,0–10 cm,L0_L1,1,11,1,2,1000.0,32,384,1.2866758121091666,0.9216582630371016,0.4218694034322299
SM_0_10cm_mm,0–10 cm,L0_L1,1,11,2,3,100.0,37,444,1.1061066208033077,0.9052747619865749,-2.9687147766958275
SM_0_10cm_mm,0–10 cm,L0_L1,1,11,3,4,0.0,33,396,3.5185281388433935,1.9789786531026319,0.2261172894035114
SM_0_10cm_mm,0–10 cm,L0_L1,1,11,4,0,300.0,42,504,1.7197827832171038,1.195309422984219,0.45444404125422777
SM_0_10cm_mm,0–10 cm,L0_L2,2,15,0,1,1000.0,28,336,0.8138829476606406,0.6755301496813737,-3.6660448394526286
SM_0_10cm_mm,0–10 cm,L0_L2,2,15,1,2,1000.0,32,384,1.2354294664400247,0.9111976795811203,0.46700443944815095
SM_0_10cm_mm,0–10 cm,L0_L2,2,15,2,3,300.0,37,444,0.9549897541693432,0.7701476915938985,-1.9583757151773407
SM_0_10cm_mm,0–10 cm,L0_L2,2,15,3,4,0.0,33,396,3.799086650187357,2.210882790001314,0.09778200443784213
SM_0_10cm_mm,0–10 cm,L0_L2,2,15,4,0,300.0,42,504,1.7802645928642031,1.211635459821935,0.4153967591783526
SM_0_10cm_mm,0–10 cm,L0_L3,3,19,0,1,1000.0,28,336,0.7984278901757511,0.6652393232209353,-3.490517646602079
SM_0_10cm_mm,0–10 cm,L0_L3,3,19,1,2,1000.0,32,384,1.2008388131501846,0.8928240529173586,0.49643317182759616
SM_0_10cm_mm,0–10 cm,L0_L3,3,19,2,3,300.0,37,444,0.9295135574788995,0.7485249549282457,-1.8026402936818529
SM_0_10cm_mm,0–10 cm,L0_L3,3,19,3,4,0.0,33,396,4.0052744480755464,2.3568157245052443,-0.0028076700578765212
SM_0_10cm_mm,0–10 cm,L0_L3,3,19,4,0,300.0,42,504,1.9268404454423251,1.2759850085113618,0.3151686746730711
SM_10_40cm_mm,10–40 cm,L0,0,7,0,1,100.0,28,336,2.579518326841075,2.158457051114761,-4.081361457612204
SM_10_40cm_mm,10–40 cm,L0,0,7,1,2,1000.0,32,384,4.7755095464427795,3.238735879306525,0.25301715678508196
SM_10_40cm_mm,10–40 cm,L0,0,7,2,3,100.0,37,444,3.3880686253685774,2.848525058741545,-2.902508869125369
SM_10_40cm_mm,10–40 cm,L0,0,7,3,4,0.0,33,396,11.637684759936223,6.387352934694851,0.18904262300727126
SM_10_40cm_mm,10–40 cm,L0,0,7,4,0,300.0,42,504,6.34181142559006,4.230690542056137,0.2951766800670482
SM_10_40cm_mm,10–40 cm,L0_L1,1,11,0,1,300.0,28,336,2.4022363872883976,1.981564236377216,-3.4069115671430863
SM_10_40cm_mm,10–40 cm,L0_L1,1,11,1,2,1000.0,32,384,4.45719320135434,3.091526862533167,0.34928006650513677
SM_10_40cm_mm,10–40 cm,L0_L1,1,11,2,3,300.0,37,444,3.009749167046504,2.450714643015308,-2.0796411061924664
SM_10_40cm_mm,10–40 cm,L0_L1,1,11,3,4,0.0,33,396,11.974318241568428,6.462412306613529,0.14144831799082958
SM_10_40cm_mm,10–40 cm,L0_L1,1,11,4,0,300.0,42,504,6.0469249034619965,3.9836478023230564,0.35919961069878203
SM_10_40cm_mm,10–40 cm,L0_L2,2,15,0,1,1000.0,28,336,2.572540627400522,2.135526276002745,-4.053908070365463
SM_10_40cm_mm,10–40 cm,L0_L2,2,15,1,2,1000.0,32,384,4.310046685399296,3.0768005117984845,0.3915356463113846
SM_10_40cm_mm,10–40 cm,L0_L2,2,15,2,3,300.0,37,444,2.941615584024881,2.3855369332499676,-1.9417877643729393
SM_10_40cm_mm,10–40 cm,L0_L2,2,15,3,4,0.0,33,396,12.890779575291775,7.291257411103589,0.0049996911593302995
SM_10_40cm_mm,10–40 cm,L0_L2,2,15,4,0,300.0,42,504,6.176165676946334,3.991388410364882,0.33151526936035514
SM_10_40cm_mm,10–40 cm,L0_L3,3,19,0,1,1000.0,28,336,2.5175619666347777,2.1091960308997098,-3.8401987092261596
SM_10_40cm_mm,10–40 cm,L0_L3,3,19,1,2,1000.0,32,384,4.227345595497145,3.0756474735287473,0.41466202655447226
SM_10_40cm_mm,10–40 cm,L0_L3,3,19,2,3,300.0,37,444,2.8824679071792167,2.3356434487602193,-1.8246748508118316
SM_10_40cm_mm,10–40 cm,L0_L3,3,19,3,4,0.0,33,396,13.570153842793022,7.835614575602442,-0.1026416509723116
SM_10_40cm_mm,10–40 cm,L0_L3,3,19,4,0,300.0,42,504,6.584491105793177,4.166543577257871,0.24020217265262955
SM_40_100cm_mm,40–100 cm,L0,0,7,0,1,100.0,28,336,6.327285935201542,5.40457156065782,-5.564415383106096
SM_40_100cm_mm,40–100 cm,L0,0,7,1,2,1000.0,32,384,9.928138884522832,6.812270229937013,0.31045208445459593
SM_40_100cm_mm,40–100 cm,L0,0,7,2,3,100.0,37,444,8.014133253713647,6.806802254531916,-3.0048601738157306
SM_40_100cm_mm,40–100 cm,L0,0,7,3,4,0.0,33,396,24.640073097522393,14.27079783277522,0.2111337875033985
SM_40_100cm_mm,40–100 cm,L0,0,7,4,0,300.0,42,504,14.576433331741317,9.859146316155757,0.2745286495459728
SM_40_100cm_mm,40–100 cm,L0_L1,1,11,0,1,300.0,28,336,5.935348943175311,4.994857998557745,-4.7763519341737295
SM_40_100cm_mm,40–100 cm,L0_L1,1,11,1,2,1000.0,32,384,9.241052815719373,6.4613536679134365,0.4025911292777753
SM_40_100cm_mm,40–100 cm,L0_L1,1,11,2,3,100.0,37,444,7.905569935323806,6.606430548854528,-2.897091555445675
SM_40_100cm_mm,40–100 cm,L0_L1,1,11,3,4,0.0,33,396,25.26397838831836,14.15659526778632,0.17067863472094824
SM_40_100cm_mm,40–100 cm,L0_L1,1,11,4,0,300.0,42,504,13.766741512804105,9.169401392349611,0.35288712400825395
SM_40_100cm_mm,40–100 cm,L0_L2,2,15,0,1,1000.0,28,336,6.012166369047231,4.860530094662208,-4.926838758766047
SM_40_100cm_mm,40–100 cm,L0_L2,2,15,1,2,1000.0,32,384,8.971194399247844,6.525159699230508,0.4369729021211002
SM_40_100cm_mm,40–100 cm,L0_L2,2,15,2,3,300.0,37,444,7.0286682715252375,5.760679866684752,-2.0804937520880906
SM_40_100cm_mm,40–100 cm,L0_L2,2,15,3,4,0.0,33,396,27.270466559611474,16.028772400561056,0.033716623883677466
SM_40_100cm_mm,40–100 cm,L0_L2,2,15,4,0,300.0,42,504,13.7952051840784,8.990772107646928,0.35020845823346847
SM_40_100cm_mm,40–100 cm,L0_L3,3,19,0,1,1000.0,28,336,5.904314575834469,4.842023288684312,-4.716103829534984
SM_40_100cm_mm,40–100 cm,L0_L3,3,19,1,2,1000.0,32,384,8.845558990491444,6.58862288454129,0.45263209552601047
SM_40_100cm_mm,40–100 cm,L0_L3,3,19,2,3,300.0,37,444,6.943333352028378,5.696799034656076,-2.006147402482792
SM_40_100cm_mm,40–100 cm,L0_L3,3,19,3,4,0.0,33,396,28.89921326207746,17.38477138020328,-0.08515408960475779
SM_40_100cm_mm,40–100 cm,L0_L3,3,19,4,0,300.0,42,504,14.582728005029821,9.272033236313012,0.2739019405223643
SM_100_200cm_mm,100–200 cm,L0,0,7,0,1,30.0,28,336,15.4885543615688,13.297924694322816,-6.26828483160158
SM_100_200cm_mm,100–200 cm,L0,0,7,1,2,1000.0,32,384,19.827671621207333,13.836637906729996,0.3485542804836742
SM_100_200cm_mm,100–200 cm,L0,0,7,2,3,100.0,37,444,17.272690960957334,14.77131116930936,-2.0959032941354283
SM_100_200cm_mm,100–200 cm,L0,0,7,3,4,0.0,33,396,41.54537702857668,26.184933949341282,0.28541074222954266
SM_100_200cm_mm,100–200 cm,L0,0,7,4,0,300.0,42,504,31.975281686727,21.71918628852502,0.22056741083671982
SM_100_200cm_mm,100–200 cm,L0_L1,1,11,0,1,300.0,28,336,13.846986632533527,11.60145256926236,-4.809258677313767
SM_100_200cm_mm,100–200 cm,L0_L1,1,11,1,2,1000.0,32,384,18.0743108329797,12.82223719730294,0.4586747401482185
SM_100_200cm_mm,100–200 cm,L0_L1,1,11,2,3,100.0,37,444,16.87064670503141,14.232260805797685,-1.9534582921971224
SM_100_200cm_mm,100–200 cm,L0_L1,1,11,3,4,0.0,33,396,42.56807980675847,25.4530484822891,0.24979631276049918
SM_100_200cm_mm,100–200 cm,L0_L1,1,11,4,0,300.0,42,504,30.014865534861876,19.95254915730403,0.3132121455131388
SM_100_200cm_mm,100–200 cm,L0_L2,2,15,0,1,1000.0,28,336,14.421373463988155,11.640717007490807,-5.301202213959763
SM_100_200cm_mm,100–200 cm,L0_L2,2,15,1,2,1000.0,32,384,17.262489137998088,12.735810723361404,0.5062107441184618
SM_100_200cm_mm,100–200 cm,L0_L2,2,15,2,3,300.0,37,444,15.451094423879558,12.85854567036295,-1.477341476630757
SM_100_200cm_mm,100–200 cm,L0_L2,2,15,3,4,0.0,33,396,46.17868837611131,28.88722952132239,0.11713507979863713
SM_100_200cm_mm,100–200 cm,L0_L2,2,15,4,0,30.0,42,504,29.151490367351386,19.074356540707807,0.3521546767543261
SM_100_200cm_mm,100–200 cm,L0_L3,3,19,0,1,1000.0,28,336,14.495068912988586,11.804205752153269,-5.365766997423358
SM_100_200cm_mm,100–200 cm,L0_L3,3,19,1,2,1000.0,32,384,16.85185130342636,12.780580270272916,0.5294237156987806
SM_100_200cm_mm,100–200 cm,L0_L3,3,19,2,3,300.0,37,444,15.46433694865891,12.871594843544072,-1.4815897600812429
SM_100_200cm_mm,100–200 cm,L0_L3,3,19,3,4,0.0,33,396,49.43592759896265,31.73437772647323,-0.011804133171408271
SM_100_200cm_mm,100–200 cm,L0_L3,3,19,4,0,100.0,42,504,30.792165784352523,19.68731375073895,0.27717981020405136
