target,depth_label,lag_window,maximum_lag_months,feature_count,pooled_rmse_mm,pooled_mae_mm,pooled_r_squared,pooled_bias_mm,core_pooled_rmse_mm,core_pooled_r_squared
SM_0_10cm_mm,0–10 cm,L0,0,7,1.9422815110478961,1.1738196771555172,0.43827802378714886,0.41174999050081823,,
SM_0_10cm_mm,0–10 cm,L0_L1,1,11,1.9393056606469552,1.1373591875920093,0.4399979804403964,0.37296494407585506,,
SM_0_10cm_mm,0–10 cm,L0_L2,2,15,2.032491924512224,1.1652119529605418,0.38488726230799086,0.3465857856210955,,
SM_0_10cm_mm,0–10 cm,L0_L3,3,19,2.1312858855554118,1.1991789729188198,0.323636005025418,0.42723360109034336,,
SM_10_40cm_mm,10–40 cm,L0,0,7,6.603103138063286,3.825252455545041,0.3763471511789629,1.3628136133291262,,
SM_10_40cm_mm,10–40 cm,L0_L1,1,11,6.559168652761817,3.6375692664360737,0.3846186296972016,1.1469153267817698,,
SM_10_40cm_mm,10–40 cm,L0_L2,2,15,6.898638797430567,3.806785037428027,0.3192720825846582,1.21968976422814,,
SM_10_40cm_mm,10–40 cm,L0_L3,3,19,7.215371260964856,3.93876236547646,0.25532956226662584,1.4795963489474728,,
SM_40_100cm_mm,40–100 cm,L0,0,7,14.388858855238787,8.756934931594234,0.38823090889256306,3.003407169713342,,
SM_40_100cm_mm,40–100 cm,L0_L1,1,11,14.276009431579759,8.391510313698234,0.3977892851465301,2.8279303201145014,,
SM_40_100cm_mm,40–100 cm,L0_L2,2,15,14.85388434638927,8.515157126935696,0.3480490803080334,2.6681904846620825,,
SM_40_100cm_mm,40–100 cm,L0_L3,3,19,15.580932059174293,8.839052326410531,0.2826655411577086,3.209150168348375,,
SM_100_200cm_mm,100–200 cm,L0,0,7,27.51705854260254,18.243961989343944,0.41521338169678634,6.293669900053913,,
SM_100_200cm_mm,100–200 cm,L0_L1,1,11,26.848867041172085,17.091299863894555,0.44326908398893305,5.7640653843138905,,
SM_100_200cm_mm,100–200 cm,L0_L2,2,15,27.51911715460035,17.230545105081998,0.41512588006371554,5.077455384111688,,
SM_100_200cm_mm,100–200 cm,L0_L3,3,19,28.963748348801513,17.964226636190745,0.3521075166642875,6.185702607567656,,
