target,depth_label,candidate,reference,population,region_count,observed_candidate_rmse_mm,observed_reference_rmse_mm,observed_rmse_difference_mm,bootstrap_difference_mean_mm,bootstrap_difference_q025_mm,bootstrap_difference_q50_mm,bootstrap_difference_q975_mm,probability_candidate_lower_rmse,candidate_region_win_count,reference_region_win_count,regional_tie_count
SM_0_10cm_mm,0–10 cm,Ridge,MLP,all_regions,33,2.7625890420884978,2.653988106721419,0.10860093536707893,0.11053467497838829,-0.15882412878228136,0.10675160000935269,0.40293585631076345,0.2244,12,21,0
SM_0_10cm_mm,0–10 cm,Ridge,MLP,core_regions,29,2.7245533940688826,2.5598842124733063,0.1646691815955763,0.16559769843924946,-0.1312451703182522,0.1607434652954327,0.4859639588130401,0.1422,9,20,0
SM_0_10cm_mm,0–10 cm,PINN_P_lambda10,MLP,all_regions,33,3.0320918012412785,2.653988106721419,0.3781036945198597,0.3728703758999353,0.09035982034602978,0.368050008084696,0.6796309902282897,0.0033,13,20,0
SM_0_10cm_mm,0–10 cm,PINN_P_lambda10,MLP,core_regions,29,2.8230737722747707,2.5598842124733063,0.2631895598014644,0.2573888549103213,-0.003914691363227551,0.2540318090702125,0.5370283371142978,0.0272,13,16,0
SM_0_10cm_mm,0–10 cm,PINN_P_lambda10,Ridge,all_regions,33,3.0320918012412785,2.7625890420884978,0.26950275915278077,0.2640967414813122,-0.23189723263868225,0.2666889425276684,0.7485390748494887,0.15145,20,13,0
SM_0_10cm_mm,0–10 cm,PINN_P_lambda10,Ridge,core_regions,29,2.8230737722747707,2.7245533940688826,0.0985203782058881,0.09290532108593441,-0.4023298118965865,0.09420204314439151,0.5791751006396157,0.35515,19,10,0
SM_10_40cm_mm,10–40 cm,Ridge,MLP,all_regions,33,7.941386331020613,7.9128495434285995,0.028536787592013724,0.026872894031958118,-0.6836552729689305,0.017596311598770953,0.789942896817217,0.481,19,14,0
SM_10_40cm_mm,10–40 cm,Ridge,MLP,core_regions,29,7.737420150969046,7.594002239987839,0.14341791098120726,0.14263519132105276,-0.6241122767727921,0.13077561508314695,0.9744568487298625,0.3752,17,12,0
SM_10_40cm_mm,10–40 cm,PINN_P_lambda10,MLP,all_regions,33,8.163175101376321,7.9128495434285995,0.25032555794772193,0.24642285988484885,-0.12350373325820319,0.23989759920660125,0.6450626176371117,0.0995,14,19,0
SM_10_40cm_mm,10–40 cm,PINN_P_lambda10,MLP,core_regions,29,7.718753403983816,7.594002239987839,0.12475116399597663,0.12325484322656673,-0.2236069702782867,0.12335576000935955,0.4628088330493881,0.23615,12,17,0
SM_10_40cm_mm,10–40 cm,PINN_P_lambda10,Ridge,all_regions,33,8.163175101376321,7.941386331020613,0.2217887703557082,0.2135810926472764,-0.8350570115068291,0.2193266975161472,1.2346775579400389,0.3392,16,17,0
SM_10_40cm_mm,10–40 cm,PINN_P_lambda10,Ridge,core_regions,29,7.718753403983816,7.737420150969046,-0.01866674698523063,-0.020247882379340654,-1.116616326098497,-0.0004745146805968936,0.9762170537839638,0.50035,14,15,0
SM_40_100cm_mm,40–100 cm,Ridge,MLP,all_regions,33,18.363521028209142,19.27320050645004,-0.9096794782408963,-0.8971974015433947,-3.250843307692418,-0.9147971799993435,1.540436447378109,0.7688,16,17,0
SM_40_100cm_mm,40–100 cm,Ridge,MLP,core_regions,29,17.486214514562437,18.032277224531757,-0.5460627099693198,-0.521219234560738,-3.0210316203663985,-0.5363373534201195,2.1255270863052154,0.6584,14,15,0
SM_40_100cm_mm,40–100 cm,PINN_P_lambda10,MLP,all_regions,33,19.370445445664107,19.27320050645004,0.09724493921406818,0.09341082722802517,-0.07622499130142558,0.0923714913634992,0.26705522495081135,0.1415,14,19,0
SM_40_100cm_mm,40–100 cm,PINN_P_lambda10,MLP,core_regions,29,18.05671730551322,18.032277224531757,0.024440080981463552,0.022283960059670965,-0.13182603996781211,0.025679357328397323,0.15986158101985146,0.37015,12,17,0
SM_40_100cm_mm,40–100 cm,PINN_P_lambda10,Ridge,all_regions,33,19.370445445664107,18.363521028209142,1.0069244174549645,0.983763765105321,-1.5843977215380047,1.0079454551990121,3.3798675797695132,0.22155,15,18,0
SM_40_100cm_mm,40–100 cm,PINN_P_lambda10,Ridge,core_regions,29,18.05671730551322,17.486214514562437,0.5705027909507834,0.5524778684671499,-2.2115518087695776,0.5783246465501826,3.142962468443946,0.33755,14,15,0
SM_100_200cm_mm,100–200 cm,Ridge,MLP,all_regions,33,51.29954497559591,54.69841703609493,-3.3988720604990235,-3.434538901401373,-5.574841475127807,-3.4142367577589496,-1.388467457310882,0.99955,22,11,0
SM_100_200cm_mm,100–200 cm,Ridge,MLP,core_regions,29,46.00430294967431,49.052165471700036,-3.0478625220257243,-3.1015608582704335,-5.761410060176549,-3.042341847250462,-0.7694501841927475,0.9958,19,10,0
SM_100_200cm_mm,100–200 cm,PINN_P_lambda10,MLP,all_regions,33,54.72473007851481,54.69841703609493,0.026313042419879196,0.01838371992391195,-0.6907984599012215,-0.012528542753642569,0.9258375585617507,0.5123,20,13,0
SM_100_200cm_mm,100–200 cm,PINN_P_lambda10,MLP,core_regions,29,48.63889492121372,49.052165471700036,-0.4132705504863168,-0.43170064273962944,-0.9722232059799382,-0.4208822243592927,0.05593844995040834,0.9587,18,11,0
SM_100_200cm_mm,100–200 cm,PINN_P_lambda10,Ridge,all_regions,33,54.72473007851481,51.29954497559591,3.4251851029189027,3.4349511523288734,1.0929251897051413,3.406132727627309,5.8962329427479965,0.0026,12,21,0
SM_100_200cm_mm,100–200 cm,PINN_P_lambda10,Ridge,core_regions,29,48.63889492121372,46.00430294967431,2.6345919715394075,2.68486363261171,0.23606312187805154,2.611141909303676,5.469526702146492,0.01505,11,18,0
