target,depth_label,configuration,model_family,seed,test_fold,validation_fold,selected_ridge_alpha,test_rmse_mm,test_r_squared,test_p_violation,best_epoch,training_seconds
SM_0_10cm_mm,0–10 cm,Mean,Mean,-1,0,1,,8.94454564832646,-6.779969526766463,,,
SM_0_10cm_mm,0–10 cm,Ridge,Ridge,-1,0,1,1.0,3.3981504399370865,-0.12291408567433715,0.0625,,
SM_0_10cm_mm,0–10 cm,MLP,MLP,20260806,0,1,,3.130092398965652,0.04725727311329253,0.1328125,146.0,0.9569768905639648
SM_0_10cm_mm,0–10 cm,MLP,MLP,20260807,0,1,,2.9600110355815863,0.14798353654999286,0.14583333333333334,112.0,0.6058766841888428
SM_0_10cm_mm,0–10 cm,MLP,MLP,20260808,0,1,,3.1911693008412256,0.009713138695240375,0.12413194444444445,127.0,0.6936664581298828
SM_0_10cm_mm,0–10 cm,MLP,MLP,20260809,0,1,,2.876024386455202,0.19564742832003268,0.1440972222222222,158.0,0.73764967918396
SM_0_10cm_mm,0–10 cm,MLP,MLP,20260810,0,1,,3.1881521459696187,0.01158482652224202,0.14930555555555555,102.0,0.5861458778381348
SM_0_10cm_mm,0–10 cm,PINN_P_lambda10,PINN_P,20260806,0,1,,3.18656971778916,0.01256577585345997,0.10850694444444445,136.0,1.501927375793457
SM_0_10cm_mm,0–10 cm,PINN_P_lambda10,PINN_P,20260807,0,1,,3.006555544792153,0.12097790906299677,0.12152777777777778,111.0,1.172844648361206
SM_0_10cm_mm,0–10 cm,PINN_P_lambda10,PINN_P,20260808,0,1,,3.13152537557259,0.04638472982830577,0.07291666666666667,128.0,1.2150225639343262
SM_0_10cm_mm,0–10 cm,PINN_P_lambda10,PINN_P,20260809,0,1,,3.0116771271840554,0.117980579729006,0.0876736111111111,152.0,1.2593748569488525
SM_0_10cm_mm,0–10 cm,PINN_P_lambda10,PINN_P,20260810,0,1,,3.28540935832413,-0.04963983913937575,0.08680555555555555,97.0,1.0569586753845215
SM_0_10cm_mm,0–10 cm,Mean,Mean,-1,1,2,,5.937861687409455,-0.0021715414146306067,,,
SM_0_10cm_mm,0–10 cm,Ridge,Ridge,-1,1,2,1.0,2.614379008846794,0.8057240652333454,0.125,,
SM_0_10cm_mm,0–10 cm,MLP,MLP,20260806,1,2,,3.6639181403474983,0.6184306909364781,0.31398809523809523,753.0,2.0290911197662354
SM_0_10cm_mm,0–10 cm,MLP,MLP,20260807,1,2,,3.6127586215952205,0.6290120498472765,0.3125,706.0,1.8388850688934326
