target,depth_label,configuration,test_fold,test_region_count,test_sample_count,ensemble_fold_rmse_mm,ensemble_fold_r_squared
SM_0_10cm_mm,0–10 cm,MLP,0,6,72,3.0231876441377348,0.11122560547581828
SM_0_10cm_mm,0–10 cm,MLP,1,7,84,2.5236042279758433,0.8189808987935765
SM_0_10cm_mm,0–10 cm,MLP,2,6,72,2.486011264666459,0.7975120445735494
SM_0_10cm_mm,0–10 cm,MLP,3,6,72,2.0882870453915108,0.874130546281408
SM_0_10cm_mm,0–10 cm,MLP,4,8,96,2.9532894095445092,0.7959068000943474
SM_0_10cm_mm,0–10 cm,Mean,0,6,72,8.94454564832646,-6.779969526766463
SM_0_10cm_mm,0–10 cm,Mean,1,7,84,5.937861687409455,-0.0021715414146306067
SM_0_10cm_mm,0–10 cm,Mean,2,6,72,5.5839371085195975,-0.02158391731847442
SM_0_10cm_mm,0–10 cm,Mean,3,6,72,7.058886066052015,-0.43817688087989803
SM_0_10cm_mm,0–10 cm,Mean,4,8,96,7.76017614383407,-0.40915795665653065
SM_0_10cm_mm,0–10 cm,PINN_P_lambda10,0,6,72,3.0874951274449307,0.07301247841361314
SM_0_10cm_mm,0–10 cm,PINN_P_lambda10,1,7,84,3.7708761089224074,0.5958277988399755
SM_0_10cm_mm,0–10 cm,PINN_P_lambda10,2,6,72,2.4682451059997623,0.8003958438182234
SM_0_10cm_mm,0–10 cm,PINN_P_lambda10,3,6,72,2.0979447422108866,0.8729636377974408
SM_0_10cm_mm,0–10 cm,PINN_P_lambda10,4,8,96,3.2344671733969363,0.7551940244028387
SM_0_10cm_mm,0–10 cm,Ridge,0,6,72,3.3981504399370865,-0.12291408567433715
SM_0_10cm_mm,0–10 cm,Ridge,1,7,84,2.614379008846794,0.8057240652333454
SM_0_10cm_mm,0–10 cm,Ridge,2,6,72,2.508469715574005,0.7938369952557465
SM_0_10cm_mm,0–10 cm,Ridge,3,6,72,2.533268393723955,0.8147738209300592
SM_0_10cm_mm,0–10 cm,Ridge,4,8,96,2.703331856499278,0.8289924664011601
SM_100_200cm_mm,100–200 cm,MLP,0,6,72,41.43613006084357,-0.3929526508571417
SM_100_200cm_mm,100–200 cm,MLP,1,7,84,41.07408516019035,0.41115351417232415
SM_100_200cm_mm,100–200 cm,MLP,2,6,72,51.09931239677366,0.008247251354716156
SM_100_200cm_mm,100–200 cm,MLP,3,6,72,44.60319825937345,0.46621751024846414
SM_100_200cm_mm,100–200 cm,MLP,4,8,96,78.27712356056796,-0.33744014097953
SM_100_200cm_mm,100–200 cm,Mean,0,6,72,85.58174134187587,-4.942103563920614
SM_100_200cm_mm,100–200 cm,Mean,1,7,84,53.540441049128,-0.0005301450216934622
SM_100_200cm_mm,100–200 cm,Mean,2,6,72,52.37469479477767,-0.041876663935232816
SM_100_200cm_mm,100–200 cm,Mean,3,6,72,65.55866617718475,-0.1531678864087278
SM_100_200cm_mm,100–200 cm,Mean,4,8,96,75.5433205767524,-0.24565214008291392
SM_100_200cm_mm,100–200 cm,PINN_P_lambda10,0,6,72,40.55563384084882,-0.33438258606727467
SM_100_200cm_mm,100–200 cm,PINN_P_lambda10,1,7,84,43.9411350977819,0.3260792442269681
