target,depth_label,configuration,ensemble_seed_count,ensemble_rmse_mm,ensemble_mae_mm,ensemble_r_squared,ensemble_bias_mm,rmse_divided_by_target_mean,rmse_divided_by_target_std,core_ensemble_rmse_mm,core_ensemble_r_squared,mean_prediction_std_mm,median_test_p_violation,accuracy_gap_from_best_percent
SM_0_10cm_mm,0–10 cm,Mean,1,7.166100368212392,6.1246717337406045,-0.1592288855979429,-0.0022430516252614032,0.23201448754933704,1.0766749210406745,7.108642635723545,-0.1755183627546988,0.0,,170.01252756422377
SM_0_10cm_mm,0–10 cm,Ridge,1,2.7625890420884978,2.18556085740677,0.8277195526445438,-0.2476729624199145,0.0894434417570775,0.41506679866674023,2.7245533940688826,0.8273181469990349,0.0,0.0625,4.091990280289468
SM_0_10cm_mm,0–10 cm,MLP,5,2.653988106721419,2.13560384596237,0.8409984471350269,-0.18815229878281117,0.08592730479668254,0.3987499879184614,2.5598842124733063,0.8475607871682596,1.1234105264610945,0.12586805555555555,0.0
SM_0_10cm_mm,0–10 cm,PINN_P_lambda10,5,3.0320918012412785,2.368284907003846,0.7924665463880816,-0.3880594942304824,0.09816904443427846,0.45555839758687194,2.8230737722747707,0.8146039367123786,0.867827110034483,0.0876736111111111,14.246623545986678
SM_100_200cm_mm,100–200 cm,Mean,1,67.84833553831537,55.772681920215334,-0.12679186637576612,-0.06616630939522175,0.20061464430896708,1.061504529606806,67.52287364548867,-0.1388729245377831,0.0,,32.25913713385179
SM_100_200cm_mm,100–200 cm,Ridge,1,51.29954497559591,38.04677523988666,0.35584210592279497,-9.70802580708205,0.15168301310323584,0.8025944767298148,46.00430294967431,0.47134743452055716,0.0,0.0,0.0
SM_100_200cm_mm,100–200 cm,MLP,5,54.698417036094924,39.91811278372099,0.2676565128387618,-10.229733199302595,0.1617328323664311,0.8557706977696995,49.052165471700036,0.3989787824634665,9.517107038144983,0.0546875,6.625540367104463
SM_100_200cm_mm,100–200 cm,PINN_P_lambda10,5,54.72473007851481,39.696052820995604,0.26695174581571723,-10.445533760147867,0.16181063503622203,0.8561823720354693,48.63889492121372,0.4090634762810301,9.58190689265682,0.04079861111111111,6.67683330241686
SM_10_40cm_mm,10–40 cm,Mean,1,21.780670034381284,18.712734434339737,-0.1575562689287977,-0.026862924749200993,0.2306796151986688,1.075897889638602,21.794089581766098,-0.16894137263048914,0.0,,175.25697177535142
SM_10_40cm_mm,10–40 cm,Ridge,1,7.941386331020614,6.24248907301161,0.8461164176918881,-0.3952228854400943,0.08410741910566032,0.3922799794892825,7.737420150969046,0.8526644234059683,0.0,0.0,0.3606385719252393
SM_10_40cm_mm,10–40 cm,MLP,5,7.9128495434286,6.410722510983246,0.8472203693031836,-1.217637674736254,0.08380518528225908,0.3908703502400974,7.594002239987838,0.858075717128225,2.941070092820249,0.07118055555555555,0.0
SM_10_40cm_mm,10–40 cm,PINN_P_lambda10,5,8.163175101376321,6.565498635263153,0.8374010022168427,-1.685311255792175,0.08645638945966136,0.40323566035651826,7.718753403983816,0.8533744684382946,2.9661454421897173,0.058159722222222224,3.163532385821861
SM_40_100cm_mm,40–100 cm,Mean,1,49.45182527493741,42.905709526755594,-0.1606480732719695,-0.11868264940049914,0.2722587236836577,1.0773337798806688,49.62822149291837,-0.1717490134867059,0.0,,169.2938091718464
SM_40_100cm_mm,40–100 cm,Ridge,1,18.363521028209142,15.362171539152511,0.8399528975845977,-3.1963883794919408,0.10110099616509167,0.4000588736866142,17.486214514562437,0.8545315616441419,0.0,0.0,0.0
SM_40_100cm_mm,40–100 cm,MLP,5,19.27320050645004,15.8344374492915,0.8237035441190076,-3.9155216062911844,0.10610926779773862,0.4198767150974109,18.032277224531757,0.8453042708272493,7.123600827336504,0.05803571428571429,4.953731241647455
SM_40_100cm_mm,40–100 cm,PINN_P_lambda10,5,19.37044544566411,15.87467085327765,0.8219200117065056,-4.069586516871597,0.10664465315283765,0.42199524676647066,18.056717305513224,0.8448846523572796,7.073609987599938,0.04600694444444445,5.483286216778254
