month,precipitation_mm,soil_moisture_total_mm,total_runoff_mm,actual_evapotranspiration_mm,PET_mm
1,282.75922336795895,855.0496422527813,193.14080287776932,123.92014081292756,99.46212048557778
2,205.23074000860544,828.4073393901388,120.68442582151427,120.08358009230969,102.19700272687432
3,249.15092656068654,808.8136013297373,107.89473686964045,135.25625501983737,118.89835492590342
4,229.60084725376947,812.4285027778278,94.92085976733959,128.37011248059366,118.38150216765736
5,250.2081003240358,826.5356695173225,105.07107075397091,121.8588010504757,114.15137615489257
6,201.82719440528476,837.0762345935713,82.92246123045244,113.0172678117213,107.9410708680453
7,202.21557642494312,840.039614088512,74.70799055445357,116.7831874949856,113.69237782747052
8,238.58477997390358,849.202592114844,95.23599379683795,117.38088125970494,115.8140583560636
9,250.53521879542504,862.9585587540749,114.95715508883097,116.88272279670456,110.9158179267234
10,309.9879085280386,873.8042501015159,166.76511761965406,119.70049739792421,107.88583980645335
11,335.3876114578868,881.0055898070782,209.27898364978756,113.82643522418562,95.97425007396603
12,372.65733877747317,877.7292092339654,267.51562241097355,118.32743386275104,93.97170984380867
