month,negative_record_count,minimum_negative_aet_mm,mean_negative_aet_mm,maximum_negative_aet_mm
1,21,-0.1252538,-0.021762679072,-9.587416e-06
2,35,-0.32669234,-0.05472039215266572,-4.3663663e-06
3,42,-0.23091789,-0.04629642006297619,-7.769706e-06
4,8,-4.5769517e-05,-2.19481164375e-05,-1.5660829e-06
5,1,-6.8414665e-05,-6.8414665e-05,-6.8414665e-05
7,1,-0.00010002115,-0.00010002115,-0.00010002115
9,2,-0.00069062907,-0.00034554777003,-4.6647006e-07
10,28,-0.020997984,-0.0037961042294357146,-1.2939835e-06
11,27,-0.08930428,-0.008081785092570369,-3.995604e-07
12,21,-0.045230452,-0.009142810676119047,-2.698897e-06
