year,negative_record_count,minimum_negative_aet_mm,mean_negative_aet_mm,maximum_negative_aet_mm
1982,6,-0.08425584,-0.0163323587295,-6.680134e-06
1983,7,-0.13044211,-0.04652573241428572,-0.0013545959
1984,6,-0.14663976,-0.03337092178223334,-3.995604e-07
1985,8,-0.057850156,-0.0193253957066875,-1.2939835e-06
1986,8,-0.07264467,-0.0132214199135,-2.7033298e-05
1987,9,-0.0074703544,-0.0017985692632555557,-6.4772153e-06
1988,7,-0.10046997,-0.014759518204414287,-1.5660829e-06
1989,6,-0.07191455,-0.02293726453033333,-9.587416e-06
1990,5,-0.05998399,-0.0245012873736,-4.5708668e-05
1991,6,-0.13664782,-0.024697093791,-2.636171e-05
1992,6,-0.1807396,-0.049311069000000006,-0.003946301
1993,5,-0.0954783,-0.0267528660184,-1.4909392e-05
1994,7,-0.15482645,-0.0362271262,-0.0073625944
1995,5,-0.040583234,-0.014542529552660003,-4.3663663e-06
1996,7,-0.10263447,-0.019099538673857143,-2.30029e-05
1997,8,-0.0446621,-0.011754851134625,-1.195192e-05
1998,5,-0.046350356,-0.01841410144,-0.0043062815
1999,5,-0.23091789,-0.052342953979399996,-2.698897e-06
2000,9,-0.08001951,-0.013909212376784445,-4.6647006e-07
2001,3,-0.32669234,-0.129291657,-0.003807801
2002,5,-0.096169405,-0.047807085378000005,-2.265789e-05
2003,3,-0.00818421,-0.0052076172,-0.0033455666
2004,6,-0.059464745,-0.012986525611666667,-3.412829e-05
2005,7,-0.07565433,-0.01566277198557143,-3.7576926e-06
2006,6,-0.1252538,-0.027938173781166666,-8.989391e-06
2007,5,-0.09038772,-0.027924766458,-0.00012351829
2008,4,-0.04181326,-0.0170973870355,-2.0728192e-05
2009,5,-0.29344836,-0.082507520973,-3.1880365e-05
2010,10,-0.12238571,-0.012876538723349998,-2.7584715e-06
2011,7,-0.0932191,-0.03034970665242857,-4.907267e-06
