grid_id,longitude,latitude,date,year,month,precipitation_mm,PET_mm,actual_evapotranspiration_mm,total_runoff_mm,soil_moisture_total_mm
SL_8.7500_81.1500,81.15000000000003,8.75,1982-02-01,1982,2,2.1451344,134.77647,-0.08425584,1.0952126e-05,165.83852
SL_7.9500_79.7500,79.75,7.949999999999989,1982-03-01,1982,3,33.564713,161.76842,-0.00014116679,1.584178e-06,165.80241
SL_8.7500_81.1500,81.15000000000003,8.75,1982-03-01,1982,3,12.349989,154.32353,-0.013534619,8.4536505e-06,165.91252
SL_7.9500_79.7500,79.75,7.949999999999989,1982-04-01,1982,4,96.04163,157.96317,-1.756171e-05,1.398881e-09,165.79987
SL_7.9500_79.7500,79.75,7.949999999999989,1982-10-01,1982,10,285.5511,121.947365,-6.680134e-06,3.2786274e-11,165.79988
SL_7.9500_79.7500,79.75,7.949999999999989,1982-11-01,1982,11,362.47775,105.70526,-3.8284743e-05,3.5892538e-07,165.80109
SL_8.7500_81.1500,81.15000000000003,8.75,1983-01-01,1983,1,19.146059,126.49412,-0.010633192,1.8793327e-07,165.79996
SL_7.9500_79.7500,79.75,7.949999999999989,1983-02-01,1983,2,12.44756,137.17894,-0.13044211,3.957697e-05,165.8873
SL_8.7500_81.1500,81.15000000000003,8.75,1983-02-01,1983,2,8.299914,136.91176,-0.11775887,1.6336477e-05,165.84749
SL_7.9500_79.7500,79.75,7.949999999999989,1983-11-01,1983,11,186.41849,121.05789,-0.008228971,7.4444824e-07,165.8019
SL_8.7500_81.1500,81.15000000000003,8.75,1983-11-01,1983,11,272.29495,119.15882,-0.015288272,1.4141259e-06,165.80347
SL_7.9500_79.7500,79.75,7.949999999999989,1983-12-01,1983,12,323.66818,105.03158,-0.0013545959,9.794196e-07,165.80261
SL_8.7500_81.1500,81.15000000000003,8.75,1983-12-01,1983,12,680.8804,96.58235,-0.041974116,3.334328e-06,165.8125
SL_7.9500_79.7500,79.75,7.949999999999989,1984-02-01,1984,2,284.29388,107.54211,-0.0005260462,9.732188e-07,165.80238
SL_7.9500_79.7500,79.75,7.949999999999989,1984-03-01,1984,3,196.00424,145.36842,-0.037665915,5.737075e-06,165.82976
SL_8.7500_81.1500,81.15000000000003,8.75,1984-03-01,1984,3,89.58626,139.98235,-0.14663976,1.6731767e-05,165.90132
SL_7.9500_79.7500,79.75,7.949999999999989,1984-11-01,1984,11,361.73157,106.38947,-3.995604e-07,5.558054e-10,165.79988
SL_7.9500_79.7500,79.75,7.949999999999989,1984-12-01,1984,12,87.66216,118.28421,-3.0668933e-05,6.4778186e-07,165.8011
SL_8.7500_81.1500,81.15000000000003,8.75,1984-12-01,1984,12,136.12892,103.85294,-0.015362741,1.4497755e-06,165.8105
SL_7.9500_79.7500,79.75,7.949999999999989,1985-01-01,1985,1,63.470795,129.96317,-6.518584e-05,6.402706e-07,165.80269
SL_7.9500_79.7500,79.75,7.949999999999989,1985-02-01,1985,2,107.92894,124.56842,-8.376507e-05,2.8834231e-06,165.8073
SL_8.7500_81.1500,81.15000000000003,8.75,1985-02-01,1985,2,64.60506,115.86471,-0.050360247,6.1563137e-06,165.83978
SL_7.9500_79.7500,79.75,7.949999999999989,1985-03-01,1985,3,93.560936,157.80527,-0.040230058,1.6453687e-05,165.84811
SL_8.7500_81.1500,81.15000000000003,8.75,1985-03-01,1985,3,42.28259,150.12354,-0.057850156,1.2510418e-05,165.93442
SL_8.7500_81.1500,81.15000000000003,8.75,1985-10-01,1985,10,151.20795,152.8,-1.2939835e-06,9.757825e-14,165.79988
SL_7.9500_79.7500,79.75,7.949999999999989,1985-11-01,1985,11,250.71292,118.87369,-0.0054909484,1.6482954e-06,165.80315
SL_8.7500_81.1500,81.15000000000003,8.75,1985-11-01,1985,11,295.52362,115.51765,-0.00052151136,3.1711002e-07,165.80151
SL_7.9500_79.7500,79.75,7.949999999999989,1986-01-01,1986,1,105.07624,121.13158,-0.011123442,2.903579e-06,165.8113
SL_8.7500_81.1500,81.15000000000003,8.75,1986-01-01,1986,1,172.44925,104.78236,-2.8256693e-05,5.3717656e-07,165.80309
SL_8.7500_81.1500,81.15000000000003,8.75,1986-02-01,1986,2,42.720833,120.7,-0.01507238,4.229233e-06,165.82635
SL_7.9500_79.7500,79.75,7.949999999999989,1986-03-01,1986,3,88.07704,152.1579,-0.0001252438,8.9046114e-07,165.80206
SL_8.7500_81.1500,81.15000000000003,8.75,1986-03-01,1986,3,40.799744,142.30588,-0.07264467,8.1695935e-06,165.83218
SL_7.9500_79.7500,79.75,7.949999999999989,1986-04-01,1986,4,152.77042,149.8,-4.5769517e-05,2.5273852e-07,165.80013
SL_7.9500_79.7500,79.75,7.949999999999989,1986-10-01,1986,10,238.79184,130.73158,-0.006704564,7.803633e-07,165.80392
SL_8.7500_81.1500,81.15000000000003,8.75,1986-11-01,1986,11,190.11667,126.117645,-2.7033298e-05,8.802334e-09,165.79988
SL_8.7500_81.1500,81.15000000000003,8.75,1987-02-01,1987,2,7.773847,130.6353,-0.0074703544,2.425054e-06,165.8077
SL_7.9500_79.7500,79.75,7.949999999999989,1987-03-01,1987,3,41.516117,168.36316,-7.769706e-06,4.8742848e-08,165.79987
SL_8.7500_81.1500,81.15000000000003,8.75,1987-04-01,1987,4,63.175167,163.88235,-2.6524704e-05,3.8104677e-08,165.79991
SL_7.9500_79.7500,79.75,7.949999999999989,1987-05-01,1987,5,112.55528,147.82106,-6.8414665e-05,1.0664157e-06,165.80157
SL_8.7500_81.1500,81.15000000000003,8.75,1987-10-01,1987,10,261.82986,124.20588,-6.4772153e-06,3.0444397e-11,165.79988
SL_7.9500_79.7500,79.75,7.949999999999989,1987-11-01,1987,11,164.6471,119.142105,-2.3794079e-05,3.8914806e-07,165.80069
SL_8.7500_81.1500,81.15000000000003,8.75,1987-11-01,1987,11,197.5449,118.62353,-0.0074576647,6.381184e-07,165.80466
SL_7.9500_79.7500,79.75,7.949999999999989,1987-12-01,1987,12,131.25194,115.58947,-5.33895e-05,7.871891e-07,165.80258
SL_8.7500_81.1500,81.15000000000003,8.75,1987-12-01,1987,12,253.24504,102.411766,-0.0010727344,5.3184334e-07,165.80983
SL_7.9500_79.7500,79.75,7.949999999999989,1988-02-01,1988,2,36.6219,137.70526,-7.23065e-05,1.0208734e-05,165.81128
SL_8.7500_81.1500,81.15000000000003,8.75,1988-02-01,1988,2,10.82292,130.64117,-0.10046997,1.7981874e-05,165.88687
SL_7.9500_79.7500,79.75,7.949999999999989,1988-03-01,1988,3,90.25724,154.23685,-5.6014123e-05,1.8062426e-06,165.80254
SL_7.9500_79.7500,79.75,7.949999999999989,1988-04-01,1988,4,183.41187,137.8158,-1.5660829e-06,2.9362448e-08,165.7999
SL_8.7500_81.1500,81.15000000000003,8.75,1988-10-01,1988,10,55.769447,152.72942,-4.932605e-06,1.22441115e-08,165.7999
SL_7.9500_79.7500,79.75,7.949999999999989,1988-11-01,1988,11,247.67258,116.310524,-0.0025610898,4.2645416e-07,165.80077
SL_8.7500_81.1500,81.15000000000003,8.75,1988-11-01,1988,11,309.4923,115.5,-0.00015074832,3.3482593e-08,165.79991
SL_8.7500_81.1500,81.15000000000003,8.75,1989-01-01,1989,1,147.36032,122.17647,-9.587416e-06,2.258818e-08,165.79988
SL_8.7500_81.1500,81.15000000000003,8.75,1989-02-01,1989,2,10.635004,133.74118,-0.07191455,1.2419738e-05,165.87027
SL_7.9500_79.7500,79.75,7.949999999999989,1989-03-01,1989,3,55.57909,163.36842,-0.004142634,1.7416943e-06,165.80312
SL_8.7500_81.1500,81.15000000000003,8.75,1989-03-01,1989,3,20.947323,155.22353,-0.053161204,1.3709548e-05,165.91321
SL_7.9500_79.7500,79.75,7.949999999999989,1989-10-01,1989,10,296.51407,131.67369,-0.008383998,5.614474e-07,165.80269
SL_8.7500_81.1500,81.15000000000003,8.75,1989-10-01,1989,10,128.39037,142.42352,-1.1613766e-05,1.1865509e-10,165.79988
SL_8.7500_81.1500,81.15000000000003,8.75,1990-01-01,1990,1,181.44827,127.71176,-0.05998399,6.3241405e-06,165.82137
SL_7.9500_79.7500,79.75,7.949999999999989,1990-02-01,1990,2,33.922943,135.5,-0.019230237,3.732569e-06,165.80458
SL_8.7500_81.1500,81.15000000000003,8.75,1990-10-01,1990,10,213.07149,132.28824,-0.0018082942,1.4524943e-07,165.80023
SL_7.9500_79.7500,79.75,7.949999999999989,1990-12-01,1990,12,162.12422,118.79474,-4.5708668e-05,3.749001e-07,165.80063
SL_8.7500_81.1500,81.15000000000003,8.75,1990-12-01,1990,12,280.8307,107.78236,-0.041438207,5.6556764e-06,165.81982
SL_7.9500_79.7500,79.75,7.949999999999989,1991-01-01,1991,1,67.09199,132.01053,-3.4101013e-05,5.1013456e-07,165.80199
SL_8.7500_81.1500,81.15000000000003,8.75,1991-02-01,1991,2,11.138693,131.64706,-0.13664782,2.1431297e-05,165.89465
SL_7.9500_79.7500,79.75,7.949999999999989,1991-03-01,1991,3,126.78251,158.05789,-0.008939298,3.0713945e-06,165.80737
SL_8.7500_81.1500,81.15000000000003,8.75,1991-03-01,1991,3,55.706505,153.44118,-0.0025057392,1.3855779e-05,165.95274
SL_7.9500_79.7500,79.75,7.949999999999989,1991-10-01,1991,10,272.18875,122.310524,-2.9242823e-05,1.6602344e-08,165.79994
SL_8.7500_81.1500,81.15000000000003,8.75,1991-12-01,1991,12,96.76269,109.50588,-2.636171e-05,6.340553e-08,165.80002
SL_7.9500_79.7500,79.75,7.949999999999989,1992-02-01,1992,2,9.32062,144.22105,-0.01910304,4.1824046e-06,165.81088
SL_8.7500_81.1500,81.15000000000003,8.75,1992-02-01,1992,2,4.674762,139.1,-0.06168803,7.075725e-06,165.8499
SL_7.9500_79.7500,79.75,7.949999999999989,1992-03-01,1992,3,9.667285,176.53683,-0.003946301,5.471574e-06,165.82394
SL_8.7500_81.1500,81.15000000000003,8.75,1992-03-01,1992,3,1.0164135,166.73529,-0.1807396,4.99013e-05,166.05421
SL_7.9500_79.7500,79.75,7.949999999999989,1992-10-01,1992,10,181.68202,134.37369,-0.01422094,1.8327838e-06,165.80193
SL_8.7500_81.1500,81.15000000000003,8.75,1992-10-01,1992,10,125.54571,139.57059,-0.016168503,1.689533e-06,165.82405
SL_7.9500_79.7500,79.75,7.949999999999989,1993-01-01,1993,1,78.6863,140.46841,-1.4909392e-05,1.8079288e-06,165.8019
SL_7.9500_79.7500,79.75,7.949999999999989,1993-02-01,1993,2,14.66356,140.17894,-0.0059481887,3.6904482e-06,165.80557
SL_7.9500_79.7500,79.75,7.949999999999989,1993-03-01,1993,3,44.74434,167.57368,-0.023303917,6.873453e-06,165.8192
SL_8.7500_81.1500,81.15000000000003,8.75,1993-03-01,1993,3,11.563421,158.20589,-0.0954783,1.4135021e-05,165.85286
SL_7.9500_79.7500,79.75,7.949999999999989,1993-10-01,1993,10,305.6423,123.82105,-0.009019015,8.919623e-07,165.80232
SL_7.9500_79.7500,79.75,7.949999999999989,1994-01-01,1994,1,68.16517,134.23685,-0.009900784,4.2505997e-07,165.79988
SL_8.7500_81.1500,81.15000000000003,8.75,1994-01-01,1994,1,90.55052,122.58235,-0.023714786,3.5798865e-07,165.7999
SL_8.7500_81.1500,81.15000000000003,8.75,1994-02-01,1994,2,87.25739,118.25883,-0.019863289,5.9768504e-06,165.8303
SL_7.9500_79.7500,79.75,7.949999999999989,1994-03-01,1994,3,50.674904,167.27368,-0.016923996,1.3635569e-05,165.81908
SL_8.7500_81.1500,81.15000000000003,8.75,1994-03-01,1994,3,16.81696,155.48824,-0.15482645,3.456325e-05,165.97057
SL_7.9500_79.7500,79.75,7.949999999999989,1994-10-01,1994,10,325.01556,116.947365,-0.020997984,3.2015703e-06,165.80988
SL_8.7500_81.1500,81.15000000000003,8.75,1994-10-01,1994,10,160.53598,124.10588,-0.0073625944,1.317982e-06,165.81796
SL_7.9500_79.7500,79.75,7.949999999999989,1995-02-01,1995,2,50.896652,135.52106,-4.3663663e-06,1.0366707e-09,165.79987
SL_8.7500_81.1500,81.15000000000003,8.75,1995-02-01,1995,2,36.44092,127.85294,-0.040583234,6.188752e-06,165.80199
SL_8.7500_81.1500,81.15000000000003,8.75,1995-03-01,1995,3,8.795831,157.4,-0.03203392,9.792205e-06,165.85583
SL_8.7500_81.1500,81.15000000000003,8.75,1995-10-01,1995,10,164.37646,143.47058,-5.4677294e-05,1.1279025e-07,165.80016
SL_7.9500_79.7500,79.75,7.949999999999989,1995-11-01,1995,11,238.07822,120.505264,-3.6450103e-05,1.7963755e-08,165.79987
SL_8.7500_81.1500,81.15000000000003,8.75,1996-02-01,1996,2,43.721992,130.14706,-2.5848187e-05,3.3847924e-09,165.79987
SL_7.9500_79.7500,79.75,7.949999999999989,1996-03-01,1996,3,33.725002,175.66843,-0.00010905307,6.9126577e-07,165.80074
SL_8.7500_81.1500,81.15000000000003,8.75,1996-03-01,1996,3,22.61088,163.14706,-0.10263447,1.5829139e-05,165.85791
SL_7.9500_79.7500,79.75,7.949999999999989,1996-10-01,1996,10,221.3904,137.56842,-0.00014393886,4.5565426e-07,165.80334
SL_8.7500_81.1500,81.15000000000003,8.75,1996-11-01,1996,11,404.8179,119.15882,-2.30029e-05,1.1970816e-07,165.80011
SL_7.9500_79.7500,79.75,7.949999999999989,1996-12-01,1996,12,167.75764,121.35263,-0.023234596,5.6782155e-06,165.82246
SL_8.7500_81.1500,81.15000000000003,8.75,1996-12-01,1996,12,169.41403,112.61176,-0.0075258617,1.0232019e-06,165.80797
SL_8.7500_81.1500,81.15000000000003,8.75,1997-02-01,1997,2,26.130018,132.02353,-0.04436988,6.884671e-06,165.8446
SL_7.9500_79.7500,79.75,7.949999999999989,1997-03-01,1997,3,31.819338,171.26842,-2.9571456e-05,1.3458521e-06,165.8013
SL_8.7500_81.1500,81.15000000000003,8.75,1997-03-01,1997,3,12.62273,160.06471,-0.0446621,1.1670565e-05,165.88622
SL_7.9500_79.7500,79.75,7.949999999999989,1997-04-01,1997,4,115.42091,148.92105,-4.031417e-05,9.5011494e-08,165.79997
SL_7.9500_79.7500,79.75,7.949999999999989,1997-10-01,1997,10,498.53732,126.0,-0.0048807357,7.590179e-08,165.79988
SL_8.7500_81.1500,81.15000000000003,8.75,1997-10-01,1997,10,206.00404,133.02353,-3.1802458e-05,3.1561473e-08,165.79988
SL_8.7500_81.1500,81.15000000000003,8.75,1997-11-01,1997,11,555.88934,111.36471,-1.195192e-05,4.9192682e-08,165.79994
SL_7.9500_79.7500,79.75,7.949999999999989,1997-12-01,1997,12,156.18391,116.926315,-1.2453373e-05,4.2275556e-08,165.79993
SL_8.7500_81.1500,81.15000000000003,8.75,1998-01-01,1998,1,101.98399,131.15883,-0.010886601,1.5471624e-06,165.80907
SL_7.9500_79.7500,79.75,7.949999999999989,1998-02-01,1998,2,10.913712,142.62105,-0.0074002487,1.2621232e-06,165.80106
SL_8.7500_81.1500,81.15000000000003,8.75,1998-03-01,1998,3,8.639417,169.90588,-0.02312702,5.0985345e-06,165.80919
SL_7.9500_79.7500,79.75,7.949999999999989,1998-11-01,1998,11,220.69833,120.663155,-0.046350356,1.1467433e-05,165.81471
SL_8.7500_81.1500,81.15000000000003,8.75,1998-11-01,1998,11,180.63017,117.55882,-0.0043062815,3.6012446e-07,165.8014
SL_7.9500_79.7500,79.75,7.949999999999989,1999-01-01,1999,1,123.86175,133.28421,-0.007934887,1.7294791e-06,165.80238
SL_8.7500_81.1500,81.15000000000003,8.75,1999-01-01,1999,1,265.45685,116.95294,-0.005409502,1.09333634e-07,165.80005
SL_7.9500_79.7500,79.75,7.949999999999989,1999-03-01,1999,3,52.71242,166.25789,-0.017449792,3.7805446e-06,165.81184
SL_8.7500_81.1500,81.15000000000003,8.75,1999-03-01,1999,3,3.2018247,157.54706,-0.23091789,3.771067e-05,165.9279
SL_8.7500_81.1500,81.15000000000003,8.75,1999-12-01,1999,12,232.44708,114.141174,-2.698897e-06,1.1529528e-07,165.80038
SL_8.7500_81.1500,81.15000000000003,8.75,2000-01-01,2000,1,224.6791,116.10588,-0.02452458,2.5385193e-06,165.80724
SL_7.9500_79.7500,79.75,7.949999999999989,2000-02-01,2000,2,142.71997,114.563156,-0.0065331515,1.0789253e-06,165.80328
SL_8.7500_81.1500,81.15000000000003,8.75,2000-03-01,2000,3,23.337267,149.58824,-0.08001951,9.344345e-06,165.83533
SL_7.9500_79.7500,79.75,7.949999999999989,2000-04-01,2000,4,124.89673,163.8,-4.437105e-06,1.6237012e-10,165.79988
SL_7.9500_79.7500,79.75,7.949999999999989,2000-09-01,2000,9,217.88823,135.35263,-4.6647006e-07,2.3731017e-10,165.79988
SL_7.9500_79.7500,79.75,7.949999999999989,2000-10-01,2000,10,156.25201,144.43684,-2.1344316e-05,1.4016288e-07,165.8
SL_8.7500_81.1500,81.15000000000003,8.75,2000-10-01,2000,10,94.40862,155.31764,-0.00837407,6.886942e-07,165.80095
SL_7.9500_79.7500,79.75,7.949999999999989,2000-12-01,2000,12,214.08531,123.72632,-0.002792534,5.9522387e-07,165.80106
SL_8.7500_81.1500,81.15000000000003,8.75,2000-12-01,2000,12,366.82257,110.805885,-0.002912818,1.9082235e-07,165.80003
SL_7.9500_79.7500,79.75,7.949999999999989,2001-02-01,2001,2,59.522293,132.62105,-0.05737483,2.6120642e-05,165.82709
SL_8.7500_81.1500,81.15000000000003,8.75,2001-02-01,2001,2,31.744034,127.305885,-0.32669234,5.6197056e-05,165.93777
SL_7.9500_79.7500,79.75,7.949999999999989,2001-10-01,2001,10,170.34558,127.378944,-0.003807801,2.2775531e-07,165.80032
SL_8.7500_81.1500,81.15000000000003,8.75,2002-01-01,2002,1,100.216644,122.10588,-0.096169405,1.07946125e-05,165.81483
SL_8.7500_81.1500,81.15000000000003,8.75,2002-03-01,2002,3,25.427553,153.1647,-0.037153233,8.532987e-06,165.86594
SL_7.9500_79.7500,79.75,7.949999999999989,2002-10-01,2002,10,351.54074,127.221054,-2.265789e-05,2.2816124e-08,165.79988
SL_7.9500_79.7500,79.75,7.949999999999989,2002-11-01,2002,11,319.04068,108.84737,-0.016385851,1.5136579e-06,165.80367
SL_8.7500_81.1500,81.15000000000003,8.75,2002-11-01,2002,11,328.0936,112.723526,-0.08930428,7.5607977e-06,165.8156
SL_8.7500_81.1500,81.15000000000003,8.75,2003-02-01,2003,2,50.91799,126.3353,-0.00818421,2.877668e-06,165.83638
SL_7.9500_79.7500,79.75,7.949999999999989,2003-03-01,2003,3,124.76085,152.34737,-0.004093075,4.6007338e-07,165.80028
SL_8.7500_81.1500,81.15000000000003,8.75,2003-03-01,2003,3,45.725964,148.9647,-0.0033455666,2.9287871e-06,165.84457
SL_7.9500_79.7500,79.75,7.949999999999989,2004-01-01,2004,1,26.56518,142.65263,-5.704728e-05,7.486511e-08,165.79987
SL_8.7500_81.1500,81.15000000000003,8.75,2004-01-01,2004,1,19.705107,125.85294,-0.0029226237,1.2308093e-06,165.80365
SL_8.7500_81.1500,81.15000000000003,8.75,2004-02-01,2004,2,20.707996,124.641174,-0.059464745,5.9091776e-06,165.80214
SL_7.9500_79.7500,79.75,7.949999999999989,2004-03-01,2004,3,54.845837,163.32106,-0.0013390094,1.0031196e-06,165.80237
SL_8.7500_81.1500,81.15000000000003,8.75,2004-03-01,2004,3,30.51978,146.71176,-0.0141016,5.9548515e-06,165.8666
SL_7.9500_79.7500,79.75,7.949999999999989,2004-11-01,2004,11,287.30942,111.8421,-3.412829e-05,3.0889353e-08,165.79996
SL_7.9500_79.7500,79.75,7.949999999999989,2005-02-01,2005,2,29.76007,144.41579,-0.02638775,8.429894e-06,165.8133
SL_8.7500_81.1500,81.15000000000003,8.75,2005-02-01,2005,2,11.022938,139.94118,-0.07565433,9.594781e-06,165.832
SL_7.9500_79.7500,79.75,7.949999999999989,2005-04-01,2005,4,235.55933,144.67894,-3.7576926e-06,1.03042574e-10,165.79988
SL_8.7500_81.1500,81.15000000000003,8.75,2005-10-01,2005,10,226.64326,135.12941,-4.1699764e-06,1.4012814e-08,165.79988
SL_7.9500_79.7500,79.75,7.949999999999989,2005-11-01,2005,11,601.85583,106.04737,-0.00010637323,6.2607575e-07,165.80292
SL_8.7500_81.1500,81.15000000000003,8.75,2005-11-01,2005,11,789.20636,107.588234,-0.0058657657,4.938009e-07,165.80573
SL_7.9500_79.7500,79.75,7.949999999999989,2005-12-01,2005,12,119.68426,118.336845,-0.0016172573,1.046144e-06,165.80272
SL_8.7500_81.1500,81.15000000000003,8.75,2006-01-01,2006,1,173.3698,116.64706,-0.1252538,1.4802675e-05,165.83598
SL_7.9500_79.7500,79.75,7.949999999999989,2006-03-01,2006,3,159.03282,146.92632,-0.028211193,6.258457e-06,165.80775
SL_8.7500_81.1500,81.15000000000003,8.75,2006-03-01,2006,3,83.45423,145.11765,-0.0128112985,3.840786e-06,165.86278
SL_7.9500_79.7500,79.75,7.949999999999989,2006-10-01,2006,10,457.6498,119.48947,-5.8064496e-05,8.5792315e-08,165.80005
SL_8.7500_81.1500,81.15000000000003,8.75,2006-10-01,2006,10,323.18872,133.92352,-0.0012856973,3.1768337e-07,165.80116
SL_7.9500_79.7500,79.75,7.949999999999989,2006-11-01,2006,11,404.8544,102.163155,-8.989391e-06,8.277851e-09,165.7999
SL_7.9500_79.7500,79.75,7.949999999999989,2007-03-01,2007,3,51.685326,168.43684,-0.028368764,4.8069296e-06,165.80788
SL_8.7500_81.1500,81.15000000000003,8.75,2007-03-01,2007,3,16.57327,154.40588,-0.09038772,1.178552e-05,165.82672
SL_7.9500_79.7500,79.75,7.949999999999989,2007-11-01,2007,11,170.80867,124.1,-0.00012351829,8.8496864e-07,165.80775
SL_8.7500_81.1500,81.15000000000003,8.75,2007-11-01,2007,11,135.24396,120.94706,-0.013471527,1.161503e-06,165.81082
SL_8.7500_81.1500,81.15000000000003,8.75,2007-12-01,2007,12,437.99744,111.00588,-0.007272303,1.8820382e-06,165.80765
SL_7.9500_79.7500,79.75,7.949999999999989,2008-01-01,2008,1,36.204,134.82106,-0.04181326,4.1645376e-06,165.80276
SL_8.7500_81.1500,81.15000000000003,8.75,2008-01-01,2008,1,28.32468,119.87647,-0.026519906,2.0034825e-06,165.81113
SL_7.9500_79.7500,79.75,7.949999999999989,2008-04-01,2008,4,291.9001,145.0,-3.565395e-05,9.835882e-11,165.79987
SL_8.7500_81.1500,81.15000000000003,8.75,2008-11-01,2008,11,382.5138,110.57647,-2.0728192e-05,7.194245e-09,165.79988
SL_7.9500_79.7500,79.75,7.949999999999989,2009-02-01,2009,2,18.324797,144.51053,-0.07292257,1.8263445e-05,165.82605
SL_8.7500_81.1500,81.15000000000003,8.75,2009-02-01,2009,2,3.6586046,136.05882,-0.29344836,3.9186434e-05,165.84293
SL_8.7500_81.1500,81.15000000000003,8.75,2009-03-01,2009,3,133.42175,148.56471,-0.044039108,4.357693e-05,166.18245
SL_7.9500_79.7500,79.75,7.949999999999989,2009-10-01,2009,10,182.49893,145.11052,-0.0020956865,9.074616e-07,165.80347
SL_7.9500_79.7500,79.75,7.949999999999989,2009-12-01,2009,12,225.60693,112.426315,-3.1880365e-05,3.0730416e-07,165.80066
SL_7.9500_79.7500,79.75,7.949999999999989,2010-01-01,2010,1,63.90386,143.62105,-1.6414178e-05,6.5728667e-10,165.79988
