component_count,component,component_index,month,month_name,normalized_profile,peak_month,second_peak_month,normalized_entropy,profile_maximum
3,K3_C1,1,1,Jan,0.31122197094193677,1,2,0.7678603331320762,0.31122197094193677
3,K3_C1,1,2,Feb,0.20205553893911676,1,2,0.7678603331320762,0.31122197094193677
3,K3_C1,1,3,Mar,0.13101193056135915,1,2,0.7678603331320762,0.31122197094193677
3,K3_C1,1,4,Apr,0.04875763436208416,1,2,0.7678603331320762,0.31122197094193677
3,K3_C1,1,5,May,0.020825672300972313,1,2,0.7678603331320762,0.31122197094193677
3,K3_C1,1,6,Jun,0.03484249879169278,1,2,0.7678603331320762,0.31122197094193677
3,K3_C1,1,7,Jul,0.015411231526711687,1,2,0.7678603331320762,0.31122197094193677
3,K3_C1,1,8,Aug,0.015963840385736207,1,2,0.7678603331320762,0.31122197094193677
3,K3_C1,1,9,Sep,0.0,1,2,0.7678603331320762,0.31122197094193677
3,K3_C1,1,10,Oct,0.011085637235089273,1,2,0.7678603331320762,0.31122197094193677
3,K3_C1,1,11,Nov,0.04081115403807102,1,2,0.7678603331320762,0.31122197094193677
3,K3_C1,1,12,Dec,0.16801289091722976,1,2,0.7678603331320762,0.31122197094193677
3,K3_C2,2,1,Jan,0.0,10,9,0.9400474624631943,0.13546251683018376
3,K3_C2,2,2,Feb,0.02735486545791237,10,9,0.9400474624631943,0.13546251683018376
3,K3_C2,2,3,Mar,0.07042534892497869,10,9,0.9400474624631943,0.13546251683018376
3,K3_C2,2,4,Apr,0.0984653097534488,10,9,0.9400474624631943,0.13546251683018376
3,K3_C2,2,5,May,0.11586192480010839,10,9,0.9400474624631943,0.13546251683018376
3,K3_C2,2,6,Jun,0.08471421476011282,10,9,0.9400474624631943,0.13546251683018376
3,K3_C2,2,7,Jul,0.08737153197259147,10,9,0.9400474624631943,0.13546251683018376
3,K3_C2,2,8,Aug,0.10656922735294797,10,9,0.9400474624631943,0.13546251683018376
3,K3_C2,2,9,Sep,0.11782941007261594,10,9,0.9400474624631943,0.13546251683018376
3,K3_C2,2,10,Oct,0.13546251683018376,10,9,0.9400474624631943,0.13546251683018376
3,K3_C2,2,11,Nov,0.1037608616979474,10,9,0.9400474624631943,0.13546251683018376
