component_count,component,rank,region_id,native_cell_count,longitude_mean,latitude_mean,loading
3,K3_C1,1,MYS_05_25,1,112.25,3.25,1538.0592455722158
3,K3_C1,2,MYS_04_25,1,112.25,2.75,1523.343805848309
3,K3_C1,3,MYS_04_24,1,111.75,2.75,1488.2203512520073
3,K3_C1,4,MYS_04_26,1,112.75,2.75,1473.3703712480133
3,K3_C1,5,MYS_03_25,1,112.25,2.25,1471.376710953299
3,K3_C1,6,MYS_03_26,1,112.75,2.25,1456.663743026864
3,K3_C1,7,MYS_05_26,1,112.75,3.25,1449.4821912669768
3,K3_C1,8,MYS_03_24,1,111.75,2.25,1413.984904169218
3,K3_C2,1,MYS_01_29,1,114.25,1.25,2748.709127790311
3,K3_C2,2,MYS_02_29,1,114.25,1.75,2711.638881333184
3,K3_C2,3,MYS_01_28,1,113.75,1.25,2698.792861975324
3,K3_C2,4,MYS_01_30,1,114.75,1.25,2663.7199331343413
3,K3_C2,5,MYS_02_28,1,113.75,1.75,2658.2041641207707
3,K3_C2,6,MYS_01_27,1,113.25,1.25,2627.416754861206
3,K3_C2,7,MYS_02_30,1,114.75,1.75,2623.0295721641596
3,K3_C2,8,MYS_03_29,1,114.25,2.25,2591.963671212969
3,K3_C3,1,MYS_08_08,1,103.75,4.75,1916.118218340743
3,K3_C3,2,MYS_09_07,1,103.25,5.25,1882.0717865639017
3,K3_C3,3,MYS_08_07,1,103.25,4.75,1868.557784034437
3,K3_C3,4,MYS_10_06,1,102.75,5.75,1839.529453667808
3,K3_C3,5,MYS_09_06,1,102.75,5.25,1839.0931585038657
3,K3_C3,6,MYS_08_06,1,102.75,4.75,1798.0762926232883
3,K3_C3,7,MYS_07_07,1,103.25,4.25,1648.8200678779779
3,K3_C3,8,MYS_07_06,1,102.75,4.25,1552.7623210252427
4,K4_C1,1,MYS_05_25,1,112.25,3.25,1485.5598803011128
4,K4_C1,2,MYS_04_25,1,112.25,2.75,1466.1888788320161
4,K4_C1,3,MYS_04_24,1,111.75,2.75,1434.868057215162
4,K4_C1,4,MYS_04_26,1,112.75,2.75,1411.7872982372148
4,K4_C1,5,MYS_03_25,1,112.25,2.25,1403.0345194075267
4,K4_C1,6,MYS_05_26,1,112.75,3.25,1394.083505088313
4,K4_C1,7,MYS_03_26,1,112.75,2.25,1385.2337814113705
4,K4_C1,8,MYS_04_23,1,111.25,2.75,1355.705554873041
4,K4_C2,1,MYS_01_30,1,114.75,1.25,1669.7224667093687
4,K4_C2,2,MYS_01_29,1,114.25,1.25,1632.859278670612
4,K4_C2,3,MYS_02_29,1,114.25,1.75,1582.8124135985295
4,K4_C2,4,MYS_02_30,1,114.75,1.75,1555.5210498666816
4,K4_C2,5,MYS_01_28,1,113.75,1.25,1477.2508464479704
4,K4_C2,6,MYS_02_28,1,113.75,1.75,1434.4713973838736
4,K4_C2,7,MYS_03_29,1,114.25,2.25,1411.427241083389
4,K4_C2,8,MYS_03_30,1,114.75,2.25,1398.276498206906
4,K4_C3,1,MYS_10_35,1,117.25,5.75,1772.782964484404
4,K4_C3,2,MYS_09_35,1,117.25,5.25,1764.4814861545292
4,K4_C3,3,MYS_10_31,1,115.25,5.75,1740.9652078343115
4,K4_C3,4,MYS_11_00,1,99.75,6.25,1682.7013165803673
4,K4_C3,5,MYS_10_36,1,117.75,5.75,1681.1198797022423
4,K4_C3,6,MYS_10_32,1,115.75,5.75,1668.0941861413885
4,K4_C3,7,MYS_08_29,1,114.25,4.75,1650.8407343487777
4,K4_C3,8,MYS_09_31,1,115.25,5.25,1639.108445205769
4,K4_C4,1,MYS_08_08,1,103.75,4.75,1916.0586537663928
4,K4_C4,2,MYS_09_07,1,103.25,5.25,1884.2272521935502
4,K4_C4,3,MYS_08_07,1,103.25,4.75,1865.438599429606
4,K4_C4,4,MYS_10_06,1,102.75,5.75,1838.9798983856108
4,K4_C4,5,MYS_09_06,1,102.75,5.25,1835.5747359069617
4,K4_C4,6,MYS_08_06,1,102.75,4.75,1789.8571608985683
4,K4_C4,7,MYS_07_07,1,103.25,4.25,1649.40199838782
4,K4_C4,8,MYS_07_06,1,102.75,4.25,1549.9010637810284
