component_count,run_index,random_seed,rss,relative_error,explained_variance,iterations,converged,mean_component_stability,minimum_component_stability
3,0,20290806,35717.06298517002,0.0534412734783941,0.9902944517222848,287,True,0.9992961452725666,0.9985097000969873
3,1,20290807,35717.06298368807,0.053441273477285424,0.9902944517226875,356,True,0.9963440894435566,0.9938668798927339
3,2,20290808,35717.06318401174,0.05344127362715151,0.9902944516682527,1492,True,0.9982562983755349,0.9952429337117638
3,3,20290809,35717.0629856805,0.05344127347877601,0.990294451722146,308,True,0.9998453523091874,0.9995862447228655
3,4,20290810,35717.06312611848,0.053441273583840425,0.9902944516839842,2211,True,0.9981108967349309,0.9948059614272475
3,5,20290811,35717.06298570056,0.05344127347879102,0.9902944517221406,280,True,0.9985354799395724,0.9966720700173483
3,6,20290812,35717.06298379012,0.053441273477361786,0.9902944517226597,289,True,0.9993466522069759,0.9986184450441807
3,7,20290813,35717.06298644313,0.05344127347934655,0.9902944517219389,273,True,0.9979082286319833,0.9951041660376547
3,8,20290814,35717.06312482884,0.05344127358287562,0.9902944516843347,1534,True,0.9986999100467425,0.9965729830363296
3,9,20290815,35717.06298783774,0.05344127348038988,0.9902944517215598,317,True,0.9972510077259983,0.9938666180390315
3,10,20290816,35717.062983887314,0.05344127347743449,0.9902944517226333,284,True,0.9987800015991007,0.9969809164507237
3,11,20290817,35717.062989041755,0.05344127348129062,0.9902944517212326,433,True,0.9961241867194838,0.9938665750671882
3,12,20290818,35717.06319522975,0.05344127363554393,0.9902944516652044,3055,True,0.9932748118023015,0.9802986090785365
3,13,20290819,35717.06298406154,0.05344127347756484,0.990294451722586,298,True,0.9998420280812041,0.9995856878138346
3,14,20290820,35717.06298508629,0.05344127347833147,0.9902944517223076,304,True,0.9999269092271819,0.9997845200614236
3,15,20290821,35717.06312207627,0.05344127358081636,0.9902944516850827,1898,True,0.9982238978594081,0.995144907256746
3,16,20290822,35717.06298615986,0.053441273479134625,0.9902944517220158,441,True,0.9961234326475462,0.9938667883925678
3,17,20290823,35717.06298830581,0.053441273480740056,0.9902944517214327,477,True,0.9960066456535838,0.9938663953952592
3,18,20290824,35717.06298278348,0.0534412734766087,0.9902944517229333,303,True,0.9998509367665881,0.9998002780700358
3,19,20290825,35717.062984488046,0.05344127347788391,0.9902944517224701,306,True,0.9999796815590916,0.9999394422947696
3,20,20290826,35717.0629848524,0.05344127347815649,0.9902944517223711,416,True,0.9961257136651174,0.9938668522497258
3,21,20290827,35717.063118785634,0.05344127357835457,0.9902944516859769,1493,True,0.9979363487376256,0.9942822108904927
3,22,20290828,35717.06298809862,0.05344127348058504,0.990294451721489,316,True,0.9969540949512311,0.993866628410596
3,23,20290829,35717.063149842645,0.053441273601588936,0.9902944516775376,2151,True,0.9982219282362673,0.9951393847603405
3,24,20290830,35717.06298278702,0.053441273476611345,0.9902944517229323,298,True,0.9995746247056535,0.9989784657697075
3,25,20290831,35717.062982682575,0.053441273476533206,0.9902944517229607,307,True,0.9999846879864206,0.9999554101549841
3,26,20290832,35717.0629831303,0.05344127347686815,0.990294451722839,284,True,0.9983330943536372,0.9963157756173391
3,27,20290833,35717.063217620656,0.053441273652295,0.99029445165912,1190,True,0.9983613343431785,0.9955584371918264
3,28,20290834,35717.06298563411,0.053441273478741294,0.9902944517221587,301,True,0.999997703832352,0.9999937760888191
3,29,20290835,35717.062984684744,0.053441273478031064,0.9902944517224166,301,True,0.9999673426757821,0.9999596396648849
3,30,20290836,35717.06318033959,0.053441273624404304,0.9902944516692506,1524,True,0.998211338283174,0.9951080079002813
3,31,20290837,35717.06298463197,0.05344127347799158,0.990294451722431,303,True,0.9999777901718074,0.9999643753440502
3,32,20290838,35717.062983347976,0.053441273477030996,0.9902944517227799,344,True,0.9966361417674031,0.9938669380808018
3,33,20290839,35717.06315234558,0.05344127360346144,0.9902944516768575,2964,True,0.9944541190052986,0.9838359915183222
3,34,20290840,35717.06322462369,0.05344127365753411,0.990294451657217,3014,True,0.9946370342435772,0.9843856151408528
3,35,20290841,35717.06317115909,0.05344127361753619,0.9902944516717451,3098,True,0.9933634713661809,0.9805642918311209
3,36,20290842,35717.06298837253,0.053441273480789954,0.9902944517214145,296,True,0.9999776492368658,0.999933012341464
3,37,20290843,35717.063127969566,0.053441273585225255,0.9902944516834813,3100,True,0.9944122356662254,0.9837100056952568
3,38,20290844,35717.0629874537,0.05344127348010257,0.9902944517216642,407,True,0.9961234509036658,0.9938666122791268
3,39,20290845,35717.063139597834,0.053441273593924594,0.9902944516803215,3090,True,0.9946407590255953,0.9843957395394826
3,40,20290846,35717.062986084915,0.05344127347907856,0.9902944517220361,328,True,0.9965586143647439,0.9938666773863056
3,41,20290847,35717.062985246856,0.05344127347845158,0.9902944517222639,339,True,0.9963331706357845,0.9938668063886653
3,42,20290848,35717.062986019795,0.053441273479029855,0.9902944517220539,317,True,0.9970435407873687,0.9938667643865096
3,43,20290849,35717.06298791866,0.053441273480450406,0.9902944517215378,408,True,0.9961216928431372,0.9938665845543757
3,44,20290850,35717.06316266031,0.053441273611178085,0.9902944516740546,2044,True,0.9981474950358981,0.9949162552368828
3,45,20290851,35717.06298619836,0.05344127347916343,0.9902944517220054,273,True,0.9976000880043226,0.9943028638627779
3,46,20290852,35717.06298607508,0.053441273479071204,0.9902944517220388,323,True,0.9967179543824095,0.993866741810293
3,47,20290853,35717.06298406604,0.05344127347756821,0.9902944517225848,297,True,0.9998576803740319,0.9996303511012801
3,48,20290854,35717.06298493731,0.05344127347822,0.990294451722348,298,True,0.9998585237091048,0.9998449432337302
3,49,20290855,35717.063207046944,0.053441273644384585,0.9902944516619933,3170,True,0.9887685976422999,0.9667801051575875
3,50,20290856,35717.062986496574,0.05344127347938653,0.9902944517219243,280,True,0.998808098229501,0.9969074560748288
3,51,20290857,35717.062987505495,0.05344127348014132,0.9902944517216501,308,True,0.9997883987662427,0.9993770696846773
3,52,20290858,35717.06317197492,0.05344127361814652,0.9902944516715235,1233,True,0.9981772784269859,0.9950057233721011
3,53,20290859,35717.062983404896,0.05344127347707358,0.9902944517227644,481,True,0.9960420653287413,0.9938668126817888
3,54,20290860,35717.06298482146,0.05344127347813336,0.9902944517223795,404,True,0.9961242634733999,0.9938668599892482
3,55,20290861,35717.062987512574,0.053441273480146614,0.9902944517216482,318,True,0.9971598014138836,0.9938666775501884
3,56,20290862,35717.06314571738,0.05344127359850274,0.9902944516786586,2994,True,0.9946055075643453,0.9842900687787298
3,57,20290863,35717.06298718047,0.05344127347989816,0.9902944517217385,454,True,0.996111901632374,0.9938665538590074
3,58,20290864,35717.06299019328,0.053441273482152114,0.9902944517209198,317,True,0.9966823384529356,0.9938665141286153
3,59,20290865,35717.06298581016,0.05344127347887302,0.9902944517221108,304,True,0.9999869217790703,0.9999627167081057
3,60,20290866,35717.06298330511,0.053441273476998945,0.9902944517227915,411,True,0.996122717364019,0.9938668948036222
3,61,20290867,35717.063134306896,0.05344127358996633,0.9902944516817592,2342,True,0.998218559665557,0.9951290676338128
3,62,20290868,35717.06315847466,0.05344127360804672,0.9902944516751919,2990,True,0.9954305735870698,0.9867654361817786
3,63,20290869,35717.0629874508,0.0534412734801004,0.990294451721665,286,True,0.9992431170931466,0.998002541536724
3,64,20290870,35717.06298545164,0.05344127347860479,0.9902944517222082,325,True,0.9966982634479326,0.9938668480420177
3,65,20290871,35717.06298373036,0.05344127347731706,0.9902944517226759,325,True,0.9973421705588629,0.9938669309353302
3,66,20290872,35717.06298558726,0.05344127347870626,0.9902944517221713,304,True,0.9999334627554765,0.9998015323714851
3,67,20290873,35717.06298843643,0.05344127348083777,0.9902944517213972,279,True,0.999079397266649,0.9980840092624181
