predictor,target,pearson_correlation
K4_C1_L0_mm,SM_0_10cm_mm,0.29803499261561595
K4_C1_L0_mm,SM_10_40cm_mm,0.29440769575108905
K4_C1_L0_mm,SM_40_100cm_mm,0.327282738595689
K4_C1_L0_mm,SM_100_200cm_mm,0.3147998031878474
K4_C1_L0_mm,SM_total_mm,0.35038148236936556
K4_C1_L1_mm,SM_0_10cm_mm,0.11337027315709025
K4_C1_L1_mm,SM_10_40cm_mm,0.12259455212125825
K4_C1_L1_mm,SM_40_100cm_mm,0.17745020855043214
K4_C1_L1_mm,SM_100_200cm_mm,0.24311041905567382
K4_C1_L1_mm,SM_total_mm,0.21891363275760317
K4_C1_L2_mm,SM_0_10cm_mm,-0.060501427869788967
K4_C1_L2_mm,SM_10_40cm_mm,-0.06359642500422523
K4_C1_L2_mm,SM_40_100cm_mm,-0.02561885640978934
K4_C1_L2_mm,SM_100_200cm_mm,0.08835507594422558
K4_C1_L2_mm,SM_total_mm,0.022617051150339705
K4_C1_L3_mm,SM_0_10cm_mm,-0.12621098476329987
K4_C1_L3_mm,SM_10_40cm_mm,-0.16364018552317114
K4_C1_L3_mm,SM_40_100cm_mm,-0.15403099869622874
K4_C1_L3_mm,SM_100_200cm_mm,-0.018735426749889934
K4_C1_L3_mm,SM_total_mm,-0.10100236496817233
K4_C2_L0_mm,SM_0_10cm_mm,0.2836338958924429
K4_C2_L0_mm,SM_10_40cm_mm,0.28540902309813343
K4_C2_L0_mm,SM_40_100cm_mm,0.2787044352498628
K4_C2_L0_mm,SM_100_200cm_mm,0.2613280075777313
K4_C2_L0_mm,SM_total_mm,0.3021953758856507
K4_C2_L1_mm,SM_0_10cm_mm,0.33111126503864785
K4_C2_L1_mm,SM_10_40cm_mm,0.3326995838407981
K4_C2_L1_mm,SM_40_100cm_mm,0.3257530451602651
K4_C2_L1_mm,SM_100_200cm_mm,0.3147695068886721
K4_C2_L1_mm,SM_total_mm,0.35788863736104565
K4_C2_L2_mm,SM_0_10cm_mm,0.3892758283843348
K4_C2_L2_mm,SM_10_40cm_mm,0.3827673480496423
K4_C2_L2_mm,SM_40_100cm_mm,0.38843984242494933
K4_C2_L2_mm,SM_100_200cm_mm,0.3796678002439299
K4_C2_L2_mm,SM_total_mm,0.42640954056642427
K4_C2_L3_mm,SM_0_10cm_mm,0.4398849143364376
K4_C2_L3_mm,SM_10_40cm_mm,0.4267425857902028
K4_C2_L3_mm,SM_40_100cm_mm,0.43243216166828546
K4_C2_L3_mm,SM_100_200cm_mm,0.421062144826399
K4_C2_L3_mm,SM_total_mm,0.4743240579720023
K4_C3_L0_mm,SM_0_10cm_mm,0.43983524476891483
K4_C3_L0_mm,SM_10_40cm_mm,0.3774865136089303
K4_C3_L0_mm,SM_40_100cm_mm,0.301575494681297
K4_C3_L0_mm,SM_100_200cm_mm,0.22219247637610903
K4_C3_L0_mm,SM_total_mm,0.314003343068238
K4_C3_L1_mm,SM_0_10cm_mm,0.5127572439455704
K4_C3_L1_mm,SM_10_40cm_mm,0.4942590513309632
K4_C3_L1_mm,SM_40_100cm_mm,0.4691298384383857
K4_C3_L1_mm,SM_100_200cm_mm,0.3676368828944748
K4_C3_L1_mm,SM_total_mm,0.4753124407307119
K4_C3_L2_mm,SM_0_10cm_mm,0.34862116947953753
K4_C3_L2_mm,SM_10_40cm_mm,0.38998156150011487
K4_C3_L2_mm,SM_40_100cm_mm,0.4289206642141101
K4_C3_L2_mm,SM_100_200cm_mm,0.3788396270175323
K4_C3_L2_mm,SM_total_mm,0.4400764820917559
K4_C3_L3_mm,SM_0_10cm_mm,0.11034203303488534
K4_C3_L3_mm,SM_10_40cm_mm,0.17564942214041313
K4_C3_L3_mm,SM_40_100cm_mm,0.2462948833093638
K4_C3_L3_mm,SM_100_200cm_mm,0.23813925353953114
K4_C3_L3_mm,SM_total_mm,0.25059733785531035
K4_C4_L0_mm,SM_0_10cm_mm,0.45463056283624426
K4_C4_L0_mm,SM_10_40cm_mm,0.39066498575260156
K4_C4_L0_mm,SM_40_100cm_mm,0.27441822328741605
K4_C4_L0_mm,SM_100_200cm_mm,0.08853642714704153
K4_C4_L0_mm,SM_total_mm,0.23736730736419373
K4_C4_L1_mm,SM_0_10cm_mm,0.49376154282118034
K4_C4_L1_mm,SM_10_40cm_mm,0.5094277384462258
K4_C4_L1_mm,SM_40_100cm_mm,0.49566589380645837
K4_C4_L1_mm,SM_100_200cm_mm,0.3406836251003992
K4_C4_L1_mm,SM_total_mm,0.4726771712963019
K4_C4_L2_mm,SM_0_10cm_mm,0.2748517554601031
K4_C4_L2_mm,SM_10_40cm_mm,0.35458084392591116
K4_C4_L2_mm,SM_40_100cm_mm,0.4239007876121731
K4_C4_L2_mm,SM_100_200cm_mm,0.34212192472762554
K4_C4_L2_mm,SM_total_mm,0.4092978655000925
K4_C4_L3_mm,SM_0_10cm_mm,-0.02551540743307976
K4_C4_L3_mm,SM_10_40cm_mm,0.06030055071983529
K4_C4_L3_mm,SM_40_100cm_mm,0.16442094600509918
K4_C4_L3_mm,SM_100_200cm_mm,0.16401917368838398
K4_C4_L3_mm,SM_total_mm,0.15516966992695824
PET_mm,SM_0_10cm_mm,-0.8238273499221905
PET_mm,SM_10_40cm_mm,-0.8301976851168392
PET_mm,SM_40_100cm_mm,-0.7917013305655711
PET_mm,SM_100_200cm_mm,-0.5607909898875195
PET_mm,SM_total_mm,-0.7682509411446107
latitude,SM_0_10cm_mm,-0.4620575843432821
latitude,SM_10_40cm_mm,-0.43830107153297165
latitude,SM_40_100cm_mm,-0.4329218884077252
latitude,SM_100_200cm_mm,-0.43002346504928407
latitude,SM_total_mm,-0.48226745357562034
