region_id,native_cell_count,longitude_mean,latitude_mean,longitude_min_native,longitude_max_native,latitude_min_native,latitude_max_native,region_lon_index,region_lat_index,region_lon_min,region_lon_max,region_lat_min,region_lat_max,region_center_lon,region_center_lat,corrected_aet_records,small_region_lt_4_cells,very_small_region_lt_2_cells
MYS_13_34,1,116.75,7.25,116.75,116.75,7.25,7.25,34,13,116.5,117.0,7.0,7.5,116.75,7.25,0,True,True
MYS_13_35,1,117.25,7.25,117.25,117.25,7.25,7.25,35,13,117.0,117.5,7.0,7.5,117.25,7.25,0,True,True
MYS_12_01,1,100.25,6.75,100.25,100.25,6.75,6.75,1,12,100.0,100.5,6.5,7.0,100.25,6.75,0,True,True
MYS_12_02,1,100.75,6.75,100.75,100.75,6.75,6.75,2,12,100.5,101.0,6.5,7.0,100.75,6.75,0,True,True
MYS_12_33,1,116.25,6.75,116.25,116.25,6.75,6.75,33,12,116.0,116.5,6.5,7.0,116.25,6.75,0,True,True
MYS_12_34,1,116.75,6.75,116.75,116.75,6.75,6.75,34,12,116.5,117.0,6.5,7.0,116.75,6.75,0,True,True
MYS_12_35,1,117.25,6.75,117.25,117.25,6.75,6.75,35,12,117.0,117.5,6.5,7.0,117.25,6.75,0,True,True
MYS_12_36,1,117.75,6.75,117.75,117.75,6.75,6.75,36,12,117.5,118.0,6.5,7.0,117.75,6.75,0,True,True
MYS_11_00,1,99.75,6.25,99.75,99.75,6.25,6.25,0,11,99.5,100.0,6.0,6.5,99.75,6.25,0,True,True
MYS_11_01,1,100.25,6.25,100.25,100.25,6.25,6.25,1,11,100.0,100.5,6.0,6.5,100.25,6.25,0,True,True
MYS_11_02,1,100.75,6.25,100.75,100.75,6.25,6.25,2,11,100.5,101.0,6.0,6.5,100.75,6.25,0,True,True
MYS_11_03,1,101.25,6.25,101.25,101.25,6.25,6.25,3,11,101.0,101.5,6.0,6.5,101.25,6.25,0,True,True
MYS_11_04,1,101.75,6.25,101.75,101.75,6.25,6.25,4,11,101.5,102.0,6.0,6.5,101.75,6.25,0,True,True
MYS_11_05,1,102.25,6.25,102.25,102.25,6.25,6.25,5,11,102.0,102.5,6.0,6.5,102.25,6.25,0,True,True
MYS_11_32,1,115.75,6.25,115.75,115.75,6.25,6.25,32,11,115.5,116.0,6.0,6.5,115.75,6.25,0,True,True
MYS_11_33,1,116.25,6.25,116.25,116.25,6.25,6.25,33,11,116.0,116.5,6.0,6.5,116.25,6.25,0,True,True
