rank,region_id,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,region_lon_min,region_lon_max,region_lat_min,region_lat_max,small_region_lt_4_cells,very_small_region_lt_2_cells,precipitation_peak_month,soil_moisture_peak_month,runoff_peak_month,aet_peak_month,pet_peak_month,peak_month_forward_lag,peak_month_shortest_signed_lag,best_precipitation_lag_0_to_6,best_lag_correlation,corr_precipitation_soil_moisture,corr_precipitation_runoff,corr_soil_moisture_runoff,corr_precipitation_aet,corr_pet_aet,precipitation_mean_mm,precipitation_amplitude_mm,precipitation_seasonality_ratio,soil_moisture_mean_mm,soil_moisture_amplitude_mm,soil_moisture_seasonality_ratio,runoff_mean_mm,runoff_amplitude_mm,runoff_control_class,corr_precipitation_lag_0_soil_moisture,corr_precipitation_lag_1_soil_moisture,corr_precipitation_lag_2_soil_moisture,corr_precipitation_lag_3_soil_moisture,corr_precipitation_lag_4_soil_moisture,corr_precipitation_lag_5_soil_moisture,corr_precipitation_lag_6_soil_moisture,asynchrony_rank
1,MYS_07_34,1,116.75,4.25,34,7,116.5,117.0,4.0,4.5,True,True,5,11,12,3,8,6,-6,2,0.5359330839876109,0.2857908766261789,0.6831870541751378,0.5587407722967388,0.14740652826191583,0.5030096840508911,257.9442136508498,124.94192331567666,0.4843757553127226,875.9488391246564,43.60919753940129,0.04978509656223799,172.5938222462947,133.0551112474504,mixed,0.2857908766261789,0.5129677378623396,0.5359330839876109,0.2890036848422519,-0.0524709503803541,-0.23389642274301475,-0.20043633561175478,6
2,MYS_07_35,1,117.25,4.25,35,7,117.0,117.5,4.0,4.5,True,True,10,10,12,3,8,0,0,2,0.508686413559687,0.3033508037706845,0.7159243636512539,0.6668687225696425,-0.016446676583889142,0.4287019152489782,261.7234590001984,105.86479107792047,0.40449102836379763,870.7582541230389,55.688902588790825,0.06395449290902953,135.7105635237498,103.34932244627525,mixed,0.3033508037706845,0.4707679865072145,0.508686413559687,0.2618298693436637,-0.1034864020036639,-0.3829348419854577,-0.44965659724017876,10
3,MYS_11_00,1,99.75,6.25,0,11,99.5,100.0,6.0,6.5,True,True,10,10,10,12,3,0,0,1,0.9318523706401373,0.6896629600759568,0.8616811830433466,0.848617417450054,0.4656300580108737,-0.7369792419636182,205.17300145555944,317.9085486405815,1.5494657990341902,787.1923656453765,285.4647583007812,0.36263659400043097,76.84875839164454,224.54048814316852,mixed,0.6896629600759568,0.9318523706401373,0.8450548159503259,0.4390278529652934,-0.09509917286888768,-0.5225992018312425,-0.7157409597877078,11
4,MYS_12_01,1,100.25,6.75,1,12,100.0,100.5,6.5,7.0,True,True,10,10,10,12,3,0,0,1,0.9207486846813459,0.6709999654784976,0.8357133985539165,0.8622771026700485,0.19920334914735505,-0.5691382771793796,201.39578273180462,290.89446658597274,1.4443920455541615,791.9375584222133,260.1567933176078,0.3285066992351282,68.54493355106761,185.03646816494646,mixed,0.6709999654784976,0.9207486846813459,0.7882482965519794,0.3310959171634298,-0.19038152817360007,-0.5230925442554827,-0.6126965694236535,11
5,MYS_09_31,1,115.25,5.25,31,9,115.0,115.5,5.0,5.5,True,True,10,11,11,3,3,1,1,1,0.9111376093368256,0.6580603621881508,0.8569282781545163,0.82931367906451,-0.0170701423934041,0.9422639419538958,267.5177351664899,216.85679913490048,0.8106258786915173,846.186449593577,89.05840814309045,0.10524679068763765,107.56991759546725,108.86098150408168,mixed,0.6580603621881508,0.9111376093368256,0.6802711052032273,0.12231316602822902,-0.3497777624090088,-0.5158588558644535,-0.4166804304582091,11
6,MYS_11_01,1,100.25,6.25,1,11,100.0,100.5,6.0,6.5,True,True,10,10,10,12,3,0,0,1,0.9072679649708825,0.676207598605209,0.861037178102916,0.8422302572039646,0.1690750887594503,-0.5646056325616523,206.03120151397047,295.2357241475334,1.4329660846418653,755.6480508512813,240.06380371093746,0.3176926129042372,63.630724725719766,177.87403003055752,mixed,0.676207598605209,0.9072679649708825,0.7487620181081319,0.2673204823955903,-0.2552363279316723,-0.5668887987766053,-0.6147775990637695,11
7,MYS_09_32,1,115.75,5.25,32,9,115.5,116.0,5.0,5.5,True,True,10,11,10,3,3,1,1,1,0.8938515803101298,0.6000247438290014,0.8224819709631135,0.7275630604951794,0.03239929151061703,0.891892521904448,259.8649093392967,194.7624809539438,0.7494758774823619,836.8867993942805,86.36686380677304,0.10320017458667456,82.69335427143815,71.03463027342565,mixed,0.6000247438290014,0.8938515803101298,0.7100235327048816,0.1975557682705079,-0.2805715727996033,-0.45408205090832526,-0.36882229839111436,11
8,MYS_02_28,1,113.75,1.75,28,2,113.5,114.0,1.5,2.0,True,True,12,11,12,3,8,11,-1,1,0.8891685828809603,0.8542880325070648,0.9416067735882981,0.9486371952951093,-0.03410418862386192,0.6291369479584134,341.87329343072537,177.75373346641587,0.5199403898521677,888.0960411467375,32.38726145264968,0.03646819707790864,217.02208384436486,150.3308177947998,mixed,0.8542880325070648,0.8891685828809603,0.5559859798953959,0.09498929617620293,-0.282294936998056,-0.4613316720882073,-0.5257500690120747,1
9,MYS_12_02,1,100.75,6.75,2,12,100.5,101.0,6.5,7.0,True,True,10,11,11,1,3,1,1,1,0.8830242258199491,0.5957572154754405,0.6749852378153984,0.8659599306460483,-0.29975480850351294,-0.3156116780454898,203.26355584668525,274.4530859770598,1.3502326318844406,776.0740730568215,242.5412526825329,0.31252332876835437,71.07322037122653,217.02446613401912,storage-dominant,0.5957572154754405,0.8830242258199491,0.7757648466006599,0.358751416269817,-0.12246545663734648,-0.4250200269320219,-0.5180907282363346,11
10,MYS_02_29,1,114.25,1.75,29,2,114.0,114.5,1.5,2.0,True,True,3,11,3,3,8,8,-4,1,0.8810894603859591,0.8626341715559672,0.9249086530805712,0.9624682569532814,0.34623379302174984,0.528441603401803,326.85101170797196,147.1625871979244,0.45024363372449394,886.8242074466549,33.56910923549117,0.03785317197434583,198.97480545008625,139.45673269403042,mixed,0.8626341715559672,0.8810894603859591,0.3952208817978478,-0.2070728520097593,-0.5000917951098566,-0.3900510162691711,-0.18189864673707407,4
