region_id,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,region_lon_min,region_lon_max,region_lat_min,region_lat_max,small_region_lt_4_cells,very_small_region_lt_2_cells,precipitation_peak_month,soil_moisture_peak_month,runoff_peak_month,aet_peak_month,pet_peak_month,peak_month_forward_lag,peak_month_shortest_signed_lag,best_precipitation_lag_0_to_6,best_lag_correlation,corr_precipitation_soil_moisture,corr_precipitation_runoff,corr_soil_moisture_runoff,corr_precipitation_aet,corr_pet_aet,precipitation_mean_mm,precipitation_amplitude_mm,precipitation_seasonality_ratio,soil_moisture_mean_mm,soil_moisture_amplitude_mm,soil_moisture_seasonality_ratio,runoff_mean_mm,runoff_amplitude_mm,runoff_control_class,corr_precipitation_lag_0_soil_moisture,corr_precipitation_lag_1_soil_moisture,corr_precipitation_lag_2_soil_moisture,corr_precipitation_lag_3_soil_moisture,corr_precipitation_lag_4_soil_moisture,corr_precipitation_lag_5_soil_moisture,corr_precipitation_lag_6_soil_moisture,asynchrony_rank
SLR_08_00,1,79.94999999999999,9.75,0,8,79.5,80.0,9.5,10.0,True,True,11,12,11,12,5,1,1,1,0.8573474771548951,0.45686357038325986,0.8870964131264266,0.6551416481396045,0.6066636686227481,-0.8177085752370665,95.22956732944444,401.25396699666663,4.2135439470027,562.2672080833332,370.9393323333333,0.6597207288644809,19.381351154192895,110.02515847930684,precipitation-dominant,0.45686357038325986,0.8573474771548951,0.78533046586099,0.46293024415459677,0.10525621707805263,-0.15914922321551841,-0.29942784733093475,2
SLR_08_01,8,80.2125,9.674999999999995,1,8,80.0,80.5,9.5,10.0,False,False,11,12,11,12,5,1,1,1,0.9433704087604345,0.6778587553476039,0.8985276921469593,0.7985752170206006,0.62861478616464,-0.8983632242504275,95.10016367070926,405.7799424204388,4.266869022701992,608.7595463567937,287.3805531797823,0.47207564119470685,19.57623869647115,110.41286155674096,mixed,0.6778587553476039,0.9433704087604345,0.7004077509983704,0.23728791986402936,-0.17062876528500695,-0.38744293216336756,-0.4473232097808682,2
SLR_07_00,1,79.85000000000002,9.049999999999995,0,7,79.5,80.0,9.0,9.5,True,True,11,12,12,12,5,1,1,1,0.9497454552315171,0.6539689492928902,0.816722802228905,0.8226472225671204,0.6454501944635027,-0.7284138515598129,94.4999983832361,361.0699444978333,3.8208460388914207,607.9543383055557,248.21124766666662,0.4082728455536023,9.70307797066861,52.423407219910004,mixed,0.6539689492928902,0.9497454552315171,0.7388327548088722,0.26303571982678,-0.16379855872711577,-0.3757114100423877,-0.42173787345907215,2
SLR_07_01,19,80.30789473684212,9.23947368421052,1,7,80.0,80.5,9.0,9.5,False,False,11,12,12,1,5,1,1,1,0.8988068849441379,0.5041369445351604,0.8516188813143023,0.7331525045825097,0.542180550232453,-0.8284072908542987,98.3377198326326,390.9330849188961,3.9754133569931325,548.1744755387593,341.4513067482161,0.6228880073495384,15.804257643413552,80.60231264144595,mixed,0.5041369445351604,0.8988068849441379,0.8089483937928295,0.4283405881386311,0.022730918565628706,-0.23689390771378308,-0.36638619411346224,2
SLR_07_02,14,80.66428571428573,9.192857142857138,2,7,80.5,81.0,9.0,9.5,False,False,11,12,12,1,5,1,1,1,0.8860376871813547,0.47553579272711416,0.8071915737996221,0.7491968579077489,0.5033022111902935,-0.8633122022322693,103.4857871370797,400.54331976659796,3.870515274102606,533.6502144266871,356.68070380733116,0.6683792007664077,18.625392198645134,102.35658671408521,mixed,0.47553579272711416,0.8860376871813547,0.8319207416857003,0.4751468049501647,0.06233340379808016,-0.2345936427654468,-0.39881343930760027,2
SLR_06_00,4,79.94999999999999,8.699999999999996,0,6,79.5,80.0,8.5,9.0,False,False,11,12,12,1,3,1,1,1,0.9376698175835667,0.6073528187492492,0.8210009024656565,0.816205763958298,0.633213077562889,-0.781403824644956,97.64357986691004,334.5462877621152,3.4261985090889517,560.9010788595962,269.6792589040713,0.4807964703016322,8.542866015114864,40.71500099729509,mixed,0.6073528187492492,0.9376698175835667,0.7737739961287373,0.3271379733916149,-0.09408785173694743,-0.31456985388372843,-0.395689163719675,2
SLR_06_01,25,80.25000000000001,8.749999999999995,1,6,80.0,80.5,8.5,9.0,False,False,11,12,12,1,8,1,1,1,0.9092295599837671,0.5368133598089129,0.8434329402880726,0.7757347503701768,0.554647005492454,-0.7497856655942957,103.86207470884939,355.61638931984737,3.4239291899061945,544.5126454885916,319.70067664066625,0.5871317760743621,12.375541090651486,56.2397589792599,mixed,0.5368133598089129,0.9092295599837671,0.8025028678989193,0.40571673661546537,-0.003792487166819461,-0.24726436851036412,-0.3571181614281428,2
SLR_06_02,25,80.75000000000001,8.749999999999995,2,6,80.5,81.0,8.5,9.0,False,False,11,12,12,1,5,1,1,1,0.8849645128045783,0.4932286044354164,0.7640695708982208,0.8177818505785789,0.49749741447716905,-0.8120022306318697,111.24876831766339,375.61169491169585,3.376322278365922,542.9162416699387,329.36645242601355,0.6066616305545139,17.75839513677064,88.62071526221008,mixed,0.4932286044354164,0.8849645128045783,0.8451090363476226,0.4997284185491878,0.07259648714566007,-0.2509361896783497,-0.42957381250829274,2
SLR_06_03,6,81.08333333333336,8.666666666666663,3,6,81.0,81.5,8.5,9.0,False,False,11,12,12,1,8,1,1,2,0.8620489965846568,0.45286088864134383,0.7663689581247075,0.8089685404253132,0.5404369095279221,-0.9018615125166567,114.615501796027,376.96694580995376,3.288969990122408,530.3197493178565,324.8992129956032,0.6126477722421556,20.415261055567736,101.93464064529046,mixed,0.45286088864134383,0.8613071173821257,0.8620489965846568,0.5701415941149472,0.16924616466594122,-0.18973510696652138,-0.43070776475706296,1
SLR_05_00,9,79.90555555555557,8.227777777777773,0,5,79.5,80.0,8.0,8.5,False,False,11,12,11,1,3,1,1,1,0.9131817338213074,0.5049658810265354,0.8754697651468044,0.7482906846428778,0.5531531423199696,-0.5939688514972371,119.28859649643418,273.69693411981456,2.294409877879618,561.640982322285,255.8182103435135,0.4554835177549739,7.85517184290439,34.81032717915222,mixed,0.5049658810265354,0.9131817338213074,0.7543757205573819,0.2600901292224185,-0.17121376988895437,-0.2920060862504672,-0.19763939408835948,2
SLR_05_01,25,80.25000000000001,8.249999999999995,1,5,80.0,80.5,8.0,8.5,False,False,11,12,11,1,3,1,1,1,0.932654979335592,0.5487582251398183,0.8492523783665389,0.8318296347563542,0.5212733773111422,-0.673713087266592,127.7024094401982,284.7512314385093,2.2298031234238813,574.1259224410619,255.9057511148373,0.44573105152051,9.784718414635867,37.87128233711902,mixed,0.5487582251398183,0.932654979335592,0.7434510292621284,0.23986743480456293,-0.18167006783483658,-0.2996355928311518,-0.21715671570711118,2
SLR_05_02,25,80.75000000000001,8.249999999999995,2,5,80.5,81.0,8.0,8.5,False,False,11,12,12,1,8,1,1,1,0.9150608847975799,0.530952505760852,0.6924077606423327,0.8753944382317542,0.4495346965465944,-0.7667234241046317,133.61243469643884,305.8938961376314,2.2894118861961306,610.3980851715158,286.80905533334857,0.4698721413137429,21.979874192390128,106.81804848329496,storage-dominant,0.530952505760852,0.9150608847975799,0.8153013673440989,0.3875811034515601,-0.05825171708673591,-0.30116743369617444,-0.352959924686559,2
SLR_05_03,21,81.21190476190478,8.240476190476185,3,5,81.0,81.5,8.0,8.5,False,False,11,12,12,1,8,1,1,1,0.8881051782557915,0.4923194931658582,0.7051031750295697,0.8596908220969398,0.5313160709759838,-0.8723118618968919,131.3186556642586,326.7122605085307,2.4879348547690996,585.6011582461024,303.76725224840186,0.5187272053187126,24.303566564454453,115.0919352726829,storage-dominant,0.4923194931658582,0.8881051782557915,0.8717908334419949,0.54279841736104,0.11918629222582386,-0.22102874186809712,-0.4262335645426293,2
SLR_04_00,10,79.9,7.749999999999995,0,4,79.5,80.0,7.5,8.0,False,False,11,11,11,12,3,0,0,1,0.9439305118630408,0.44742835710478324,0.8100859846316905,0.70676965739098,0.3895057715837916,-0.5895385733374884,157.5416031203724,237.71955968308123,1.5089319581282123,643.027548884759,193.39748138554353,0.30076080211643236,12.637802206649424,63.24623514676348,mixed,0.44742835710478324,0.9439305118630408,0.6507335640417102,-0.07104581557962342,-0.5583181390158731,-0.445792508863683,0.06333101508803729,2
SLR_04_01,25,80.25000000000001,7.749999999999995,1,4,80.0,80.5,7.5,8.0,False,False,11,12,11,1,3,1,1,1,0.896916647185119,0.38669146647587177,0.7534307921248434,0.7647617844916966,0.2469217893424909,-0.5189067664805377,169.21299778668157,243.51433558936924,1.4390994709304523,652.8780885947568,217.2157633896885,0.3327049370843795,17.191878556704726,75.26317790774694,mixed,0.38669146647587177,0.896916647185119,0.6904767192057211,0.06274966840212397,-0.4080645313313302,-0.3675987054879172,0.041178068105705255,2
SLR_04_02,25,80.75000000000001,7.749999999999995,2,4,80.5,81.0,7.5,8.0,False,False,11,12,12,1,8,1,1,1,0.8188807587931889,0.3470709741597675,0.5169699740728582,0.9029211319181636,0.09041052434520809,-0.518370902907389,171.15427535771093,244.5692257930828,1.4289402077858429,664.8910055922703,267.29487617881034,0.40201307271514364,35.09075030912806,141.93857929103444,storage-dominant,0.3470709741597675,0.8188807587931889,0.7812531161361537,0.3610230703620466,-0.07732744925446686,-0.24345485061179853,-0.15192980473660925,2
SLR_04_03,25,81.25000000000001,7.749999999999995,3,4,81.0,81.5,7.5,8.0,False,False,11,12,12,1,8,1,1,1,0.9278729752353658,0.5892222827804646,0.6833187892745329,0.8930725310899663,0.47333330596626405,-0.8091540259292449,158.3634097117524,259.3766040252693,1.6378569045550204,656.9588541297982,270.0294040103995,0.41102940056737347,33.47853461114415,160.08869012772684,storage-dominant,0.5892222827804646,0.9278729752353658,0.8356151449501554,0.4415026282357161,-0.009382704128140218,-0.3208563004769616,-0.45749488367842617,2
