region_id,month,replication_split
MYS_00_21,1,train
MYS_00_21,2,validation
MYS_00_21,3,train
MYS_00_21,4,train
MYS_00_21,5,train
MYS_00_21,6,train
MYS_00_21,7,train
MYS_00_21,8,train
MYS_00_21,9,test
MYS_00_21,10,train
MYS_00_21,11,test
MYS_00_21,12,validation
MYS_00_22,1,train
MYS_00_22,2,train
MYS_00_22,3,train
MYS_00_22,4,train
MYS_00_22,5,test
MYS_00_22,6,test
MYS_00_22,7,train
MYS_00_22,8,train
MYS_00_22,9,train
MYS_00_22,10,validation
MYS_00_22,11,train
MYS_00_22,12,validation
MYS_00_24,1,train
MYS_00_24,2,train
MYS_00_24,3,validation
MYS_00_24,4,train
MYS_00_24,5,train
MYS_00_24,6,train
MYS_00_24,7,train
MYS_00_24,8,test
MYS_00_24,9,train
MYS_00_24,10,validation
MYS_00_24,11,train
MYS_00_24,12,test
MYS_01_07,1,train
MYS_01_07,2,train
MYS_01_07,3,train
MYS_01_07,4,train
MYS_01_07,5,test
MYS_01_07,6,validation
MYS_01_07,7,train
MYS_01_07,8,train
MYS_01_07,9,test
MYS_01_07,10,train
MYS_01_07,11,validation
MYS_01_07,12,train
MYS_01_08,1,train
MYS_01_08,2,test
MYS_01_08,3,train
MYS_01_08,4,train
MYS_01_08,5,train
MYS_01_08,6,train
MYS_01_08,7,train
MYS_01_08,8,train
MYS_01_08,9,validation
MYS_01_08,10,validation
MYS_01_08,11,train
MYS_01_08,12,test
MYS_01_09,1,validation
MYS_01_09,2,validation
MYS_01_09,3,test
MYS_01_09,4,test
MYS_01_09,5,train
MYS_01_09,6,train
MYS_01_09,7,train
MYS_01_09,8,train
MYS_01_09,9,train
MYS_01_09,10,train
MYS_01_09,11,train
MYS_01_09,12,train
MYS_01_20,1,test
MYS_01_20,2,train
MYS_01_20,3,train
MYS_01_20,4,test
MYS_01_20,5,train
MYS_01_20,6,validation
MYS_01_20,7,validation
MYS_01_20,8,train
MYS_01_20,9,train
MYS_01_20,10,train
MYS_01_20,11,train
MYS_01_20,12,train
MYS_01_21,1,train
MYS_01_21,2,train
MYS_01_21,3,train
MYS_01_21,4,test
MYS_01_21,5,train
MYS_01_21,6,train
MYS_01_21,7,train
MYS_01_21,8,train
MYS_01_21,9,test
MYS_01_21,10,train
MYS_01_21,11,validation
MYS_01_21,12,validation
MYS_01_22,1,train
MYS_01_22,2,validation
MYS_01_22,3,train
MYS_01_22,4,test
MYS_01_22,5,train
MYS_01_22,6,train
MYS_01_22,7,train
MYS_01_22,8,train
MYS_01_22,9,train
MYS_01_22,10,train
MYS_01_22,11,validation
MYS_01_22,12,test
MYS_01_23,1,train
MYS_01_23,2,train
MYS_01_23,3,validation
MYS_01_23,4,train
MYS_01_23,5,train
MYS_01_23,6,train
MYS_01_23,7,validation
MYS_01_23,8,train
MYS_01_23,9,train
MYS_01_23,10,train
MYS_01_23,11,test
MYS_01_23,12,test
MYS_01_24,1,train
MYS_01_24,2,train
MYS_01_24,3,train
MYS_01_24,4,train
MYS_01_24,5,test
MYS_01_24,6,train
MYS_01_24,7,validation
MYS_01_24,8,train
MYS_01_24,9,train
MYS_01_24,10,train
MYS_01_24,11,validation
MYS_01_24,12,test
MYS_01_25,1,test
MYS_01_25,2,train
MYS_01_25,3,validation
MYS_01_25,4,validation
MYS_01_25,5,train
MYS_01_25,6,train
MYS_01_25,7,train
MYS_01_25,8,train
MYS_01_25,9,train
MYS_01_25,10,train
MYS_01_25,11,train
MYS_01_25,12,test
MYS_01_26,1,train
MYS_01_26,2,validation
MYS_01_26,3,train
MYS_01_26,4,test
MYS_01_26,5,train
MYS_01_26,6,test
MYS_01_26,7,train
MYS_01_26,8,train
MYS_01_26,9,train
MYS_01_26,10,validation
MYS_01_26,11,train
MYS_01_26,12,train
MYS_01_27,1,train
MYS_01_27,2,validation
MYS_01_27,3,validation
MYS_01_27,4,train
MYS_01_27,5,train
MYS_01_27,6,train
MYS_01_27,7,test
MYS_01_27,8,train
MYS_01_27,9,train
MYS_01_27,10,train
MYS_01_27,11,train
MYS_01_27,12,test
MYS_01_28,1,train
MYS_01_28,2,validation
MYS_01_28,3,train
MYS_01_28,4,train
MYS_01_28,5,test
MYS_01_28,6,train
MYS_01_28,7,validation
MYS_01_28,8,train
MYS_01_28,9,train
MYS_01_28,10,train
MYS_01_28,11,test
MYS_01_28,12,train
MYS_01_29,1,validation
MYS_01_29,2,train
MYS_01_29,3,train
MYS_01_29,4,validation
MYS_01_29,5,test
MYS_01_29,6,test
MYS_01_29,7,train
MYS_01_29,8,train
MYS_01_29,9,train
MYS_01_29,10,train
MYS_01_29,11,train
MYS_01_29,12,train
MYS_01_30,1,train
MYS_01_30,2,test
MYS_01_30,3,validation
MYS_01_30,4,train
MYS_01_30,5,train
MYS_01_30,6,train
MYS_01_30,7,train
MYS_01_30,8,train
MYS_01_30,9,train
MYS_01_30,10,test
MYS_01_30,11,train
MYS_01_30,12,validation
MYS_02_06,1,test
MYS_02_06,2,validation
MYS_02_06,3,train
MYS_02_06,4,train
MYS_02_06,5,train
MYS_02_06,6,train
MYS_02_06,7,train
MYS_02_06,8,validation
MYS_02_06,9,test
MYS_02_06,10,train
MYS_02_06,11,train
MYS_02_06,12,train
MYS_02_07,1,train
MYS_02_07,2,train
MYS_02_07,3,validation
MYS_02_07,4,train
MYS_02_07,5,train
MYS_02_07,6,train
MYS_02_07,7,train
MYS_02_07,8,test
MYS_02_07,9,train
MYS_02_07,10,train
MYS_02_07,11,validation
MYS_02_07,12,test
MYS_02_08,1,train
MYS_02_08,2,train
MYS_02_08,3,train
MYS_02_08,4,train
MYS_02_08,5,validation
MYS_02_08,6,train
MYS_02_08,7,train
MYS_02_08,8,test
MYS_02_08,9,test
MYS_02_08,10,train
MYS_02_08,11,validation
MYS_02_08,12,train
MYS_02_09,1,test
MYS_02_09,2,train
MYS_02_09,3,train
MYS_02_09,4,validation
MYS_02_09,5,train
MYS_02_09,6,train
MYS_02_09,7,train
MYS_02_09,8,validation
MYS_02_09,9,test
MYS_02_09,10,train
MYS_02_09,11,train
MYS_02_09,12,train
MYS_02_20,1,test
MYS_02_20,2,train
MYS_02_20,3,train
MYS_02_20,4,validation
MYS_02_20,5,train
MYS_02_20,6,train
MYS_02_20,7,test
MYS_02_20,8,train
MYS_02_20,9,train
MYS_02_20,10,train
MYS_02_20,11,train
MYS_02_20,12,validation
MYS_02_21,1,validation
MYS_02_21,2,train
MYS_02_21,3,train
MYS_02_21,4,train
MYS_02_21,5,train
MYS_02_21,6,train
MYS_02_21,7,train
MYS_02_21,8,test
MYS_02_21,9,test
MYS_02_21,10,train
MYS_02_21,11,train
MYS_02_21,12,validation
MYS_02_22,1,train
MYS_02_22,2,test
MYS_02_22,3,train
MYS_02_22,4,train
MYS_02_22,5,train
MYS_02_22,6,train
MYS_02_22,7,validation
MYS_02_22,8,train
MYS_02_22,9,train
MYS_02_22,10,train
MYS_02_22,11,validation
MYS_02_22,12,test
MYS_02_23,1,train
MYS_02_23,2,validation
MYS_02_23,3,validation
MYS_02_23,4,test
MYS_02_23,5,train
MYS_02_23,6,train
MYS_02_23,7,train
MYS_02_23,8,test
MYS_02_23,9,train
MYS_02_23,10,train
MYS_02_23,11,train
MYS_02_23,12,train
MYS_02_24,1,train
MYS_02_24,2,test
MYS_02_24,3,train
MYS_02_24,4,train
MYS_02_24,5,validation
MYS_02_24,6,train
MYS_02_24,7,validation
MYS_02_24,8,train
MYS_02_24,9,test
MYS_02_24,10,train
MYS_02_24,11,train
MYS_02_24,12,train
MYS_02_25,1,train
MYS_02_25,2,train
MYS_02_25,3,train
MYS_02_25,4,train
MYS_02_25,5,test
MYS_02_25,6,train
MYS_02_25,7,validation
MYS_02_25,8,train
MYS_02_25,9,validation
MYS_02_25,10,train
MYS_02_25,11,test
MYS_02_25,12,train
MYS_02_26,1,train
MYS_02_26,2,train
MYS_02_26,3,train
MYS_02_26,4,test
MYS_02_26,5,validation
MYS_02_26,6,validation
MYS_02_26,7,train
MYS_02_26,8,train
MYS_02_26,9,train
MYS_02_26,10,test
MYS_02_26,11,train
MYS_02_26,12,train
MYS_02_27,1,train
MYS_02_27,2,validation
MYS_02_27,3,validation
MYS_02_27,4,train
MYS_02_27,5,test
MYS_02_27,6,train
MYS_02_27,7,train
MYS_02_27,8,train
MYS_02_27,9,train
MYS_02_27,10,train
MYS_02_27,11,test
MYS_02_27,12,train
