replication_split,month,sample_count
test,1,31
test,2,27
test,3,21
test,4,30
test,5,25
test,6,25
test,7,37
test,8,24
test,9,33
test,10,37
test,11,25
test,12,29
train,1,120
train,2,113
train,3,117
train,4,114
train,5,114
train,6,124
train,7,99
train,8,125
train,9,116
train,10,109
train,11,122
train,12,103
validation,1,21
validation,2,32
validation,3,34
validation,4,28
validation,5,33
validation,6,23
validation,7,36
validation,8,23
validation,9,23
validation,10,26
validation,11,25
validation,12,40
