region_id,replication_split,month_count
MYS_00_21,test,2
MYS_00_21,train,8
MYS_00_21,validation,2
MYS_00_22,test,2
MYS_00_22,train,8
MYS_00_22,validation,2
MYS_00_24,test,2
MYS_00_24,train,8
MYS_00_24,validation,2
MYS_01_07,test,2
MYS_01_07,train,8
MYS_01_07,validation,2
MYS_01_08,test,2
MYS_01_08,train,8
MYS_01_08,validation,2
MYS_01_09,test,2
MYS_01_09,train,8
MYS_01_09,validation,2
MYS_01_20,test,2
MYS_01_20,train,8
MYS_01_20,validation,2
MYS_01_21,test,2
MYS_01_21,train,8
MYS_01_21,validation,2
MYS_01_22,test,2
MYS_01_22,train,8
MYS_01_22,validation,2
MYS_01_23,test,2
MYS_01_23,train,8
MYS_01_23,validation,2
MYS_01_24,test,2
MYS_01_24,train,8
MYS_01_24,validation,2
MYS_01_25,test,2
MYS_01_25,train,8
MYS_01_25,validation,2
MYS_01_26,test,2
MYS_01_26,train,8
MYS_01_26,validation,2
MYS_01_27,test,2
MYS_01_27,train,8
MYS_01_27,validation,2
MYS_01_28,test,2
MYS_01_28,train,8
MYS_01_28,validation,2
MYS_01_29,test,2
MYS_01_29,train,8
MYS_01_29,validation,2
MYS_01_30,test,2
MYS_01_30,train,8
MYS_01_30,validation,2
MYS_02_06,test,2
MYS_02_06,train,8
MYS_02_06,validation,2
MYS_02_07,test,2
MYS_02_07,train,8
MYS_02_07,validation,2
MYS_02_08,test,2
MYS_02_08,train,8
MYS_02_08,validation,2
MYS_02_09,test,2
MYS_02_09,train,8
MYS_02_09,validation,2
MYS_02_20,test,2
MYS_02_20,train,8
MYS_02_20,validation,2
MYS_02_21,test,2
MYS_02_21,train,8
MYS_02_21,validation,2
MYS_02_22,test,2
MYS_02_22,train,8
MYS_02_22,validation,2
MYS_02_23,test,2
MYS_02_23,train,8
MYS_02_23,validation,2
MYS_02_24,test,2
MYS_02_24,train,8
MYS_02_24,validation,2
MYS_02_25,test,2
MYS_02_25,train,8
MYS_02_25,validation,2
MYS_02_26,test,2
MYS_02_26,train,8
MYS_02_26,validation,2
MYS_02_27,test,2
MYS_02_27,train,8
MYS_02_27,validation,2
MYS_02_28,test,2
MYS_02_28,train,8
MYS_02_28,validation,2
MYS_02_29,test,2
MYS_02_29,train,8
MYS_02_29,validation,2
MYS_02_30,test,2
MYS_02_30,train,8
MYS_02_30,validation,2
MYS_03_04,test,2
MYS_03_04,train,8
MYS_03_04,validation,2
MYS_03_05,test,2
MYS_03_05,train,8
MYS_03_05,validation,2
MYS_03_06,test,2
MYS_03_06,train,8
MYS_03_06,validation,2
MYS_03_07,test,2
MYS_03_07,train,8
MYS_03_07,validation,2
MYS_03_08,test,2
MYS_03_08,train,8
MYS_03_08,validation,2
MYS_03_09,test,2
MYS_03_09,train,8
MYS_03_09,validation,2
MYS_03_23,test,2
MYS_03_23,train,8
MYS_03_23,validation,2
MYS_03_24,test,2
MYS_03_24,train,8
MYS_03_24,validation,2
MYS_03_25,test,2
MYS_03_25,train,8
MYS_03_25,validation,2
MYS_03_26,test,2
MYS_03_26,train,8
MYS_03_26,validation,2
MYS_03_27,test,2
