target,depth_label,alpha,validation_fold,validation_region_count,validation_sample_count,validation_rmse_mm
SM_0_10cm_mm,0–10 cm,0.0,0,6,72,3.6864938608386373
SM_0_10cm_mm,0–10 cm,0.0,1,7,84,2.622645802903238
SM_0_10cm_mm,0–10 cm,0.0,2,6,72,2.4806351241039324
SM_0_10cm_mm,0–10 cm,0.0,3,6,72,2.6155207903969124
SM_0_10cm_mm,0–10 cm,0.0,4,8,96,2.821684203042587
SM_0_10cm_mm,0–10 cm,0.0001,0,6,72,3.6864867380868764
SM_0_10cm_mm,0–10 cm,0.0001,1,7,84,2.622645059436498
SM_0_10cm_mm,0–10 cm,0.0001,2,6,72,2.4806347565065696
SM_0_10cm_mm,0–10 cm,0.0001,3,6,72,2.6155186711274925
SM_0_10cm_mm,0–10 cm,0.0001,4,8,96,2.821682681325283
SM_0_10cm_mm,0–10 cm,0.001,0,6,72,3.6864226427049176
SM_0_10cm_mm,0–10 cm,0.001,1,7,84,2.6226383736121344
SM_0_10cm_mm,0–10 cm,0.001,2,6,72,2.4806314483726077
SM_0_10cm_mm,0–10 cm,0.001,3,6,72,2.615499598677219
SM_0_10cm_mm,0–10 cm,0.001,4,8,96,2.8216689890022266
SM_0_10cm_mm,0–10 cm,0.01,0,6,72,3.685782616004428
SM_0_10cm_mm,0–10 cm,0.01,1,7,84,2.6225720464648603
SM_0_10cm_mm,0–10 cm,0.01,2,6,72,2.480598390999431
SM_0_10cm_mm,0–10 cm,0.01,3,6,72,2.6153089706095507
SM_0_10cm_mm,0–10 cm,0.01,4,8,96,2.821532375375388
SM_0_10cm_mm,0–10 cm,0.1,0,6,72,3.6794732275323687
SM_0_10cm_mm,0–10 cm,0.1,1,7,84,2.6219607512272707
SM_0_10cm_mm,0–10 cm,0.1,2,6,72,2.480270193712157
SM_0_10cm_mm,0–10 cm,0.1,3,6,72,2.613412292691338
SM_0_10cm_mm,0–10 cm,0.1,4,8,96,2.820196677856065
SM_0_10cm_mm,0–10 cm,1.0,0,6,72,3.6239671186840305
SM_0_10cm_mm,0–10 cm,1.0,1,7,84,2.620098835236326
SM_0_10cm_mm,0–10 cm,1.0,2,6,72,2.4772085765368366
SM_0_10cm_mm,0–10 cm,1.0,3,6,72,2.5953650653032687
SM_0_10cm_mm,0–10 cm,1.0,4,8,96,2.8094434468566103
SM_0_10cm_mm,0–10 cm,10.0,0,6,72,3.3543642988791658
SM_0_10cm_mm,0–10 cm,10.0,1,7,84,2.715244603917806
SM_0_10cm_mm,0–10 cm,10.0,2,6,72,2.4605401312900375
SM_0_10cm_mm,0–10 cm,10.0,3,6,72,2.475354262050821
SM_0_10cm_mm,0–10 cm,10.0,4,8,96,2.801563402697359
SM_0_10cm_mm,0–10 cm,30.0,0,6,72,3.206841402849738
SM_0_10cm_mm,0–10 cm,30.0,1,7,84,2.9102875102125596
SM_0_10cm_mm,0–10 cm,30.0,2,6,72,2.457902870370683
SM_0_10cm_mm,0–10 cm,30.0,3,6,72,2.35479344679156
SM_0_10cm_mm,0–10 cm,30.0,4,8,96,2.8843166017293576
