target,depth_label,alpha,mean_validation_rmse_mm,median_validation_rmse_mm,std_validation_rmse_mm,minimum_validation_rmse_mm,maximum_validation_rmse_mm,standard_error_validation_rmse_mm,best_mean_rmse_alpha,within_one_standard_error,selected_alpha
SM_0_10cm_mm,0–10 cm,0.0,1.8589024505635998,1.2689965948012383,1.2931239522704137,0.7757204125648918,4.005274448075548,0.5783026121219677,False,True,False
SM_0_10cm_mm,0–10 cm,0.0001,1.8589022306790048,1.268996580761286,1.2931238389045394,0.7757202368474271,4.005274047100044,0.5783025614232075,False,True,False
SM_0_10cm_mm,0–10 cm,0.001,1.8589002517413633,1.2689964544016488,1.2931228186200996,0.7757186554075236,4.005270438349723,0.5783021051381346,False,True,False
SM_0_10cm_mm,0–10 cm,0.01,1.8588804647118315,1.2689951907986228,1.2931126166103994,0.7757028427197495,4.005234353740448,0.5782975426606953,False,True,False
SM_0_10cm_mm,0–10 cm,0.1,1.8586828286501145,1.2689825540947446,1.2930106799038479,0.775544886652786,4.004873796755822,0.578251955179645,False,True,False
SM_0_10cm_mm,0–10 cm,1.0,1.8567294476927025,1.268856111949214,1.2919995744266854,0.7739820985599903,4.001296857267794,0.5777997750637734,False,True,False
SM_0_10cm_mm,0–10 cm,10.0,1.839139162125937,1.2675796199721812,1.282650314908365,0.759777188192576,3.9681459228606206,0.5736186590993232,False,True,False
SM_0_10cm_mm,0–10 cm,30.0,1.808613153912848,1.2646550984271097,1.2659540152471374,0.7344331893029058,3.908068350675832,0.5661518468962808,False,True,False
SM_0_10cm_mm,0–10 cm,100.0,1.744396545161015,1.2542965046915002,1.2342358389190242,0.6772938221561815,3.7829415583727997,0.5519670472178837,False,True,False
SM_0_10cm_mm,0–10 cm,300.0,1.6786944132169865,1.2304004867165839,1.2171511672023616,0.6283342859553626,3.6783832904917615,0.5443265497515386,True,True,False
SM_0_10cm_mm,0–10 cm,1000.0,1.6988937521225342,1.2008388131501844,1.222808637737472,0.7984278901757526,3.717589057083658,0.5468566474909804,False,True,False
SM_0_10cm_mm,0–10 cm,3000.0,1.8980627534008172,1.262114667933411,1.203868187985343,0.963510740058704,3.9138884837043544,0.5383862208569444,False,True,True
SM_0_10cm_mm,0–10 cm,10000.0,2.2251462251015175,1.7564873920750446,1.151359157647083,1.403675870328425,4.188665114690022,0.5149034686031548,False,False,False
SM_0_10cm_mm,0–10 cm,30000.0,2.436074691567151,2.0122370506537193,1.1183490798376041,1.6757238178759208,4.3633140617435,0.5001409130182445,False,False,False
SM_0_10cm_mm,0–10 cm,100000.0,2.540584136708362,2.1240162008629024,1.1031260838626398,1.7808297513347868,4.450877595869961,0.49333298225399924,False,False,False
