month,precipitation_reconstructed_mm,PET_mm,AET_mm,SM_total_mm,delta_SM_total_mm,runoff_mm,surface_runoff_mm,subsurface_runoff_mm
1,281.8151868544923,99.47657049289184,123.922771269887,854.9945276602423,-22.701439467237208,193.05484661150805,87.63959299000012,105.41525361195991
2,206.51012558942412,102.2109709093084,120.07989651472936,828.3303937670041,-26.66413389323804,120.62064086974989,52.618154028667306,68.00248681475146
3,249.04848336782334,118.91568065416773,135.25437268756613,808.710367744802,-19.620026022202158,107.80694139492226,46.4641645592824,61.34277684091995
4,229.10878261431597,118.39844959619406,128.37020720679573,812.3054758832081,3.5951081384061374,94.82867743434228,33.37431851765943,61.454358880509965
5,250.23597060303464,114.16293787292408,121.8545150409156,826.4224581565533,14.1169822733452,104.99610039180082,35.06030796681041,69.93579243334067
6,201.64475966543208,107.95131988714934,113.01051392513742,836.9939476408031,10.5714894842496,82.88406850921758,27.473189667864926,55.410878899760405
7,201.1197387746477,113.70250520683294,116.77709569349052,839.977987827255,2.98404018645201,74.68139889807614,26.336094233252656,48.34530469029134
8,239.18638987562926,115.82384393454252,117.3781871822668,849.1571131628211,9.17912533556617,95.21471032984581,36.60515355525756,58.609556879896225
9,250.46681984968734,110.92660704556062,116.88029404786165,862.9199252856793,13.762812122858037,114.95065122645451,39.22325580985277,75.72739532797341
10,309.9829724782569,107.8949385541991,119.69578389902523,873.772920492548,10.852995206868913,166.7435440600394,54.21133849467742,112.53220545376922
11,335.86555457131135,95.98254785770655,113.82426401921416,880.9757241403942,7.202803647846088,209.24908084241795,72.40420277908314,136.8448781667686
12,372.603280234617,93.98181497125714,118.32931308009427,877.6959671274795,-3.279757012914745,267.4982569774854,116.37240927828852,151.12584782954562
