target,predictor,pearson_correlation,spearman_correlation
runoff_mm,precipitation_L0_mm,0.6917641889385794,0.8214518017180795
runoff_mm,precipitation_L1_mm,0.737970148351905,0.8420589871019738
runoff_mm,precipitation_L2_mm,0.4019577839528322,0.5926102061221075
runoff_mm,precipitation_L3_mm,0.06148740645235107,0.28945694346590056
runoff_mm,PET_mm,-0.6659777064725221,-0.8457746485677488
runoff_mm,SM_total_mm,0.7443662308759561,0.8863173069212033
runoff_mm,SM_total_L1_mm,0.5133721321244016,0.6406885550334838
runoff_mm,delta_SM_total_mm,0.4847661610390277,0.48233055936400643
surface_runoff_mm,precipitation_L0_mm,0.7337120181590706,0.834390424228995
surface_runoff_mm,precipitation_L1_mm,0.7654240913931778,0.8408438897492551
surface_runoff_mm,precipitation_L2_mm,0.3946206811536482,0.5721338446739306
surface_runoff_mm,precipitation_L3_mm,0.030742760927562743,0.2552303486796106
surface_runoff_mm,PET_mm,-0.7005671051633852,-0.8484668771057191
surface_runoff_mm,SM_total_mm,0.739903820574221,0.8680568398006143
surface_runoff_mm,SM_total_L1_mm,0.4674534744356923,0.6057711315881772
surface_runoff_mm,delta_SM_total_mm,0.5717665909438717,0.5121218884634374
subsurface_runoff_mm,precipitation_L0_mm,0.55687613821313,0.6976200865177272
subsurface_runoff_mm,precipitation_L1_mm,0.6205511434558456,0.8482023013418405
subsurface_runoff_mm,precipitation_L2_mm,0.3721277688577928,0.7039396362514997
subsurface_runoff_mm,precipitation_L3_mm,0.10227431796378668,0.44273699132775335
subsurface_runoff_mm,PET_mm,-0.5449892464894285,-0.7801083886726204
subsurface_runoff_mm,SM_total_mm,0.6751559040891302,0.9405396631235996
subsurface_runoff_mm,SM_total_L1_mm,0.5312265093246976,0.7722338327637566
subsurface_runoff_mm,delta_SM_total_mm,0.3020514400052612,0.31288209712467596
