region_id,dominant_annual_component,dominant_annual_component_label,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,small_region_lt_4_cells,dominant_annual_contribution_mm,reconstructed_annual_precipitation_mm,dominant_annual_component_fraction
SLR_00_02,K4_C2,May–June southwest mode,1,80.55000000000001,5.949999999999989,2,0,True,1236.6156516557091,2272.8241321003466,0.5440876987314176
SLR_01_01,K4_C2,May–June southwest mode,22,80.27272727272728,6.272727272727267,1,1,False,1451.4648461663087,2604.6444253040127,0.5572602663401529
SLR_01_02,K4_C2,May–June southwest mode,24,80.74166666666667,6.258333333333328,2,1,False,1162.9400122629884,2322.776000026386,0.500668171295802
SLR_01_03,K4_C2,May–June southwest mode,16,81.21875000000001,6.331249999999994,3,1,False,618.7714627975711,1811.8661651441646,0.3415105788171376
SLR_01_04,K4_C4,November northern mode,2,81.60000000000002,6.449999999999989,4,1,True,430.9591447224273,1446.372842665563,0.29795854292189283
SLR_02_00,K4_C2,May–June southwest mode,4,79.94999999999999,6.799999999999994,0,2,False,1437.6652030446808,2600.797042683918,0.5527786980106176
SLR_02_01,K4_C2,May–June southwest mode,25,80.25000000000001,6.749999999999995,1,2,False,1435.5603429096427,2641.5227065752442,0.5434593991322749
SLR_02_02,K4_C2,May–June southwest mode,25,80.75000000000001,6.749999999999995,2,2,False,1128.955748730851,2379.908477633254,0.47436939669779354
SLR_02_03,K4_C2,May–June southwest mode,25,81.25000000000001,6.749999999999995,3,2,False,564.6298116788147,1842.484842905681,0.3064501799582613
SLR_02_04,K4_C4,November northern mode,15,81.6566666666667,6.77666666666666,4,2,False,485.17133181530664,1587.3653301159684,0.30564566493326484
SLR_03_00,K4_C2,May–June southwest mode,9,79.90555555555557,7.272222222222216,0,3,False,1176.3572678630014,2283.702054069148,0.5151097822795857
SLR_03_01,K4_C2,May–June southwest mode,25,80.25000000000001,7.249999999999995,1,3,False,1216.2424032097415,2391.5996270806772,0.5085476638472118
SLR_03_02,K4_C2,May–June southwest mode,25,80.75000000000001,7.249999999999995,2,3,False,1017.4264371120723,2301.2151223585533,0.4421257392352329
SLR_03_03,K4_C2,May–June southwest mode,25,81.25000000000001,7.249999999999995,3,3,False,580.5977412719192,1986.1476590378966,0.2923235534024518
SLR_03_04,K4_C1,January eastern mode,19,81.69210526315791,7.23947368421052,4,3,False,620.3915419705911,1823.2501573152372,0.3402668248684683
SLR_04_00,K4_C2,May–June southwest mode,10,79.9,7.749999999999995,0,4,False,814.4632304805041,1890.4964822066652,0.4308197545704127
SLR_04_01,K4_C2,May–June southwest mode,25,80.25000000000001,7.749999999999995,1,4,False,863.9309734058603,2021.553012336215,0.42736003861083777
SLR_04_02,K4_C2,May–June southwest mode,25,80.75000000000001,7.749999999999995,2,4,False,755.412205195936,2041.1757058226474,0.37008680979351805
SLR_04_03,K4_C4,November northern mode,25,81.25000000000001,7.749999999999995,3,4,False,693.6045198110023,1893.1974798184044,0.36636670352927625
SLR_04_04,K4_C4,November northern mode,9,81.6277777777778,7.661111111111107,4,4,False,685.0932883605428,1867.8619142896387,0.3667794086486788
SLR_05_00,K4_C4,November northern mode,9,79.90555555555557,8.227777777777773,0,5,False,684.651381296702,1433.4701958719024,0.4776181487891107
SLR_05_01,K4_C4,November northern mode,25,80.25000000000001,8.249999999999995,1,5,False,742.2297410780249,1531.3386937988541,0.4846933889176048
SLR_05_02,K4_C4,November northern mode,25,80.75000000000001,8.249999999999995,2,5,False,809.6233525195178,1599.7235460203756,0.5061020415268712
SLR_05_03,K4_C4,November northern mode,21,81.21190476190478,8.240476190476185,3,5,False,860.446190264823,1571.7316615430243,0.5474510766170433
SLR_06_00,K4_C4,November northern mode,4,79.94999999999999,8.699999999999996,0,6,False,816.3306083852237,1174.8781362515936,0.6948215165444284
SLR_06_01,K4_C4,November northern mode,25,80.25000000000001,8.749999999999995,1,6,False,871.3653593009115,1249.0726968666108,0.6976098040464694
SLR_06_02,K4_C4,November northern mode,25,80.75000000000001,8.749999999999995,2,6,False,940.0780496215621,1335.7830987953316,0.7037654919195834
SLR_06_03,K4_C4,November northern mode,6,81.08333333333336,8.666666666666663,3,6,False,969.1498406908275,1374.0409807271294,0.7053281920150319
SLR_07_00,K4_C4,November northern mode,1,79.85000000000002,9.049999999999995,0,7,True,910.9248368102208,1137.410918155364,0.8008757629015423
SLR_07_01,K4_C4,November northern mode,19,80.30789473684212,9.23947368421052,1,7,False,989.5856166806919,1191.5758794931755,0.8304847670310362
SLR_07_02,K4_C4,November northern mode,14,80.66428571428573,9.192857142857138,2,7,False,1014.1965891092904,1249.4094827980414,0.8117407487879843
SLR_08_00,K4_C4,November northern mode,1,79.94999999999999,9.75,0,8,True,1077.2793246629503,1141.966356343804,0.9433546957653289
SLR_08_01,K4_C4,November northern mode,8,80.2125,9.674999999999995,1,8,False,1064.0074337328629,1167.238928228893,0.9115592429283795
