region_id,month,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,small_region_lt_4_cells,dominant_monthly_component,dominant_monthly_component_label,month_name,regional_loading_mm,normalized_seasonal_profile,dominant_monthly_contribution_mm,reconstructed_total_mm,dominant_monthly_component_fraction
MYS_00_21,1,1,110.25,0.75,21,0,True,K4_C1,January eastern mode,Jan,1197.0642493016253,0.3142285883169263,376.15180918271085,423.39234502382703,0.8884237365263237
MYS_00_21,2,1,110.25,0.75,21,0,True,K4_C1,January eastern mode,Feb,1197.0642493016253,0.2053666456716191,245.8370695324896,305.88472755034104,0.8036918727563177
MYS_00_21,3,1,110.25,0.75,21,0,True,K4_C1,January eastern mode,Mar,1197.0642493016253,0.1312479940516269,157.11228147175495,324.3972047100888,0.48432070064279675
MYS_00_21,4,1,110.25,0.75,21,0,True,K4_C2,May–June southwest mode,Apr,993.022732504894,0.1771518265910075,175.9157909096354,269.0844814191975,0.6537567309040844
MYS_00_21,5,1,110.25,0.75,21,0,True,K4_C3,April–October mode,May,957.6903399721052,0.1287233906059157,123.2771477117415,252.8499998462493,0.48755051527270216
MYS_00_21,6,1,110.25,0.75,21,0,True,K4_C3,April–October mode,Jun,957.6903399721052,0.1188687959736476,113.83949762807738,205.30823734637153,0.5544809068523684
MYS_00_21,7,1,110.25,0.75,21,0,True,K4_C3,April–October mode,Jul,957.6903399721052,0.1056946639096819,101.22275861290065,197.27160328928633,0.5131136814682034
MYS_00_21,8,1,110.25,0.75,21,0,True,K4_C3,April–October mode,Aug,957.6903399721052,0.1309179607663566,125.37886635478678,233.52855521737845,0.5368888024767623
MYS_00_21,9,1,110.25,0.75,21,0,True,K4_C3,April–October mode,Sep,957.6903399721052,0.1376209669856309,131.7982706597587,237.61481295532212,0.5546719458291528
MYS_00_21,10,1,110.25,0.75,21,0,True,K4_C3,April–October mode,Oct,957.6903399721052,0.1386202479765914,132.75527241171935,302.81093703973147,0.43840976719510194
MYS_00_21,11,1,110.25,0.75,21,0,True,K4_C2,May–June southwest mode,Nov,993.022732504894,0.1258092686029743,124.93146368256771,334.65907992393676,0.3733096490642443
MYS_00_21,12,1,110.25,0.75,21,0,True,K4_C1,January eastern mode,Dec,1197.0642493016253,0.1648341306180569,197.31704482759034,414.5711641909578,0.4759545811939373
MYS_00_22,1,1,110.75,0.75,22,0,True,K4_C1,January eastern mode,Jan,1220.1510918425806,0.3142285883169263,383.4063551230504,426.43633269177053,0.8990940164570304
MYS_00_22,2,1,110.75,0.75,22,0,True,K4_C1,January eastern mode,Feb,1220.1510918425806,0.2053666456716191,250.57833694427444,315.0254999595539,0.795422392715657
MYS_00_22,3,1,110.75,0.75,22,0,True,K4_C1,January eastern mode,Mar,1220.1510918425806,0.1312479940516269,160.1423832442411,345.05020644747043,0.46411328047885336
