month,dominant_component,regional_count
1,K4_C1,17
1,K4_C2,5
1,K4_C3,0
1,K4_C4,11
2,K4_C1,17
2,K4_C2,10
2,K4_C3,3
2,K4_C4,3
3,K4_C1,9
3,K4_C2,12
3,K4_C3,8
3,K4_C4,4
4,K4_C1,0
4,K4_C2,3
4,K4_C3,18
4,K4_C4,12
5,K4_C1,0
5,K4_C2,25
5,K4_C3,0
5,K4_C4,8
6,K4_C1,3
6,K4_C2,30
6,K4_C3,0
6,K4_C4,0
7,K4_C1,4
7,K4_C2,26
7,K4_C3,0
7,K4_C4,3
8,K4_C1,7
8,K4_C2,19
8,K4_C3,0
8,K4_C4,7
9,K4_C1,0
9,K4_C2,22
9,K4_C3,0
9,K4_C4,11
10,K4_C1,0
10,K4_C2,3
10,K4_C3,8
10,K4_C4,22
11,K4_C1,0
11,K4_C2,0
11,K4_C3,0
11,K4_C4,33
12,K4_C1,4
12,K4_C2,0
12,K4_C3,0
12,K4_C4,29
