configuration,reference_configuration,population,region_count,observed_candidate_rmse_mm,observed_reference_rmse_mm,observed_rmse_difference_mm,bootstrap_difference_mean_mm,bootstrap_difference_q025_mm,bootstrap_difference_q50_mm,bootstrap_difference_q975_mm,probability_candidate_lower_rmse,candidate_region_win_count,reference_region_win_count,regional_tie_count
Mean,MLP,all_regions,33,133.30601661184937,52.488606941270675,80.8174096705787,80.73065874734384,63.03501436943337,80.81324395455488,98.0882939708247,0.0,3,30,0
Mean,MLP,core_regions,29,134.55958742542387,50.04265425321389,84.51693317220997,84.40871830482297,65.34277408018687,84.57736669302322,102.5068377522258,0.0,2,27,0
Ridge,MLP,all_regions,33,58.5086817446907,52.488606941270675,6.020074803420023,5.983341772103598,0.8343126921066522,6.019290647222327,11.057470344350069,0.0111,14,19,0
Ridge,MLP,core_regions,29,53.48498259149593,50.04265425321389,3.4423283382820387,3.427858741948026,-1.6567636004117716,3.449270048764337,8.398115962634284,0.0953,14,15,0
MLP,MLP,all_regions,33,52.488606941270675,52.488606941270675,0.0,0.0,0.0,0.0,0.0,0.0,0,0,33
MLP,MLP,core_regions,29,50.04265425321389,50.04265425321389,0.0,0.0,0.0,0.0,0.0,0.0,0,0,29
PINN_P_lambda10,MLP,all_regions,33,53.10233663105279,52.488606941270675,0.6137296897821187,0.6221965553962169,-1.7497092265882608,0.5011956837075005,3.6152144213226545,0.35275,19,14,0
PINN_P_lambda10,MLP,core_regions,29,49.453986820854844,50.04265425321389,-0.5886674323590455,-0.5879845080213976,-2.511276846575787,-0.6342573408108514,1.5861982267767327,0.7285,18,11,0
PINN_P_PET_lambda1,MLP,all_regions,33,54.91748043491038,52.488606941270675,2.4288734936397063,2.43671758059881,0.12083909944570533,2.392671991502393,5.019757085460257,0.018,19,14,0
PINN_P_PET_lambda1,MLP,core_regions,29,51.28846398580127,50.04265425321389,1.2458097325873823,1.2583740186645678,-0.872563980844097,1.2107370187453803,3.6774979503164356,0.1371,19,10,0
PINN_P_PET_lambda10,MLP,all_regions,33,56.410208990219,52.488606941270675,3.9216020489483228,3.9289166162204476,0.9329062258736709,3.8509647262892557,7.34982142603753,0.00365,16,17,0
PINN_P_PET_lambda10,MLP,core_regions,29,52.26247431924671,50.04265425321389,2.219820066032817,2.2039828317844905,-0.5272327410878649,2.153668982379706,5.149167599561709,0.05945,16,13,0
