configuration,test_fold,test_region_count,test_sample_count,ensemble_fold_rmse_mm,ensemble_fold_mae_mm,ensemble_fold_r_squared,core_ensemble_fold_rmse_mm,core_ensemble_fold_r_squared
MLP,0,6,72,54.283513067641366,47.155510965983076,0.36942070343787714,56.445336810858265,0.2371540872541712
MLP,1,7,84,30.314028282204163,23.03630625406901,0.9171202700727795,26.9822921182662,0.9271983184543611
MLP,2,6,72,66.73340157496654,58.94788513183593,0.5764610411274997,66.73340157496654,0.5764610411274997
MLP,3,6,72,42.21947876656405,34.81116926405164,0.8546052711657801,42.21947876656405,0.8546052711657801
MLP,4,8,96,60.610445444449375,48.486150042215975,0.6895361928393533,49.84997106617185,0.7909293644797974
Mean,0,6,72,182.86673620249337,169.60907660590277,-6.156047964056628,191.49205367977655,-7.779751009356984
Mean,1,7,84,105.2979645860678,88.21183086576916,-2.249530330900029e-06,101.07218881730883,-0.021520467687517586
Mean,2,6,72,102.62493850005464,85.47173309326172,-0.0016423059825396713,102.62493850005464,-0.0016423059825396713
Mean,3,6,72,132.90723249189637,114.54872639973958,-0.4408545986036292,132.90723249189637,-0.4408545986036292
Mean,4,8,96,131.8113959221899,115.82901191711426,-0.4683241641550897,136.1771973959639,-0.5601702849105326
PINN_P_PET_lambda1,0,6,72,61.92538431730397,55.61158108181424,0.17938162646704114,63.067094828631916,0.047672473482894606
PINN_P_PET_lambda1,1,7,84,39.488417200286236,29.287605358305434,0.8593627139123988,32.098374504723516,0.8969732949358051
PINN_P_PET_lambda1,2,6,72,63.62603398022859,55.581532118055556,0.614985978675183,63.62603398022859,0.614985978675183
PINN_P_PET_lambda1,3,6,72,41.944185776710455,34.59657601250542,0.8564951881000744,41.944185776710455,0.8564951881000744
PINN_P_PET_lambda1,4,8,96,62.00432664380266,49.37661991119385,0.6750922891846729,50.61297915525984,0.78448027670312
PINN_P_PET_lambda10,0,6,72,63.76389620274082,57.42925008138021,0.1299313757965963,64.74459144447239,-0.0036624481558982236
PINN_P_PET_lambda10,1,7,84,45.11331595158246,33.99008527483258,0.8164431803144172,36.6493571932766,0.8656874932609547
PINN_P_PET_lambda10,2,6,72,63.93113746838124,55.790888807508686,0.6112846394239388,63.93113746838124,0.6112846394239388
PINN_P_PET_lambda10,3,6,72,39.87604312796282,33.02828530205621,0.8702978899842896,39.87604312796282,0.8702978899842896
PINN_P_PET_lambda10,4,8,96,63.545716591036125,50.537103398640944,0.6587374824606784,51.845158265135936,0.7738588338595347
PINN_P_lambda10,0,6,72,54.05077517631969,46.86936967637804,0.3748162673956926,56.22583548502731,0.2430755724358058
PINN_P_lambda10,1,7,84,43.97421764245413,33.010322425478975,0.8255956682914599,35.982607571720344,0.8705300453543687
PINN_P_lambda10,2,6,72,64.41997381327747,56.43252292209201,0.6053174481232462,64.41997381327747,0.6053174481232462
PINN_P_lambda10,3,6,72,34.960744673248136,29.54972763061523,0.9003024980721687,34.960744673248136,0.9003024980721687
PINN_P_lambda10,4,8,96,60.98889086164206,48.77221094767253,0.6856470805524737,50.194415742961404,0.788030182862638
Ridge,0,6,72,68.0676856044113,61.264316982693146,0.008515831741171542,70.1363757062614,-0.17778854458072946
Ridge,1,7,84,49.970262443496615,35.41620999290829,0.7747917556376257,39.788348006511605,0.8416946666241495
Ridge,2,6,72,59.212778061331406,53.19957309299045,0.6665446313359016,59.212778061331406,0.6665446313359016
Ridge,3,6,72,32.30924411335771,27.53216637505425,0.9148515939440801,32.30924411335771,0.9148515939440801
Ridge,4,8,96,71.05374885966435,56.725151697794594,0.5733320506312736,59.950234455325464,0.6976256205999302
