configuration,region_id,test_fold,native_cell_count,core_region_ge_4_cells,regional_rmse_mm,regional_mae_mm,regional_r_squared,regional_mean_bias_mm
MLP,SLR_00_02,0,1,False,41.83083201817278,33.20531717936197,0.5338481618445017,-30.131975301106753
MLP,SLR_01_01,0,22,True,67.56726175342804,61.63930664062499,-1.2636950685014057,-61.63930664062499
MLP,SLR_01_02,0,24,True,26.585894239355493,21.96869405110678,0.6986662311130618,-5.190713500976557
MLP,SLR_01_03,1,16,True,18.79813070934875,14.882719421386716,0.9187250488184205,14.138926696777332
MLP,SLR_01_04,1,2,False,45.43476254067163,36.23777974446614,0.7645043143976976,28.422872924804683
MLP,SLR_02_00,0,4,True,49.68595069247758,45.73731587727863,0.2693388443023892,-45.73731587727863
MLP,SLR_02_01,0,25,True,62.11333845270952,56.91281229654948,-0.48200430894651447,-56.91281229654948
MLP,SLR_02_02,0,25,True,65.8139430146648,63.46961975097657,-1.0638585822648787,-63.46961975097657
MLP,SLR_02_03,1,25,True,29.463600817076667,24.036556498209638,0.8726278996724738,-21.740141296386714
MLP,SLR_02_04,1,15,True,40.00297136775669,33.307587178548175,0.8562088715325932,13.734580993652335
MLP,SLR_03_00,2,9,True,47.31081295231759,41.19250488281249,0.44406006024505495,41.19250488281249
MLP,SLR_03_01,2,25,True,22.13631823351501,16.177536010742188,0.8683662983703131,12.852501424153635
MLP,SLR_03_02,1,25,True,25.86313233400616,17.77221679687501,0.7826094153173225,-11.965492757161456
MLP,SLR_03_03,1,25,True,15.257883127230215,13.153826904296864,0.9708478662694487,-4.517380777994788
MLP,SLR_03_04,1,19,True,25.39387143699846,21.86345723470052,0.9373439070016957,4.7828704833984546
MLP,SLR_04_00,2,10,True,84.92328083986445,81.62835998535158,-0.7268363782505283,81.62835998535158
MLP,SLR_04_01,2,25,True,78.3656291562674,73.30258585611979,-0.2637497724187112,73.30258585611979
MLP,SLR_04_02,3,25,True,34.05235885008412,26.70995178222654,0.8490434644932927,-10.290050252278641
MLP,SLR_04_03,3,25,True,52.52302192258758,48.76117299397787,0.6799728796042337,-48.76117299397787
MLP,SLR_04_04,3,9,True,52.93050782910379,48.874730428059884,0.7194227192565246,-48.874730428059884
MLP,SLR_05_00,2,9,True,83.53483232625801,82.20144805908204,-0.1112512307804363,82.20144805908204
MLP,SLR_05_01,2,25,True,60.50246304085222,59.18487599690756,0.4298177719079588,59.18487599690756
MLP,SLR_05_02,3,25,True,29.875440060367467,21.043179321289056,0.8992183777353875,-19.86393330891927
MLP,SLR_05_03,3,21,True,34.070549439551186,28.524403889973964,0.899439838504515,-17.373467000325522
MLP,SLR_06_00,4,4,True,46.0126549395068,44.615489196777354,0.7030220178462572,-44.615489196777354
MLP,SLR_06_01,4,25,True,25.91523936309469,21.05357004801431,0.9359224941385261,-21.05357004801431
MLP,SLR_06_02,4,25,True,13.718014151669216,10.812016296386702,0.985367659789424,-8.885946146647143
MLP,SLR_06_03,3,6,True,43.837112494167215,34.95357716878254,0.8600235374155147,21.685216776529952
MLP,SLR_07_00,4,1,False,98.43633629049684,97.42412567138672,-0.4991523998548857,-97.42412567138672
MLP,SLR_07_01,4,19,True,42.719727801881064,36.358611043294275,0.8558796707791237,-34.73433329264324
MLP,SLR_07_02,4,14,True,28.121071321410536,23.6752909342448,0.9470375954984965,-13.363675944010444
MLP,SLR_08_00,4,1,False,69.2038928219489,58.963299560546886,0.6721815869079344,-50.11336364746095
MLP,SLR_08_01,4,8,True,96.52667992821645,94.98679758707681,0.02752287572926515,-94.98679758707681
Mean,SLR_00_02,0,1,False,131.5120760372283,116.36869812011719,-3.6075033809203614,-116.36869812011719
Mean,SLR_01_01,0,22,True,212.08316768185472,207.27399190266928,-21.302712685640646,-207.27399190266928
Mean,SLR_01_02,0,24,True,115.0696268911814,104.381103515625,-4.645035374840039,-104.381103515625
Mean,SLR_01_03,1,16,True,70.04038793645535,61.662384033203125,-0.1282997006442661,23.618326822916668
Mean,SLR_01_04,1,2,False,127.75016754529577,106.34798177083333,-0.8617843983084092,86.91527303059895
Mean,SLR_02_00,0,4,True,212.02982623057292,203.90668233235678,-12.305853155499054,-203.90668233235678
Mean,SLR_02_01,0,25,True,221.99538895996537,216.05248514811197,-17.93074169256291,-216.05248514811197
Mean,SLR_02_02,0,25,True,175.74738727728908,169.67149861653647,-13.71708739034582,-169.67149861653647
Mean,SLR_02_03,1,25,True,86.86961522020313,71.42081197102864,-0.10723157509341341,-27.033981323242188
Mean,SLR_02_04,1,15,True,117.26985159056302,101.6121342976888,-0.23572075313414742,51.21829477945963
Mean,SLR_03_00,2,9,True,104.46365071749557,85.96322123209636,-1.710425363080633,-82.98479715983073
Mean,SLR_03_01,2,25,True,128.9819132829579,113.63871256510417,-3.4690369413079853,-113.63871256510417
Mean,SLR_03_02,1,25,True,124.88600843356734,111.89082845052083,-4.068810517921234,-111.89082845052083
