region_id,longitude,latitude,native_cell_count,small_region_lt_4_cells,spatial_fold_5
MYS_00_21,110.25,0.75,1,True,0
MYS_00_22,110.75,0.75,1,True,0
MYS_00_24,111.75,0.75,1,True,0
MYS_01_07,103.25,1.25,1,True,1
MYS_01_08,103.75,1.25,1,True,1
MYS_01_09,104.25,1.25,1,True,1
MYS_01_20,109.75,1.25,1,True,0
MYS_01_21,110.25,1.25,1,True,0
MYS_01_22,110.75,1.25,1,True,0
MYS_01_23,111.25,1.25,1,True,0
MYS_01_24,111.75,1.25,1,True,0
MYS_01_25,112.25,1.25,1,True,0
MYS_01_26,112.75,1.25,1,True,0
MYS_01_27,113.25,1.25,1,True,0
MYS_01_28,113.75,1.25,1,True,2
MYS_01_29,114.25,1.25,1,True,2
MYS_01_30,114.75,1.25,1,True,2
MYS_02_06,102.75,1.75,1,True,1
MYS_02_07,103.25,1.75,1,True,1
MYS_02_08,103.75,1.75,1,True,1
MYS_02_09,104.25,1.75,1,True,1
MYS_02_20,109.75,1.75,1,True,0
MYS_02_21,110.25,1.75,1,True,0
MYS_02_22,110.75,1.75,1,True,0
MYS_02_23,111.25,1.75,1,True,0
MYS_02_24,111.75,1.75,1,True,0
MYS_02_25,112.25,1.75,1,True,0
MYS_02_26,112.75,1.75,1,True,0
MYS_02_27,113.25,1.75,1,True,0
MYS_02_28,113.75,1.75,1,True,2
MYS_02_29,114.25,1.75,1,True,2
MYS_02_30,114.75,1.75,1,True,2
MYS_03_04,101.75,2.25,1,True,1
MYS_03_05,102.25,2.25,1,True,1
MYS_03_06,102.75,2.25,1,True,1
MYS_03_07,103.25,2.25,1,True,1
MYS_03_08,103.75,2.25,1,True,1
MYS_03_09,104.25,2.25,1,True,1
MYS_03_23,111.25,2.25,1,True,0
MYS_03_24,111.75,2.25,1,True,0
MYS_03_25,112.25,2.25,1,True,0
MYS_03_26,112.75,2.25,1,True,0
MYS_03_27,113.25,2.25,1,True,2
MYS_03_28,113.75,2.25,1,True,2
MYS_03_29,114.25,2.25,1,True,2
MYS_03_30,114.75,2.25,1,True,2
MYS_03_31,115.25,2.25,1,True,2
MYS_04_03,101.25,2.75,1,True,1
MYS_04_04,101.75,2.75,1,True,1
MYS_04_05,102.25,2.75,1,True,1
MYS_04_06,102.75,2.75,1,True,1
MYS_04_07,103.25,2.75,1,True,1
MYS_04_08,103.75,2.75,1,True,1
MYS_04_09,104.25,2.75,1,True,1
MYS_04_23,111.25,2.75,1,True,0
MYS_04_24,111.75,2.75,1,True,0
MYS_04_25,112.25,2.75,1,True,0
MYS_04_26,112.75,2.75,1,True,0
MYS_04_27,113.25,2.75,1,True,2
MYS_04_28,113.75,2.75,1,True,2
MYS_04_29,114.25,2.75,1,True,2
MYS_04_30,114.75,2.75,1,True,2
MYS_04_31,115.25,2.75,1,True,2
MYS_05_03,101.25,3.25,1,True,1
MYS_05_04,101.75,3.25,1,True,1
MYS_05_05,102.25,3.25,1,True,1
MYS_05_06,102.75,3.25,1,True,1
MYS_05_07,103.25,3.25,1,True,1
MYS_05_25,112.25,3.25,1,True,0
