configuration,model_family,lambda_precipitation,lambda_pet,seed,test_fold,validation_fold,train_region_count,validation_region_count,test_region_count,test_sample_count,selected_ridge_alpha,best_epoch,epochs_completed,training_seconds,validation_rmse_mm,test_rmse_mm,test_mae_mm,test_r_squared,test_mean_bias_mm,core_test_rmse_mm,core_test_r_squared,test_precipitation_violation_fraction,test_pet_violation_fraction,test_precipitation_negative_gradient_mean,test_pet_positive_gradient_mean
Mean,Mean,0.0,0.0,-1,0,1,20,7,6,72,,0,0,0.0,,182.86673620249337,169.60907660590277,-6.156047964056628,-169.60907660590277,191.49205367977655,-7.779751009356984,,,,
Ridge,Ridge,0.0,0.0,-1,0,1,20,7,6,72,10.0,0,0,0.0,38.89752972383127,68.0676856044113,61.264316982693146,0.008515831741171542,-61.19048648410373,70.1363757062614,-0.17778854458072946,0.0,0.0,,
MLP,MLP,0.0,0.0,20260806,0,1,20,7,6,72,,238,438,1.193307876586914,31.744282042536696,53.03393970705705,45.14175584581163,0.39811766588251185,-40.67970954047309,55.6942948194861,0.2573193567566242,0.0390625,1.0,0.0011858288198709488,0.18922048807144165
MLP,MLP,0.0,0.0,20260807,0,1,20,7,6,72,,213,413,0.8002195358276367,32.78352835170308,56.0879283974271,48.47741021050347,0.32680231356186273,-44.04827372233073,57.61408496270996,0.20523629903849294,0.030381944444444444,0.9305555555555556,0.0008860810776241124,0.14461225271224976
MLP,MLP,0.0,0.0,20260808,0,1,20,7,6,72,,100,300,0.5859043598175049,34.8262197913476,74.37675547420837,67.52625698513455,-0.18379983191117488,-66.7942403157552,77.33143533744719,-0.43183451894542046,0.003472222222222222,0.2777777777777778,2.127490733982995e-05,0.005738513544201851
MLP,MLP,0.0,0.0,20260809,0,1,20,7,6,72,,231,431,0.8911774158477783,34.41239748879893,47.43316693084083,41.98239050971137,0.5185313001425614,-32.36633046468099,48.6750576549965,0.432725012094604,0.05295138888888889,1.0,0.001981747802346945,0.10316851735115051
MLP,MLP,0.0,0.0,20260810,0,1,20,7,6,72,,264,464,0.9466896057128906,32.327339846660855,48.75220398969652,41.010374281141495,0.4913812999559558,-35.346232096354164,50.318413912123006,0.3937739805723812,0.011284722222222222,1.0,0.00023340174811892211,0.21469007432460785
PINN_P_lambda10,PINN_P,10.0,0.0,20260806,0,1,20,7,6,72,,239,439,1.8377187252044678,31.59391292764217,52.890251724928,44.94992997911241,0.40137467833334994,-40.19179365370009,55.61775522733339,0.25935925738154175,0.030381944444444444,1.0,0.0007282401202246547,0.19092470407485962
PINN_P_lambda10,PINN_P,10.0,0.0,20260807,0,1,20,7,6,72,,220,420,1.7245028018951416,32.943572050169415,55.127554181892975,47.526139153374565,0.34965880459307885,-42.843084547254776,56.578234580598746,0.23355769208960275,0.024305555555555556,0.9305555555555556,0.0006694201729260385,0.1463405042886734
PINN_P_lambda10,PINN_P,10.0,0.0,20260808,0,1,20,7,6,72,,98,298,1.2206461429595947,34.62880822890154,74.90457529261995,68.08293745252821,-0.20066128529893867,-67.43021731906467,77.85711553619389,-0.4513672055565334,0.0026041666666666665,0.2361111111111111,1.3734174899582285e-05,0.00465759402140975
