configuration,model_family,lambda_precipitation,lambda_pet,seed,pooled_test_rmse_mm,pooled_test_mae_mm,pooled_test_r_squared,pooled_test_mean_bias_mm,pooled_core_test_rmse_mm,pooled_core_test_mae_mm,pooled_core_test_r_squared,pooled_test_precipitation_violation_fraction,pooled_test_pet_violation_fraction
MLP,MLP,0.0,0.0,20260806,59.99739504025992,48.63321300468059,0.7619657019216234,-5.2254502267548535,54.919214597639545,45.0648114434604,0.8023812904640831,0.05776515151515151,0.45202020202020204
MLP,MLP,0.0,0.0,20260807,53.678886424687,43.33795389502939,0.8094619374926094,-15.438348095826429,51.536328674469715,41.58339717470366,0.8259771095123195,0.043876262626262624,0.4772727272727273
MLP,MLP,0.0,0.0,20260808,56.89305843608278,46.569697601626615,0.7859608038194458,-21.004521919019293,55.391364294515924,44.8334372509485,0.7989687618438249,0.0634469696969697,0.30808080808080807
MLP,MLP,0.0,0.0,20260809,55.62378138692294,46.168474370783024,0.7954046456015036,-18.5709386498037,52.8366084038182,44.00923042735834,0.8170850139680875,0.05618686868686869,0.4494949494949495
MLP,MLP,0.0,0.0,20260810,64.45210035039227,51.7902744177616,0.7253061739311675,2.887945310033933,58.93649478256574,47.78563216636921,0.7724126970508004,0.05555555555555555,0.553030303030303
Mean,Mean,0.0,0.0,-1,133.30601661184937,113.99673115123402,-0.17509844538104757,-0.21395018606474905,134.55958742542387,114.90005203773235,-0.18633875276127077,,
PINN_P_PET_lambda1,PINN_P_PET,1.0,1.0,20260806,60.25312556884662,48.79864486540207,0.7599322013874479,-10.19233379941998,54.48788271992279,44.60180786834366,0.8054732690354091,0.06865530303030302,0.09595959595959595
PINN_P_PET_lambda1,PINN_P_PET,1.0,1.0,20260807,54.38863236817056,43.94446224636502,0.8043900121930336,-15.636964046593869,51.922244676801256,42.00366228476338,0.8233611037503548,0.03787878787878788,0.14646464646464646
PINN_P_PET_lambda1,PINN_P_PET,1.0,1.0,20260808,54.89882019407144,44.5724878022165,0.8007029951645828,-18.109897112605548,52.94042266802049,42.721182724525185,0.8163655188908392,0.06549873737373738,0.06565656565656566
PINN_P_PET_lambda1,PINN_P_PET,1.0,1.0,20260809,56.653469080048346,46.49468840011443,0.7877597415331817,-11.332952017735954,52.851475226672044,43.759376525878906,0.8169820646170436,0.06549873737373738,0.12878787878787878
PINN_P_PET_lambda1,PINN_P_PET,1.0,1.0,20260810,66.91385273605434,54.70130334719263,0.7039215342141216,-1.4024081759982638,60.93191661689092,50.12602014651244,0.7567408965952702,0.056502525252525256,0.1893939393939394
PINN_P_PET_lambda10,PINN_P_PET,10.0,10.0,20260806,60.92676846085436,49.159271240234375,0.7545341744274473,-10.362966980596985,54.95161454731087,44.78588455024807,0.8021480487840064,0.06044823232323232,0.012626262626262626
PINN_P_PET_lambda10,PINN_P_PET,10.0,10.0,20260807,54.79780251817651,44.15294978594539,0.8014357612803655,-16.401183003126974,52.310827072306175,42.31633100838497,0.820707304412581,0.03377525252525253,0.017676767676767676
PINN_P_PET_lambda10,PINN_P_PET,10.0,10.0,20260808,55.05875567040729,44.39214193941367,0.7995400888890538,-17.355762366092566,52.771333308790766,42.36841425402411,0.8175366863278708,0.05381944444444445,0.025252525252525252
PINN_P_PET_lambda10,PINN_P_PET,10.0,10.0,20260809,62.05369195285252,51.22703837385081,0.7453697478483663,-10.53331694940124,56.81863044770336,47.651039562006105,0.7884753689895301,0.061395202020202023,0.020202020202020204
PINN_P_PET_lambda10,PINN_P_PET,10.0,10.0,20260810,67.67191125135213,55.26884398797546,0.6971750640515193,-1.6965910015684185,61.51709960329564,50.506807349194055,0.7520459958559406,0.047664141414141416,0.0707070707070707
PINN_P_lambda10,PINN_P,10.0,0.0,20260806,57.898467308140106,46.16337685633187,0.778328998368914,-7.116221495348998,52.31788882331449,42.28184114653489,0.8206588935613179,0.056976010101010104,0.44696969696969696
PINN_P_lambda10,PINN_P,10.0,0.0,20260807,52.973380560527715,42.82558818778606,0.8144375375984744,-15.08532267869121,50.75101869240685,40.95097149377582,0.8312402196394222,0.030460858585858584,0.49242424242424243
PINN_P_lambda10,PINN_P,10.0,0.0,20260808,55.54290693599999,44.631660692619555,0.7959991577896225,-17.33845874516651,53.909791028847025,42.848569584989,0.8095790531775587,0.045454545454545456,0.2878787878787879
PINN_P_lambda10,PINN_P,10.0,0.0,20260809,59.77893492535124,48.79865264892578,0.76369598798137,-6.962008929011797,54.94609576083341,45.432686992075254,0.8021877873013203,0.059343434343434344,0.3939393939393939
PINN_P_lambda10,PINN_P,10.0,0.0,20260810,63.99072453029988,50.60525913431187,0.7292248505709489,5.963177305279356,58.222349168202555,46.34084626998025,0.7778947253699077,0.03851010101010101,0.7095959595959596
Ridge,Ridge,0.0,0.0,-1,58.5086817446907,47.08154612839824,0.7736318218599469,-13.567581562080768,53.48498259149593,43.12226376588317,0.8125682582070738,0.0,0.24242424242424243
