model_family,lambda_precipitation,lambda_pet,run_count,median_validation_rmse_mm,mean_validation_rmse_mm,std_validation_rmse_mm,median_test_rmse_mm,mean_test_rmse_mm,std_test_rmse_mm,median_test_mae_mm,median_test_r_squared,median_core_test_rmse_mm,median_core_test_r_squared,median_validation_p_violation,median_test_p_violation,median_validation_pet_violation,median_test_pet_violation,median_best_epoch,median_training_seconds
Mean,0.0,0.0,1,,,0.0,122.73056929328116,122.73056929328116,0.0,104.19828842625473,-0.0021234241271754772,124.44143548510833,-0.0022475684220106817,,,,,0.0,0.0
Ridge,0.0,0.0,1,31.171696027532132,31.171696027532132,0.0,36.54422025167086,36.54422025167086,0.0,30.173169685132574,0.9111508830800769,35.71733124618441,0.9174336683340324,0.0,0.0,1.0,1.0,0.0,0.0
MLP,0.0,0.0,5,23.868299311741946,24.119831206467214,0.6209481334893391,24.479894306764642,24.66938271992287,0.7236118210422947,18.064511848218512,0.9601310504699316,18.878724971569437,0.9769330429982581,0.07102272727272728,0.05397727272727273,0.3484848484848485,0.3484848484848485,514.0,1.5312392711639404
PINN_P,0.001,0.0,5,23.86827044961509,24.1196435366673,0.620799467658214,24.486642703100806,24.670189001523998,0.7226350414596923,18.064479943477746,0.9601090660157175,18.87680429477006,0.9769377363147306,0.07102272727272728,0.05397727272727273,0.3484848484848485,0.3484848484848485,514.0,2.8939366340637207
PINN_P,0.01,0.0,5,23.867977128306077,24.11796339064778,0.6195340470629934,24.479554827876452,24.66155568953738,0.7167206522540314,18.064153960256867,0.9601321562404586,18.844991684419902,0.9770154033370032,0.07102272727272728,0.054924242424242424,0.3484848484848485,0.3484848484848485,515.0,2.924572467803955
PINN_P,0.1,0.0,5,23.86503578243032,24.089856015196187,0.6037395427959688,24.47676177529927,24.50506871590153,0.5996564936930668,18.092995383522727,0.9601412533528858,18.791587802653385,0.9771454885580392,0.07007575757575757,0.05303030303030303,0.3484848484848485,0.3333333333333333,521.0,2.9535887241363525
PINN_P,1.0,0.0,5,23.83217844556738,23.966924795314792,0.5576396199186263,24.23960665969155,24.257361768349945,0.5270005717182362,18.21571396336411,0.9609098935976275,19.087756406222145,0.9764194052446308,0.056818181818181816,0.043560606060606064,0.36363636363636365,0.3484848484848485,549.0,3.009535789489746
PINN_P,10.0,0.0,5,23.688961336445125,24.017916941810387,0.7163926130865419,23.61486719183394,23.71248310224948,0.8480548365154772,17.080492886629973,0.9628989046902384,19.479480800052382,0.9754416185281706,0.03314393939393939,0.026515151515151516,0.4090909090909091,0.3787878787878788,471.0,2.7622334957122803
PINN_P_PET,0.001,0.001,5,23.86885157081189,24.12376137344298,0.624054239053914,24.476983864560417,24.67058343653065,0.725468242910617,18.065704345703125,0.9601405300350029,18.877503001767376,0.9769360290275249,0.07102272727272728,0.05397727272727273,0.3484848484848485,0.3333333333333333,514.0,2.956085443496704
PINN_P_PET,0.01,0.01,5,23.87345193360477,24.162671371837273,0.659634499604487,24.434932455480492,24.673553874989317,0.7478924564925827,18.04329796993371,0.9602773693676585,19.441898152496137,0.9755362903155614,0.07196969696969698,0.05397727272727273,0.3333333333333333,0.30303030303030304,512.0,2.9542975425720215
PINN_P_PET,0.1,0.1,5,23.888954654962195,24.167996853077234,0.6677345972966335,24.184317991351126,24.499353617039212,0.6228251584856402,17.912539395419035,0.9610880132468451,18.37570157685872,0.9781459040595742,0.07196969696969698,0.06628787878787878,0.16666666666666666,0.16666666666666666,513.0,2.974033832550049
PINN_P_PET,1.0,1.0,5,23.81170156802704,24.073338511779344,0.6628344571331487,24.115335810518285,23.943870833475735,0.45096863013149974,17.58937812573982,0.9613096780064985,18.300818752846524,0.9783236563995357,0.07481060606060606,0.052083333333333336,0.10606060606060606,0.07575757575757576,558.0,3.125962257385254
PINN_P_PET,10.0,10.0,5,24.115513769190073,24.31771209168699,0.6221575647375266,23.69348144629071,23.555107398016535,0.7695665744900757,17.00662138967803,0.9626514732944697,18.178137079038777,0.9786133020946215,0.03787878787878788,0.03314393939393939,0.06060606060606061,0.030303030303030304,504.0,2.9373981952667236
