variable,count,missing,negative,minimum,q01,q25,median,mean,q75,q99,maximum,standard_deviation
precipitation_mm,63720,0,0,4.326970726835961,32.7106688468,175.94548225159855,244.51395983621782,260.3848878877913,328.653787689209,656.1496262669513,1479.1204833984375,126.05517278678771
PET_mm,63720,0,0,60.6123544117761,74.4803286035919,98.29317510591831,108.17684514125187,108.35712956866605,118.00324173514525,144.46082100431792,167.21339670817056,14.876838117555955
actual_evapotranspiration_mm,61920,1800,0,47.278411865234375,78.85378816150786,111.02102123555387,120.75754074823287,120.44810121391532,130.24881526186493,156.49431708411768,176.8607137241796,15.491062759115191
surface_runoff_mm,61920,1800,0,0.002745286913634,0.6265287391602671,15.69650075869801,36.24634465359864,52.315181823391384,68.18499079644222,299.76638486260873,862.9472493753805,58.688433806714855
subsurface_runoff_mm,61920,1800,0,1.0082866449662455e-10,0.0003658114240017261,18.286269207280547,69.31644383626684,83.72889465245723,130.7362831252994,303.26056492274114,550.5057807074653,74.60411912947377
total_runoff_mm,61920,1800,0,0.0027510182273278,0.8625533455275992,37.165817448449516,107.6372442633382,136.044076462155,199.3274806672335,579.7748251631479,1346.138001280946,126.22141332110333
soil_moisture_0_10cm_mm,61920,1800,0,18.52346225537752,27.625502122705633,40.45987055711686,42.06810710240924,40.900422100926725,42.73029957862363,43.476613482342486,44.31330371432835,3.1458031975316554
soil_moisture_10_40cm_mm,61920,1800,0,53.770651581090526,79.60754786983084,121.64542903553355,127.02574316740771,123.21366034966067,129.08258927360413,131.20292092940386,133.42377217610678,9.911088676904106
soil_moisture_40_100cm_mm,61920,1800,0,98.36290740966795,155.3433004324777,246.46899176718892,258.4949678986916,249.59807876840466,263.0396141310527,266.81209937177385,269.9168748643663,22.542599383229035
soil_moisture_100_200cm_mm,61920,1800,0,157.75735473632812,256.9840238647461,424.16551235097376,450.85974661911587,432.30923949197,461.41583464532243,467.77751287231445,467.9997863769531,46.38017337865391
soil_moisture_total_mm,61920,1800,0,342.97589111328125,530.0123298299952,833.0072193466381,878.4720017816207,846.0214007407325,896.2638167210914,908.8844511840819,915.6537584092883,81.08845962634048
